sku;name;brand;price;list_price;discount_price;in_offer;net_content;unit;price_per_unit;price_per_unit_list;saving_text;image_url;detail_url;category;subcategory;last_category;category_url;page_num;extracted_at;supermarket;archivo;ruta_archivo;timestamp_archivo;mtime_archivo;category_std;name_clean;brand_clean;category_std_clean;subcategory_clean;last_category_clean;all_text;list_price_num;price_num;discount_price_num;effective_price;unit_family;size_std;cart_query;match_score
1843;Cereal Natur Arroz 20 g;Natur;450;450;;False;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/299069-250-250/Cereal-Natur-Bolsa-20-g-De-Arroz.jpg?v=638775760084930000;https://www.jumbo.cl/cereal-natur-bolsa-20-g-de-arroz/p;despensa;;Cereales, Avenas y Barras (Mostrar todo);;1.0;2026-03-02T23:20:16;jumbo;jumbo_despensa_20260302_232131.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\despensa\jumbo_despensa_20260302_232131.csv;2026-03-02 23:21:31;;;cereal natur arroz 20 g;natur;;;cereales avenas y barras mostrar todo;cereal natur arroz 20 g natur   cereales avenas y barras mostrar todo;450.0;450.0;;450.0;mass;20.0;arroz;10.0
147893;Sopa Gourmet Tradicional de Pollo con Arroz 70 g;Gourmet;590;590;;False;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/485732-250-250/Sopa-Gourmet-Tradicional-de-Pollo-con-Arroz-70-g.jpg?v=638893306030200000;https://www.jumbo.cl/sopa-pollo-arroz-2024984/p;despensa;;Cremas y Sopas;;1.0;2026-03-02T23:11:16;jumbo;jumbo_despensa_20260302_232131.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\despensa\jumbo_despensa_20260302_232131.csv;2026-03-02 23:21:31;;;sopa gourmet tradicional de pollo con arroz 70 g;gourmet;;;cremas y sopas;sopa gourmet tradicional de pollo con arroz 70 g gourmet   cremas y sopas;590.0;590.0;;590.0;mass;70.0;arroz;10.0
2202;Sopa Maggi Sabor Pollo con Arroz 70 g;Maggi;660;660;;False;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/299293-250-250/Sopa-Maggi-Sabor-Pollo-Con-Arroz-70-g.jpg?v=638775762968470000;https://www.jumbo.cl/sopa-de-pollo-maggi-sobre-70-g-con-arroz/p;despensa;;Cremas y Sopas;;2.0;2026-03-02T23:11:18;jumbo;jumbo_despensa_20260302_232131.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\despensa\jumbo_despensa_20260302_232131.csv;2026-03-02 23:21:31;;;sopa maggi sabor pollo con arroz 70 g;maggi;;;cremas y sopas;sopa maggi sabor pollo con arroz 70 g maggi   cremas y sopas;660.0;660.0;;660.0;mass;70.0;arroz;10.0
127607;Caldo en Polvo Maggi Arroz 32 g;Maggi;730;730;;False;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/393727-250-250/CALDO-EN-POLVO-MAGGI-ARROZ-32G.jpg?v=638776875865100000;https://www.jumbo.cl/caldo-en-polvo-maggi-arroz-32g-1959784/p;despensa;;Caldos;;2.0;2026-03-02T23:11:42;jumbo;jumbo_despensa_20260302_232131.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\despensa\jumbo_despensa_20260302_232131.csv;2026-03-02 23:21:31;;;caldo en polvo maggi arroz 32 g;maggi;;;caldos;caldo en polvo maggi arroz 32 g maggi   caldos;730.0;730.0;;730.0;mass;32.0;arroz;10.0
6871;Postre Soprole Arroz con Leche 130 g;Soprole;740;740;;False;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/411514-250-250/Postre-Soprole-Arroz-con-Leche-130-g.jpg?v=638791317938070000;https://www.jumbo.cl/arroz-con-leche-soprole-pote-130-g-2/p;lacteos_huevos_congelados;;Postres Refrigerados (Mostrar todo);;1.0;2026-03-03T12:48:14;jumbo;jumbo_lacteos_huevos_y_congelados_20260303_131000.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\lacteos_huevos_congelados\jumbo_lacteos_huevos_y_congelados_20260303_131000.csv;2026-03-03 13:10:00;;;postre soprole arroz con leche 130 g;soprole;;;postres refrigerados mostrar todo;postre soprole arroz con leche 130 g soprole   postres refrigerados mostrar todo;740.0;740.0;;740.0;mass;130.0;arroz;10.0
dom_33;Sopa Sabor Pollo con Arroz (5 Porciones) Sobre, 70 g;;60;420;;True;;;;;;https://i5.walmartimages.cl/asr/bf1d692f-6007-417f-9104-ed9ce203a2fb.88e05a32e6102e9387dfbdc9664ffd4a.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/alimentos-instantaneos/00780263000370;despensa;Alimentos Instantáneos > Sopas y Cremas;;;1.0;2026-03-17T21:54:53;lider;lider_despensa_20260317_215808.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\despensa\lider_despensa_20260317_215808.csv;2026-03-17 21:58:08;;;sopa sabor pollo con arroz 5 porciones sobre 70 g;;;alimentos instantaneos sopas y cremas;;sopa sabor pollo con arroz 5 porciones sobre 70 g   alimentos instantaneos sopas y cremas;420.0;60.0;;420.0;mass;70.0;arroz;10.0
dom_42;Sopa Sabor Pollo con Arroz (5 Porciones) Sobre, 70 g;;89;620;;True;;;;;;https://i5.walmartimages.cl/asr/7cfd70fe-b60d-4841-9e4e-1e2e44ab74c8.882cf73bb042a0fd0db793aeb0dae748.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/alimentos-instantaneos/00780295000662;despensa;Alimentos Instantáneos > Sopas y Cremas;;;1.0;2026-03-17T21:54:53;lider;lider_despensa_20260317_215808.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\despensa\lider_despensa_20260317_215808.csv;2026-03-17 21:58:08;;;sopa sabor pollo con arroz 5 porciones sobre 70 g;;;alimentos instantaneos sopas y cremas;;sopa sabor pollo con arroz 5 porciones sobre 70 g   alimentos instantaneos sopas y cremas;620.0;89.0;;620.0;mass;70.0;arroz;10.0
dom_25;Caldo en Polvo para Arroz (5 Sobres) Bolsa, 35 g;;216;690;;True;;;;;;https://i5.walmartimages.cl/asr/9e90aa79-6657-48bd-ab93-7c8b19c044d3.fe343de666ae477b8fad03bbdc18cab2.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/alimentos-instantaneos/00844529092536;despensa;Alimentos Instantáneos > Bases y Caldos;;;1.0;2026-03-17T21:55:42;lider;lider_despensa_20260317_215808.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\despensa\lider_despensa_20260317_215808.csv;2026-03-17 21:58:08;;;caldo en polvo para arroz 5 sobres bolsa 35 g;;;alimentos instantaneos bases y caldos;;caldo en polvo para arroz 5 sobres bolsa 35 g   alimentos instantaneos bases y caldos;690.0;216.0;;690.0;mass;35.0;arroz;10.0
dom_3;Arroz Tucapel Extra Fino Grado 2 Grano largo fino, 1 kg;;1000;1000;;False;;;;;;https://i5.walmartimages.cl/asr/cf7f19d3-8c63-4d62-8bbe-7d14fb8fbc37.0e75dd21cf0c292d6596bb52a297d423.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/arroz-y-legumbres/00780142000224;despensa;Arroz y Legumbres > Arroz;;;1.0;2026-03-17T21:46:44;lider;lider_despensa_20260317_215808.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\despensa\lider_despensa_20260317_215808.csv;2026-03-17 21:58:08;;;arroz tucapel extra fino grado 2 grano largo fino 1 kg;;;arroz y legumbres arroz;;arroz tucapel extra fino grado 2 grano largo fino 1 kg   arroz y legumbres arroz;1000.0;1000.0;;1000.0;mass;1000.0;arroz;10.0
dom_1;Arroz Grado 1 Grano Largo Bolsa, 800 g;;1000;1250;;True;;;;;;https://i5.walmartimages.cl/asr/ba899c27-cdd1-4263-8be4-f8667ffb6eb2.aba0b5ebc5a7aca47b5646960cee5b21.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/arroz-y-legumbres/00780465140020;despensa;Arroz y Legumbres > Arroz;;;1.0;2026-03-17T21:46:44;lider;lider_despensa_20260317_215808.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\despensa\lider_despensa_20260317_215808.csv;2026-03-17 21:58:08;;;arroz grado 1 grano largo bolsa 800 g;;;arroz y legumbres arroz;;arroz grado 1 grano largo bolsa 800 g   arroz y legumbres arroz;1250.0;1000.0;;1250.0;mass;800.0;arroz;10.0
