cart_query;supermarket;sku;name;brand;price;list_price;discount_price;in_offer;net_content;unit;price_per_unit;price_per_unit_list;saving_text;image_url;detail_url;category;subcategory;last_category;category_url;page_num;extracted_at;archivo;ruta_archivo;timestamp_archivo;mtime_archivo;category_std;name_clean;brand_clean;category_std_clean;subcategory_clean;last_category_clean;all_text;list_price_num;price_num;discount_price_num;effective_price;unit_family;size_std;match_score
aceite vegetal 1 litro;jumbo;83588;Aceite Vegetal Libre de Colesterol 900 ml;Cuisine & Co;1600;1750;;True;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/365445-250-250/Aceite-vegetal-libre-de-colesterol-900-ml.jpg?v=638776759108030000;https://www.jumbo.cl/aceite-vegetal-libre-de-colesterol-900-ml-cuisine-and-co-1800913/p;despensa;;Aceite;;1.0;2026-03-02T23:09:50;jumbo_despensa_20260302_232131.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\despensa\jumbo_despensa_20260302_232131.csv;2026-03-02 23:21:31;;;aceite vegetal libre de colesterol 900 ml;cuisine co;;;aceite;aceite vegetal libre de colesterol 900 ml cuisine co   aceite;1750.0;1600.0;;1750.0;volume;900.0;13.333333333333332
aceite vegetal 1 litro;lider;dom_7;Aceite Vegetal Botella, 900 ml;;1690;1878;;True;;;;;;https://i5.walmartimages.cl/asr/da59efc1-5642-4460-a4a1-f8c34010d745.4374af96701d95a538f065389b2a013f.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/aceites-y-aderezos/00779027200798;despensa;Aceites y Aderezos > Aceites;;;1.0;2026-03-17T21:50:31;lider_despensa_20260317_215808.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\despensa\lider_despensa_20260317_215808.csv;2026-03-17 21:58:08;;;aceite vegetal botella 900 ml;;;aceites y aderezos aceites;;aceite vegetal botella 900 ml   aceites y aderezos aceites;1878.0;1690.0;;1878.0;volume;900.0;13.333333333333332
aceite vegetal 1 litro;unimarc;11944;Aceite Merkat vegetal 900 ml;Merkat;1550;1550;1790.0;False;1 un;litro;;;Ahorras $100;https://unimarc.vtexassets.com/arquivos/ids/173406/000000000000358358-UN.jpg?v=636632716501930000;https://www.unimarc.cl/aceite-vegetal-merkat-900-cc/p;despensa;Aceite y aliños;Aceite vegetal;https://www.unimarc.cl/category/despensa/aceite-y-alinos/aceite-vegetal;;2026-03-09T19:35:15;unimarc_despensa_subcats_20260309_194612.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\output\despensa\unimarc_despensa_subcats_20260309_194612.csv;2026-03-09 19:46:12;;;aceite merkat vegetal 900 ml;merkat;;aceite y alinos;aceite vegetal;aceite merkat vegetal 900 ml merkat  aceite y alinos aceite vegetal;1550.0;1550.0;17900.0;1550.0;volume;900.0;13.333333333333332
arroz;jumbo;1843;Cereal Natur Arroz 20 g;Natur;450;450;;False;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/299069-250-250/Cereal-Natur-Bolsa-20-g-De-Arroz.jpg?v=638775760084930000;https://www.jumbo.cl/cereal-natur-bolsa-20-g-de-arroz/p;despensa;;Cereales, Avenas y Barras (Mostrar todo);;1.0;2026-03-02T23:20:16;jumbo_despensa_20260302_232131.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\despensa\jumbo_despensa_20260302_232131.csv;2026-03-02 23:21:31;;;cereal natur arroz 20 g;natur;;;cereales avenas y barras mostrar todo;cereal natur arroz 20 g natur   cereales avenas y barras mostrar todo;450.0;450.0;;450.0;mass;20.0;10.0
arroz;lider;dom_33;Sopa Sabor Pollo con Arroz (5 Porciones) Sobre, 70 g;;60;420;;True;;;;;;https://i5.walmartimages.cl/asr/bf1d692f-6007-417f-9104-ed9ce203a2fb.88e05a32e6102e9387dfbdc9664ffd4a.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/alimentos-instantaneos/00780263000370;despensa;Alimentos Instantáneos > Sopas y Cremas;;;1.0;2026-03-17T21:54:53;lider_despensa_20260317_215808.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\despensa\lider_despensa_20260317_215808.csv;2026-03-17 21:58:08;;;sopa sabor pollo con arroz 5 porciones sobre 70 g;;;alimentos instantaneos sopas y cremas;;sopa sabor pollo con arroz 5 porciones sobre 70 g   alimentos instantaneos sopas y cremas;420.0;60.0;;420.0;mass;70.0;10.0
arroz;unimarc;7805;Cereal Natur arroz inflado bolsa 20 g;Natur;480;480;;False;1 un;Kg;;;;https://unimarc.vtexassets.com/arquivos/ids/210893/000000000000007087-UN-01.jpg?v=637520321569070000;https://www.unimarc.cl/arroz-inflado-natur-sobre-20-gr/p;desayunos_dulces;Cereales;Cereal inflado;https://www.unimarc.cl/category/desayuno-y-dulces/cereales/cereal-inflado;;2026-03-09T19:25:34;unimarc_desayuno-y-dulces_subcats_20260309_193127.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\output\desayunos_dulces\unimarc_desayuno-y-dulces_subcats_20260309_193127.csv;2026-03-09 19:31:27;;;cereal natur arroz inflado bolsa 20 g;natur;;cereales;cereal inflado;cereal natur arroz inflado bolsa 20 g natur  cereales cereal inflado;480.0;480.0;;480.0;mass;20.0;10.0
avena 500 g;jumbo;22467;Pan Centeno Mestemacher Orgánico con Avena y Cebada 500 g;Mestemacher;2632;3290;;True;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/304771-250-250/Pan-de-Centeno-organico-con-avena-y-cebada-500-g.jpg?v=638776380503130000;https://www.jumbo.cl/pan-organico-tres-granos-mestemacher-500-g-2/p;panaderia_pasteleria;;Pan Integral y Funcional;;1.0;2026-03-03T16:41:30;jumbo_panaderia_y_pasteleria_20260303_164511.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\panaderia_pasteleria\jumbo_panaderia_y_pasteleria_20260303_164511.csv;2026-03-03 16:45:11;;;pan centeno mestemacher organico con avena y cebada 500 g;mestemacher;;;pan integral y funcional;pan centeno mestemacher organico con avena y cebada 500 g mestemacher   pan integral y funcional;3290.0;2632.0;;3290.0;mass;500.0;21.0
avena 500 g;lider;dom_5;Avena Instantanea, 500 g;;970;1940;;True;;;;;;https://i5.walmartimages.cl/asr/d66dc1da-6131-4936-a057-21c577c18f12.61d06b4001c91b3f723a830e88d015f2.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;https://super.lider.cl/ip/cereales/00780396000036;desayunos_y_dulces;Cereales > Avenas;;;1.0;2026-03-17T21:33:56;lider_desayunos_y_dulces_20260317_214155.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\output\desayunos_y_dulces\lider_desayunos_y_dulces_20260317_214155.csv;2026-03-17 21:41:55;;;avena instantanea 500 g;;;cereales avenas;;avena instantanea 500 g   cereales avenas;1940.0;970.0;;1940.0;mass;500.0;21.0
avena 500 g;unimarc;32787;Jabón líquido Familand avena karité dosificador 500 ml;Familand;2450;2450;;False;1 un;litro;;;;https://unimarc.vtexassets.com/arquivos/ids/173065/7804945061774.png?v=636625938571200000;https://www.unimarc.cl/jabon-c-valv-familand-500m-avena-karite/p;perfumerias;Cuidado personal;Jabón líquido;https://www.unimarc.cl/category/perfumeria/cuidado-personal/jabon-liquido;;2026-03-09T20:13:47;unimarc_perfumeria_subcats_20260309_201737.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\output\perfumerias\unimarc_perfumeria_subcats_20260309_201737.csv;2026-03-09 20:17:37;;;jabon liquido familand avena karite dosificador 500 ml;familand;;cuidado personal;jabon liquido;jabon liquido familand avena karite dosificador 500 ml familand  cuidado personal jabon liquido;2450.0;2450.0;;2450.0;volume;500.0;19.0
chocolate;jumbo;20004;Flan Colun Chocolate 100 g;Colun;390;390;;False;;;;;;https://jumbocl.vteximg.com.br/arquivos/ids/353501-250-250/Flan-Colun-sabor-chocolate-100-g.jpg?v=638776697787670000;https://www.jumbo.cl/flan-colun-sabor-chocolate-100-g/p;lacteos_huevos_congelados;;Flanes;;1.0;2026-03-03T12:47:32;jumbo_lacteos_huevos_y_congelados_20260303_131000.csv;C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\output\lacteos_huevos_congelados\jumbo_lacteos_huevos_y_congelados_20260303_131000.csv;2026-03-03 13:10:00;;;flan colun chocolate 100 g;colun;;;flanes;flan colun chocolate 100 g colun   flanes;390.0;390.0;;390.0;mass;100.0;10.0
