cba_name;cba_unit;cba_daily_qty;cba_month_qty_std;supermarket;name;brand;price_num;size_std;unit_family;estimated_month_cost;coverage_status;detail_url
Chocolate;G;0.9;27.0;unimarc;Chocolate pouch M&M con maní 141.8 g CHOCOLATE POUCH M&M 141.8 GR, CON MANI;M&m;0.0;141.8;mass;0.0;matched;https://www.unimarc.cl/chocolate-pouch-m-m-141-8-gr-con-mani/p
Maní salado;G;0.4;12.0;unimarc;Chocolate pouch M&M con maní 141.8 g CHOCOLATE POUCH M&M 141.8 GR, CON MANI;M&m;0.0;141.8;mass;0.0;matched;https://www.unimarc.cl/chocolate-pouch-m-m-141-8-gr-con-mani/p
Néctar líquido;CC;0.1;3.0;lider;Néctar Tuttifrutilla Caja, 200 ml;Herencia Del Valle;30.0;200.0;volume;0.44999999999999996;matched;https://super.lider.cl/ip/jugos-colacion/00780281001199
Sucedáneo de café;G;1.0;30.0;lider;Arena Aglutinante Aroma Café, 20 kg;Stay Happy;1000.0;20000.0;mass;1.5;matched;https://super.lider.cl/ip/higiene-y-bienestar/00780460346528
Salchicha y vienesa tradicional;G;0.2;6.0;lider;Salchicha Tradicional 20 Un, 1 kg;Winter;440.0;1000.0;mass;2.64;matched;https://super.lider.cl/ip/para-parrilla/00780196500097
Queso crema;G;0.3;9.0;lider;Ramitas Queso, 160 g;Smart Clean;48.0;160.0;mass;2.6999999999999997;matched;https://super.lider.cl/ip/snacks-y-picoteo/00780200002005
Refresco isotónico;CC;0.3;9.0;lider;Bebida Isotónica Frozen Blast Botella, 850 ml;Gatorade;390.0;850.0;volume;4.129411764705882;matched;https://super.lider.cl/ip/bebidas-funcionales/00780282067814
Bebida gaseosa tradicional;CC;46.9;1407.0;lider;Bebida Vegetal Orasi Avena, 1000 L;Point;3790.0;1000000.0;volume;5.33253;matched;https://super.lider.cl/ip/bebidas-vegetales/00800318003040
Agua mineral;CC;9.4;282.0;lider;Agua Purificada Sin Gas Bidón, 6 L;Cuisine & Co;140.0;6000.0;volume;6.58;matched;https://super.lider.cl/ip/aguas/00780162000604
Surtido en conserva;G;0.3;9.0;lider;Chupete Bon Bon Bum Surtido, 456 g;Don Juan;500.0;456.0;mass;9.868421052631579;matched;https://super.lider.cl/ip/chocolates-y-candy/00770201102405
Salchicha y vienesa de ave;G;2.3;69.0;lider;Alimento Seco Perro Adulto Raza Mediana/Grande Carne y Pollo Bolsa, 12 kg;Doko;2083.0;12000.0;mass;11.97725;matched;https://super.lider.cl/ip/perro/00844529133306
Biscochos dulces y medialunas - para desayuno;G;0.1;3.0;lider;Pepinillos Enteros Dulces Frasco, Drenado 200 g - Neto 413 g;Arcor;2190.0;413.0;mass;15.907990314769975;matched;https://super.lider.cl/ip/platos-preparados/00062891561113
Galleta no dulce;G;0.5;15.0;lider;Galleta Soda, 160 g;Costa;170.0;160.0;mass;15.9375;matched;https://super.lider.cl/ip/galletas-y-colaciones-dulces/00780221550202
Te para preparar;G;1.8;54.0;lider;Te Classic Sustentable 40 Bolsas, 72 g;Superior;25.0;72.0;mass;18.75;matched;https://super.lider.cl/ip/cafe-te-y-hierbas/00780242000862
Quesillo y queso fresco con sal;G;0.9;27.0;lider;Queso Fresco Light Sin Lactosa, 400 g;Quillayes;300.0;400.0;mass;20.25;matched;https://super.lider.cl/ip/quesos/00780292000863
Jugo líquido;CC;4.5;135.0;lider;Jugo Colación Sabor Naranja Caja, 200 cc;Frugo;30.0;200.0;volume;20.25;matched;https://super.lider.cl/ip/jugos/00780281000675
Galleta dulce;G;1.1;33.0;lider;Galleta de Vino, 160 g;Costa;140.0;160.0;mass;28.875;matched;https://super.lider.cl/ip/galletas-y-colaciones-dulces/00780221550530
Choclo congelado;G;5.7;171.0;lider;Pollo Trutro Largo Congelado, 1 kg;Nuestra Cocina;200.0;1000.0;mass;34.2;matched;https://super.lider.cl/ip/pollo/00789151555256
Mantequilla con sal;G;1.2;36.0;lider;Margarina Mix Con Mantequilla, 200 g;Castaño;200.0;200.0;mass;36.0;matched;https://super.lider.cl/ip/huevos-y-mantequillas/00780290000477
Pechuga de pollo;G;4.7;141.0;lider;Pollo Pechuga Deshuesada Congelada, 750 g;Fundo Rio Alegre;200.0;750.0;mass;37.6;matched;https://super.lider.cl/ip/pollo/00780961172203
Queso Gouda;G;4.3;129.0;lider;Ramitas Queso, 160 g;Maffei;48.0;160.0;mass;38.699999999999996;matched;https://super.lider.cl/ip/snacks-y-picoteo/00780200002005
Papas fritas;G;0.8;24.0;lider;Papas Fritas Corte Americano, 350 g;Cuisine & Co;600.0;350.0;mass;41.14285714285714;matched;https://super.lider.cl/ip/snacks-y-picoteo/00780242000919
Carne de pavo molida;G;1.2;36.0;lider;Salchicha con pavo, 250 g;Sadia;290.0;250.0;mass;41.76;matched;https://super.lider.cl/ip/fiambres-y-embutidos/00780193000215
Aliado (jamón queso) o Barros Jarpa - para once;G;0.0;0.0;lider;Ramitas Queso, 160 g;Selz;48.0;160.0;mass;48.0;matched;https://super.lider.cl/ip/snacks-y-picoteo/00780200002005
Pate;G;2.9;87.0;lider;Paté Ternera Embutido Untable, 125 g;Fundo Rio Alegre;70.0;125.0;mass;48.720000000000006;matched;https://super.lider.cl/ip/fiambres-y-embutidos/00780190700430
Avena;G;5.1;153.0;lider;Yoghurt Batido Con Avena, 155 g;Selecta;50.0;155.0;mass;49.354838709677416;matched;https://super.lider.cl/ip/yoghurt/00780290000431
Caramelo;G;1.9;57.0;lider;Galleta Sabor Caramelo Caramel, 150 g;Soprole;140.0;150.0;mass;53.2;matched;https://super.lider.cl/ip/galletas-y-colaciones-dulces/00780221550537
Arroz;G;22.2;666.0;lider;Alimento Seco Perro Adulto Carne y Arroz Bolsa, 15 Kg;Merkat;1233.0;15000.0;mass;54.7452;matched;https://super.lider.cl/ip/perro/00780410000280
Entrada (ensalada o sopa) - para almuerzo;G;0.0;0.0;lider;Sopa de Caracolitos con Verduras (5 Porciones) Sobre, 76 g;Naturezza;55.0;76.0;mass;55.0;matched;https://super.lider.cl/ip/alimentos-instantaneos/00780263000373
Harina de trigo;G;10.2;306.0;lider;Harina Todo Uso Domestico Bolsa, 5 kg;Merkat;938.0;5000.0;mass;57.4056;matched;https://super.lider.cl/ip/harinas-y-polvos/00780262610005
Asiento;G;0.3;9.0;jumbo;Asiento Cerdo Super Cerdo 900 g;Super Cerdo;6590.0;900.0;mass;65.89999999999999;matched;https://www.jumbo.cl/asiento-super-cerdo-900-g/p
Leche en polvo entera instantánea;G;3.2;96.0;lider;Leche en Polvo Entera Bolsa, 900 g;Loncoleche;800.0;900.0;mass;85.33333333333333;matched;https://super.lider.cl/ip/leche/00780292000980
Pulpa de cerdo;G;4.0;120.0;lider;Pulpa de Cerdo Pierna, 900 g;Super Cerdo;640.0;900.0;mass;85.33333333333334;matched;https://super.lider.cl/ip/cerdo/00780961170073
Helado familiar un sabor;CC;9.3;279.0;lider;Helado de Leche Sabores Chocolate Suizo y Frutos del Bosque Cassata, 2,5 L;Chamonix;800.0;2500.0;volume;89.28;matched;https://super.lider.cl/ip/helados/00780155200128
Trutro de pollo;G;15.3;459.0;lider;Pollo Trutro Corto Sin Marinar Envasado, 1 kg;Ariztia;200.0;1000.0;mass;91.80000000000001;matched;https://super.lider.cl/ip/pollo/00789151555261
Margarina;G;3.6;108.0;lider;Margarina Mix Con Mantequilla, 200 g;Pamperita;200.0;200.0;mass;108.0;matched;https://super.lider.cl/ip/huevos-y-mantequillas/00780290000477
Plato de fondo - para almuerzo;G;0.8;24.0;lider;Paila Marina Plato Listo Lata, Drenado 100g - Neto 190g;Wasil;900.0;190.0;mass;113.68421052631578;matched;https://super.lider.cl/ip/conservas/00780462147223
Choritos frescos o refrigerados en su concha;G;2.7;81.0;lider;Choritos Natural Lata, Drenado 200 g - Neto 425 g;San José;600.0;425.0;mass;114.3529411764706;matched;https://super.lider.cl/ip/conservas/00780123500029
