cba_name;candidatos_detectados;supermercados_detectados;tiene_match;estado
Queso crema;1274;3;1;cubierto
Chocolate;1214;3;1;cubierto
Aliado (jamón queso) o Barros Jarpa - para once;1042;3;1;cubierto
Salchicha y vienesa de ave;1038;3;1;cubierto
Queso Gouda;837;3;1;cubierto
Bebida gaseosa tradicional;747;3;1;cubierto
Pan corriente sin envasar;589;3;1;cubierto
Espiral;548;3;1;cubierto
Tostadas (palta o mantequilla o mermelada o mezcla de estas) - para desayuno;534;3;1;cubierto
Sucedáneo de café;460;3;1;cubierto
Azúcar;414;3;1;cubierto
Agua mineral;406;3;1;cubierto
Salsa de tomate;382;3;1;cubierto
Arroz;354;3;1;cubierto
Galleta dulce;344;3;1;cubierto
Helado familiar un sabor;317;3;1;cubierto
Choclo congelado;256;3;1;cubierto
Néctar líquido;245;3;1;cubierto
Mantequilla con sal;234;3;1;cubierto
Yogurt;223;3;1;cubierto
Entrada (ensalada o sopa) - para almuerzo;221;3;1;cubierto
Maní salado;208;3;1;cubierto
Harina de trigo;203;3;1;cubierto
Postre - para almuerzo;194;3;1;cubierto
Jamón de cerdo;182;3;1;cubierto
Surtido en conserva;180;3;1;cubierto
Jugo líquido;179;3;1;cubierto
Carne de pavo molida;178;3;1;cubierto
Limón;154;3;1;cubierto
Papas fritas;149;3;1;cubierto
Pechuga de pollo;136;3;1;cubierto
Te para preparar;136;3;1;cubierto
Avena;135;3;1;cubierto
Caramelo;119;3;1;cubierto
Plátano;115;3;1;cubierto
Salchicha y vienesa tradicional;111;3;1;cubierto
Manzana;104;3;1;cubierto
Refresco isotónico;100;3;1;cubierto
Cebolla nueva;88;3;1;cubierto
Trutro de pollo;88;3;1;cubierto
Margarina;87;3;1;cubierto
Tomate;79;3;1;cubierto
Huevo de gallina;78;3;1;cubierto
Aceite vegetal combinado o puro;66;3;1;cubierto
Choritos frescos o refrigerados en su concha;66;3;1;cubierto
Zanahoria;61;3;1;cubierto
Leche líquida entera;54;3;1;cubierto
Quesillo y queso fresco con sal;54;3;1;cubierto
Torta 15 o 20 personas;53;3;1;cubierto
Zapallo;45;3;1;cubierto
Longaniza;42;3;1;cubierto
Merluza fresca o refrigerada;41;3;1;cubierto
Costillar de cerdo;38;3;1;cubierto
Pate;34;3;1;cubierto
Biscochos dulces y medialunas - para desayuno;28;3;1;cubierto
Carne molida;28;3;1;cubierto
Leche en polvo entera instantánea;25;3;1;cubierto
Plato de fondo - para almuerzo;25;3;1;cubierto
Pulpa de cerdo;25;3;1;cubierto
Asiento;21;3;1;cubierto
Chuleta de cerdo centro o vetada;20;3;1;cubierto
Jurel en conserva;20;3;1;cubierto
Lechuga;19;3;1;cubierto
Poroto;19;3;1;cubierto
Galleta no dulce;16;3;1;cubierto
Palta;12;3;1;cubierto
Pollo entero;10;3;1;cubierto
Papa de guarda;23;2;1;cubierto
Empanada de horno;14;2;1;cubierto
Lenteja;1;1;1;cubierto
Bebida energizante;0;0;0;faltante
Colación o menú del día o almuerzo ejecutivo;0;0;0;faltante
Completo;0;0;0;faltante
Pollo asado entero;0;0;0;faltante
Prepizza familiar;0;0;0;faltante
Promoción de comida rápida;0;0;0;faltante
Pulpa de cordero fresco o refrigerado;0;0;0;faltante
Refresco en polvo;0;0;0;faltante
Té corriente (según establecimiento) - para desayuno;0;0;0;faltante
