cba_name;cba_unit;cba_daily_qty;cba_month_qty_std;supermarket;name;brand;price_num;size_std;unit_family;estimated_month_cost;coverage_status;detail_url
Arroz;G;22.2;666.0;jumbo;Caja Galleta de Arroz Mizos Chocolate Naranja 25 g;Mizos;11790.0;;;11790.0;matched;https://www.jumbo.cl/mizos-choc-nar-25g-1672569-cs/p
Arroz;G;22.2;666.0;jumbo;Galleta de Arroz Cuisine & Co con Sal 100 g;Cuisine & Co;1390.0;;;1390.0;matched;https://www.jumbo.cl/galleta-de-arroz-con-sal-100-g-1918705/p
Arroz;G;22.2;666.0;jumbo;Galletas Arroz Selz Envase 100 g;Selz;1850.0;;;1850.0;matched;https://www.jumbo.cl/galletas-selz-envase-100-g-arroz/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Cerealitas Libre de Gluten 160 g;Cerealitas;3790.0;;;3790.0;matched;https://www.jumbo.cl/galletas-cerealitas-bolsa-160-g-arroz-sin-gluten/p
Arroz;G;22.2;666.0;jumbo;Tortitas de Arroz Santiveri Orgánicas Sin Gluten 100 g;Santiveri;2990.0;;;2990.0;matched;https://www.jumbo.cl/tortitas-de-arroz-sin-gluten-santiveri-130-g/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Tucapel Clásicas 150 g;Tucapel;1570.0;;;1570.0;matched;https://www.jumbo.cl/galletas-de-arroz-tucapel-clasicas-150-g/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Integral Ricecrisps Sésamo 100 g;Ricecrisps;3550.0;;;3550.0;matched;https://www.jumbo.cl/galleta-de-arroz-want-want-integral-de-sesamo-100-g/p
Arroz;G;22.2;666.0;jumbo;Tortitas de Arroz Bio Zentrale Orgánicas 100 g;Bio Zentrale;1790.0;;;1790.0;matched;https://www.jumbo.cl/tortitas-de-arroz-biozentrale-100g/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Cuisine & Co Sal de Mar 100 g;Cuisine & Co;2990.0;;;2990.0;matched;https://www.jumbo.cl/galleta-de-arroz-sal-de-mar-100-grs-c-and-co-2000972/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Cuisine & Co Tomate y Albahaca 100 g;Cuisine & Co;2990.0;;;2990.0;matched;https://www.jumbo.cl/gall-de-arroz-tomate-y-alb-100-grs-c-and-co-1995348/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Kupiec Natural 90 g;Kupiec;2430.0;;;2430.0;matched;https://www.jumbo.cl/galletas-de-arroz-kupiec-natural-90-g/p
Arroz;G;22.2;666.0;jumbo;Chips de Arroz Tasty Snack Sabor Zapallo;Tasty Snack;3550.0;;;3550.0;matched;https://www.jumbo.cl/chips-de-arroz-tasty-snax-sabor-zapallo-1991979/p
Arroz;G;22.2;666.0;jumbo;Chips de Arroz Tasty Snax Sabor Camote Morado 100 g;Ricecrisps;3550.0;;;3550.0;matched;https://www.jumbo.cl/galle-arroz-ricecrips-camote-morad-100gr-1938573/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Integral Ricecrisps Multigrano 100 g;Ricecrisps;3550.0;;;3550.0;matched;https://www.jumbo.cl/galletas-de-arroz-integral-multigrano-100-g/p
Arroz;G;22.2;666.0;jumbo;Tortitas de Arroz Integral Bicentury Sin Sal 130 g;Bicentury;2390.0;;;2390.0;matched;https://www.jumbo.cl/tortitas-de-arroz-integral-bicentury-bolsa-130-g-nackis-sin-sal/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Kupiec Sésamo 90 g;Kupiec;2430.0;;;2430.0;matched;https://www.jumbo.cl/galleta-de-arroz-kupiec-sesamo-90-g/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Cuisine & Co Queso 100 g;Cuisine & Co;2990.0;;;2990.0;matched;https://www.jumbo.cl/galleta-de-arroz-queso-100-grs-c-and-co-1995349/p
Arroz;G;22.2;666.0;jumbo;Tortitas de Arroz Bio Zentrale Sal de Mar Orgánicas 100 g;Bio Zentrale;1990.0;;;1990.0;matched;https://www.jumbo.cl/tortitas-arroz-sal-de-mar-biozentra-100g/p
Arroz;G;22.2;666.0;jumbo;Tortitas de Arroz Integral Bicentury 130 g;Bicentury;2290.0;;;2290.0;matched;https://www.jumbo.cl/tortitas-de-arroz-integral-nackis-bolsa-130-g-2/p
Arroz;G;22.2;666.0;jumbo;Galleta de Arroz Deluxe & Bla Bla Salada 98 g;Deluxe & Bla Bla;2450.0;;;2450.0;matched;https://www.jumbo.cl/gall-arroz-salada-deluxe-98g-1969945/p
Arroz;G;22.2;666.0;jumbo;Galleta de Arroz Cuisine & Co con Sal 100 g;Cuisine & Co;1390.0;;;1390.0;matched;https://www.jumbo.cl/galleta-de-arroz-con-sal-100-g-1918705/p
Arroz;G;22.2;666.0;jumbo;Galletas Arroz Selz Envase 100 g;Selz;1850.0;;;1850.0;matched;https://www.jumbo.cl/galletas-selz-envase-100-g-arroz/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Cerealitas Libre de Gluten 160 g;Cerealitas;3790.0;;;3790.0;matched;https://www.jumbo.cl/galletas-cerealitas-bolsa-160-g-arroz-sin-gluten/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Integral Ricecrisps Sésamo 100 g;Ricecrisps;3550.0;;;3550.0;matched;https://www.jumbo.cl/galleta-de-arroz-want-want-integral-de-sesamo-100-g/p
Arroz;G;22.2;666.0;jumbo;Tortitas de Arroz Bio Zentrale Orgánicas 100 g;Bio Zentrale;1790.0;;;1790.0;matched;https://www.jumbo.cl/tortitas-de-arroz-biozentrale-100g/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Cuisine & Co Sal de Mar 100 g;Cuisine & Co;2990.0;;;2990.0;matched;https://www.jumbo.cl/galleta-de-arroz-sal-de-mar-100-grs-c-and-co-2000972/p
Arroz;G;22.2;666.0;jumbo;Picado Naturnes Carne Zanahoria Arroz 250 g;Naturnes;2650.0;;;2650.0;matched;https://www.jumbo.cl/picado-nestle-carne-zan-receta-casera-250-g/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Baby Mum Mum Berries Orgánicas 50 g;Baby Mum Mum;3350.0;;;3350.0;matched;https://www.jumbo.cl/galleta-arroz-baby-mum-mum-berri-org-50g-1895051/p
Arroz;G;22.2;666.0;jumbo;Picado Naturnes Pollo Zanahoria Arroz 215 g;Naturnes;2370.0;;;2370.0;matched;https://www.jumbo.cl/picado-de-pollo-nestle-frasco-215-g-con-arroz-y-zanahoria-etapa-3-2/p
Arroz;G;22.2;666.0;jumbo;Galleta de Arroz Baby Mum Mum Manzana Zapallo 1 un.;Baby Mum Mum;3750.0;;;3750.0;matched;https://www.jumbo.cl/galleta-de-arroz-manzana-zapallo-unid/p
Arroz;G;22.2;666.0;jumbo;Cereal de Arroz Baby Mum Mum Baby Puffs Frutas y Arándano 50 g;Baby Mum Mum;3530.0;;;3530.0;matched;https://www.jumbo.cl/cereal-arroz-baby-puffs-frut-aran-50g-1895049/p
Arroz;G;22.2;666.0;jumbo;Galletas de Arroz Baby Mum Mum Tropicales Orgánicas 50 g;Baby Mum Mum;3350.0;;;3350.0;matched;https://www.jumbo.cl/galleta-arroz-baby-mum-mum-tropi-org-50g-1895050/p
