cba_name;formato_objetivo;supermarket;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;match_score;detail_url
Arroz;1 kg clasico;jumbo;92364;Arroz Grado 2 Cuisine & Co Largo y Delgado 1 kg;Cuisine & Co;1590.0;1590.0;1200.0;;;;mass;1000.0;;;1.59;;;Arroz;9.5;https://www.jumbo.cl/arroz-largo-fino-1-kg-cuisine-and-co-1845787/p
Arroz;1 kg clasico;jumbo;92364;Arroz Grado 2 Cuisine & Co Largo y Delgado 1 kg;Cuisine & Co;1590.0;1590.0;1200.0;;;;mass;1000.0;;;1.59;;;Arroz, Quinoa y Cuscús (Mostrar todo);9.5;https://www.jumbo.cl/arroz-largo-fino-1-kg-cuisine-and-co-1845787/p
Arroz;1 kg clasico;jumbo;1621;Arroz Grado 2 Tucapel Blue Grano Largo y Delgado 1 kg;Tucapel;1790.0;1790.0;1790.0;;;;mass;1000.0;;;1.79;;;Arroz;9.5;https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-blue-bonnet-grano-largo-y-delgado/p
Arroz;1 kg clasico;jumbo;1621;Arroz Grado 2 Tucapel Blue Grano Largo y Delgado 1 kg;Tucapel;1790.0;1790.0;1790.0;;;;mass;1000.0;;;1.79;;;Arroz, Quinoa y Cuscús (Mostrar todo);9.5;https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-blue-bonnet-grano-largo-y-delgado/p
Arroz;1 kg clasico;jumbo;97673;Arroz Grado 1 Grano Largo y Delgado 1 kg;Cuisine & Co;1890.0;1890.0;1890.0;;;;mass;1000.0;;;1.89;;;Arroz;9.5;https://www.jumbo.cl/arroz-largo-fino-1-kg-cuisine-and-co-1845786/p
Pan corriente sin envasar;500 g a 1 kg pan corriente;jumbo;8878;Pan Campo 550 g;Jumbo Artesanal;2290.0;2290.0;2290.0;;;;mass;550.0;;;4.163636363636364;;;Pan Artesanal;6.5;https://www.jumbo.cl/pan-campo-rustico-jumbo-550-g-1-unid-2/p
Pan corriente sin envasar;500 g a 1 kg pan corriente;jumbo;22510;Pan Amasado Pilmayquen 480 g;Pilmayquén;2690.0;2690.0;2690.0;;;;mass;480.0;;;5.604166666666667;;;Pan Congelado y Precocido;6.5;https://www.jumbo.cl/pan-amasado-pilmayquen-480-g/p
Pan corriente sin envasar;500 g a 1 kg pan corriente;jumbo;25442;Pan Hallulla Pilmayquen 480 g 10 un.;Pilmayquen;2690.0;2690.0;2690.0;;;;mass;480.0;;;5.604166666666667;;;Pan Congelado y Precocido;6.5;https://www.jumbo.cl/pan-hallulla-pilmayquen-10-unid-480-g/p
Pan corriente sin envasar;500 g a 1 kg pan corriente;jumbo;22461;Pan Pumpernickel Mestemacher Alemán 500 g;Mestemacher;2790.0;2790.0;2232.0;;;;mass;500.0;;;5.58;;;Pan Integral y Funcional;6.5;https://www.jumbo.cl/pan-pumpernickel-mestemacher-500-g/p
Pan corriente sin envasar;500 g a 1 kg pan corriente;jumbo;22470;Pan Mestemacher Línea Ligera 500 g;Mestemacher;2890.0;2890.0;2312.0;;;;mass;500.0;;;5.78;;;Pan Integral y Funcional;6.5;https://www.jumbo.cl/pan-integral-centeno-y-avena-mestemacher-500-g/p
