cba_name;supermarket;formato_objetivo;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;match_score;detail_url
Aceite vegetal combinado o puro;jumbo;1 litro;15148;Aceite Vegetal Belmont 1 L;Belmont;3150.0;3150.0;3150.0;;;;volume;1000.0;;;3.15;;;Aceite;9.5;https://www.jumbo.cl/aceite-vegetal-belmont-1-l-0-colesterol/p
Aceite vegetal combinado o puro;lider;1 litro;dom_8;Aceite Vegetal Botella, 1 L;;2390.0;2390.0;2390.0;;;;volume;1000.0;;;2.39;;Aceites y Aderezos > Aceites;;9.5;https://super.lider.cl/ip/aceites-y-aderezos/00780281001202
Agua mineral;jumbo;1 litro a 3 litros;134524;Agua Benedictino Manzana 2 L;Benedictino;1190.0;1190.0;1190.0;;;;volume;2000.0;;;0.595;;;Aguas (Mostrar todo);5.0;https://www.jumbo.cl/agua-benedictino-manzana-2l-1991087/p
Agua mineral;lider;1 litro a 3 litros;dom_3;Agua Purificada Con Gas Botella, 3 L;;1000.0;1000.0;333.0;;;;volume;3000.0;;;0.3333333333333333;;Aguas > Mineral o Purificada;;5.0;https://super.lider.cl/ip/aguas/00780162001045
Agua mineral;unimarc;1 litro a 3 litros;93222;Agua mineral sin gas Manantial 3L;Manantial;1150.0;1150.0;1000.0;10000.0;litro;1 un;volume;3000.0;;;0.38333333333333336;;Aguas;Agua sin gas;5.0;https://www.unimarc.cl/agua-mineral-sin-gas-manantial-pet-3lt/p
Arroz;jumbo;1 kg clasico;92364;Arroz Grado 2 Cuisine & Co Largo y Delgado 1 kg;Cuisine & Co;1590.0;1590.0;1200.0;;;;mass;1000.0;;;1.59;;;Arroz;9.5;https://www.jumbo.cl/arroz-largo-fino-1-kg-cuisine-and-co-1845787/p
Avena;jumbo;500 g tradicional o instantanea;22467;Pan Centeno Mestemacher Orgánico con Avena y Cebada 500 g;Mestemacher;3290.0;3290.0;2632.0;;;;mass;500.0;;;6.58;;;Pan Integral y Funcional;8.0;https://www.jumbo.cl/pan-organico-tres-granos-mestemacher-500-g-2/p
Avena;lider;500 g tradicional o instantanea;dom_5;Avena Instantanea, 500 g;;1940.0;1940.0;970.0;;;;mass;500.0;;;3.88;;Cereales > Avenas;;8.0;https://super.lider.cl/ip/cereales/00780396000036
Avena;unimarc;500 g tradicional o instantanea;74188;Harina de avena Quaker integral 450 g;Quaker;2990.0;2990.0;2990.0;;Kg;1 un;mass;450.0;;;6.644444444444445;;Harina y repostería;Harina;7.7;https://www.unimarc.cl/harina-de-avena-integral-quaker-450-gr/p
Azúcar;jumbo;1 kg;88730;Azúcar Cuisine & Co Blanca Granulada 1 kg;Cuisine & Co;1290.0;1290.0;1290.0;;;;mass;1000.0;;;1.29;;;Azúcar;8.0;https://www.jumbo.cl/azucar-blanca-granulada-1-kg-cuisine-and-co-1821380/p
Azúcar;lider;1 kg;dom_1;Azúcar Blanca Granulada Bolsa, 1 kg;;1000.0;1000.0;1000.0;;;;mass;1000.0;;;1.0;;Dulces Mermeladas y Manjar > Azúcar;;8.0;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00780150500049
Bebida gaseosa tradicional;jumbo;1.5 L a 3 L;16236;Bebida Sorbete Letelier Guinda 2 L;Sorbete Letelier;1790.0;1790.0;1790.0;;;;volume;2000.0;;;0.895;;;Bebidas Regulares;5.0;https://www.jumbo.cl/bebida-sorbete-letelier-2-l-guinda/p
Bebida gaseosa tradicional;lider;1.5 L a 3 L;dom_32;Bebida Original Botella, 1500 ml;;1450.0;1450.0;967.0;;;;volume;1500.0;;;0.9666666666666667;;Bebidas > Regulares;;5.0;https://super.lider.cl/ip/bebidas/00780162001451
Bebida gaseosa tradicional;unimarc;1.5 L a 3 L;471;Bebida Coca Cola retornable 2 L + envase;Coca Cola;1990.0;1990.0;1990.0;15900.0;litro;1 un;volume;2000.0;;;0.995;;Bebidas;Bebidas regulares;5.0;https://www.unimarc.cl/beb-coca-cola-2-l-retorn/p
Cebolla nueva;jumbo;1 kg;5771;Cebolla Malla 1 kg;Frutas y Verduras Propias;1790.0;1790.0;1790.0;;;;mass;1000.0;;;1.79;;;Verduras (Mostrar todo);8.0;https://www.jumbo.cl/cebolla-feria-jumbo-malla-1-kg-8-unidad-aprox/p
Cebolla nueva;lider;1 kg;dom_1;Cebolla Malla, 1 Kg;;3000.0;3000.0;1690.0;;;;mass;1000.0;;;3.0;;Verduras > Papas y Cebollas;;8.0;https://super.lider.cl/ip/verduras/00780460020020
Cebolla nueva;unimarc;1 kg;339;Cebolla malla 1 Kg;Frutas Y Verduras;1690.0;1690.0;1690.0;;Kg;1 un;mass;1000.0;;;1.69;;Verduras;Verduras;8.0;https://www.unimarc.cl/cebolla-malla-1-kilo/p
Choclo congelado;jumbo;500 g;75176;Choclo Congelado en Grano 500 g;Cuisine & Co;1890.0;1890.0;1890.0;;;;mass;500.0;;;3.78;;;Choclos, Arvejas y Primaveras;8.0;https://www.jumbo.cl/choclo-en-grano-congelado-500-g-cuisine-and-co-1763677/p
Choclo congelado;lider;500 g;dom_2;Choclo en Granos Congelado, 500 g;;3100.0;3100.0;1550.0;;;;mass;500.0;;;6.2;;Verduras y Frutas Congeladas > Verduras Congeladas;;8.0;https://super.lider.cl/ip/verduras-y-frutas-congeladas/00780122000121
Choclo congelado;unimarc;500 g;92012;Choclo grano Nuestra Cocina 500 g;Nuestra Cocina;1660.0;1660.0;1390.0;13900.0;Kg;1 un;mass;500.0;;;3.32;;Frutas y verduras congeladas;Verduras congeladas;8.0;https://www.unimarc.cl/choclo-congelado-nuestra-cocina-500gr/p
Chocolate;jumbo;barra economica;126748;Chocolate Confitados Chubi 90 g;Arcor;1190.0;1190.0;1000.0;;;;mass;90.0;;;13.222222222222221;;;Chocolates y Tentaciones;5.0;https://www.jumbo.cl/chubi-doypack-90gr-1959624/p
Chocolate;lider;barra economica;4000042206;Barra De Chocolate Con Leche Y Caramelo, 48 g;;1350.0;1350.0;1350.0;;;;mass;48.0;;;28.125;;Chocolates > Chocolates;;5.0;https://super.lider.cl/ip/variedad/00004000042206
Chocolate;unimarc;barra economica;10334;Chocolate Capri relleno sabor almendra 30 g;Capri;650.0;650.0;650.0;;Kg;1 un;mass;30.0;;;21.666666666666668;;Chocolates y confites;Chocolates;5.0;https://www.unimarc.cl/chocolate-almendra-fondant-nestle-30gr/p
Espiral;jumbo;400 g a 1 kg pasta espiral;2299;Pasta Espiral N°49 Carozzi 400 g;Carozzi;1070.0;1070.0;1070.0;;;;mass;400.0;;;2.675;;;Pastas y Fideos;5.0;https://www.jumbo.cl/espirales-carozzi-bolsa-400-g/p
Harina de trigo;jumbo;1 kg;99156;Harina El Peral Sin Polvos de Hornear 1 kg;El Peral;1060.0;1060.0;1060.0;;;;mass;1000.0;;;1.06;;;Harina Blanca;8.0;https://www.jumbo.cl/harina-el-peral-sin-polvo-1-kg-1821024/p
Harina de trigo;lider;1 kg;dom_3;Harina Fuerza, 1 kg;;950.0;950.0;950.0;;;;mass;1000.0;;;0.95;;Harinas y Polvos > Otras Harinas;;8.0;https://super.lider.cl/ip/harinas-y-polvos/00780956180076
Harina de trigo;unimarc;1 kg;35023;Harina Merkat sin polvos 1 Kg;Merkat;850.0;850.0;850.0;10000.0;Kg;1 un;mass;1000.0;;;0.85;;Harina y repostería;Harina;8.0;https://www.unimarc.cl/harina-s-polvo-merkat-1-kg/p
Huevo de gallina;jumbo;6 a 12 unidades;156583;Huevo Cuisine & Co Extra Grande Blanco Gallina Libre 12 un.;Cuisine & Co;4990.0;4990.0;4990.0;;;;unit;12.0;;;415.8333333333333;;;Huevos (Mostrar todo);5.0;https://www.jumbo.cl/huevo-ex-gran-blanco-12u-gall-libre-c-and-co-2045697/p
Huevo de gallina;lider;6 a 12 unidades;dom_28;Huevo Blanco Grande, 6 Un;;2390.0;2390.0;398.0;;;;unit;6.0;;;398.3333333333333;;Huevos y Mantequillas > Huevos;;5.0;https://super.lider.cl/ip/huevos-y-mantequillas/00780418000000
Huevo de gallina;unimarc;6 a 12 unidades;96584;Huevo metálico decorativo modelo Easter Dkora;Dkora;2190.0;2190.0;2190.0;27700.0;unidad;1 un;unit;6.0;;;375.0;;Librería, celebraciones y juguetes;Juegos y juguetes;5.0;https://www.unimarc.cl/huevo-metalico-easter-26-dkora/p
Jamón de cerdo;jumbo;100 g a 500 g;17329;Suprema de Pollo Receta del Abuelo Jamón y Queso 120 g;Receta del Abuelo;1430.0;1430.0;1430.0;;;;mass;120.0;;;11.916666666666666;;;Nuggets, Apanados y Embutidos (Mostrar todo);5.0;https://www.jumbo.cl/suprema-de-pollo-jamon-y-queso-receta-del-abuelo-120-g/p
Jamón de cerdo;lider;100 g a 500 g;dom_9;Paté De Jamón Untable, 125 g;;5680.0;5680.0;70.0;;;;mass;125.0;;;45.44;;Fiambres y Embutidos > Patés;;5.0;https://super.lider.cl/ip/fiambres-y-embutidos/00780190700440
Jamón de cerdo;unimarc;100 g a 500 g;89270;Paté de jamón Fundo Río Alegre 125 g;Fundo Rio Alegre;710.0;710.0;710.0;8200.0;Kg;1 un;mass;125.0;;;5.68;;Fiambres y embutidos;Paté;5.0;https://www.unimarc.cl/pate-de-jamon-fundo-rio-alegre-125-gr-2/p
Jugo líquido;jumbo;1 litro;14887;Sucedáneo Jugo Limón Pica Traverso 1 L;Traverso;2390.0;2390.0;2390.0;;;;volume;1000.0;;;2.39;;;Vinagres y Sucedáneos;8.0;https://www.jumbo.cl/sucedaneo-de-jugo-de-limon-de-pica-traverso-1-l/p
Jugo líquido;lider;1 litro;dom_19;Jugo de Manzana Caja, 1 L;;1450.0;1450.0;1450.0;;;;volume;1000.0;;;1.45;;Jugos > Líquidos;;8.0;https://super.lider.cl/ip/jugos/00060538892645
Jugo líquido;unimarc;1 litro;19;Sucedáneo jugo de limón Traverso 1 L;Traverso;2490.0;2490.0;2490.0;30000.0;litro;1 un;volume;1000.0;;;2.49;;Aceite y aliños;Sucedáneo;8.0;https://www.unimarc.cl/sucedaneo-de-jugo-de-limon-traverso-1-l/p
Leche líquida entera;jumbo;1 litro;134465;Leche Surlat Entera 1 L;Surlat;1050.0;1050.0;1050.0;;;;volume;1000.0;;;1.05;;;Leches (Mostrar todo);10.5;https://www.jumbo.cl/leche-entera-surlat-b-a-1l-1991554/p
Leche líquida entera;lider;1 litro;dom_1;Leche Natural Entera caja, 1 L;;990.0;990.0;990.0;;;;volume;1000.0;;;0.99;;Leche > Blanca;;10.5;https://super.lider.cl/ip/leche/00040000720074
Leche líquida entera;unimarc;1 litro;82635;Leche entera Los Peumos 1 L;Los Peumos;1050.0;1050.0;950.0;9500.0;litro;1 un;volume;1000.0;;;1.05;;Leches y cremas;Leches blancas;12.0;https://www.unimarc.cl/leche-entera-tetra-los-peumos-1lt/p
Lechuga;jumbo;1 unidad o equivalente;5632;Lechuga Escarola 300 g;Genial;1990.0;1990.0;1990.0;;;;mass;300.0;;;6.633333333333334;;;Ensaladas;5.0;https://www.jumbo.cl/lechuga-escarola-genial-300-g/p
Lechuga;unimarc;1 unidad o equivalente;13806;Lechuga escarola Genial 300 g;Genial;1890.0;1890.0;1890.0;;Kg;1 un;mass;300.0;;;6.3;;Verduras;Ensaladas listas;5.0;https://www.unimarc.cl/lechuga-escarola-genial-300-gr/p
Limón;jumbo;1 kg granel;5799;Limón Malla 1 kg;Frutas y Verduras Propias;2090.0;2090.0;2090.0;;;;mass;1000.0;;;2.09;;;Verduras (Mostrar todo);8.0;https://www.jumbo.cl/limon-jumbo-malla-1-kg/p
Limón;lider;1 kg granel;dom_1;Limón Malla, 1 kg;;1950.0;1950.0;1950.0;;;;mass;1000.0;;;1.95;;Frutas > Limón Naranja y Cítricos;;8.0;https://super.lider.cl/ip/frutas/00780465943000
Limón;unimarc;1 kg granel;479;Limón malla 1 Kg;Frutas Y Verduras;1990.0;1990.0;1990.0;14900.0;Kg;1 un;mass;1000.0;;;1.99;;Verduras;Verduras;8.0;https://www.unimarc.cl/limon-malla-11-unid-aprox/p
Mantequilla con sal;jumbo;100 g a 250 g;150774;Baguette Coolback Mantequilla Hierbas Congelada 175 g;Coolback;1590.0;1590.0;1590.0;;;;mass;175.0;;;9.085714285714285;;;Apanados;5.0;https://www.jumbo.cl/bag-hierbas-manteq-2037028/p
Mantequilla con sal;lider;100 g a 250 g;dom_9;Cabritas para microondas Mantequilla, 91 g;;1550.0;1550.0;1550.0;;;;mass;91.0;;;17.032967032967033;;Snacks y Picoteo > Cabritas;;5.0;https://super.lider.cl/ip/snacks-y-picoteo/00007615060133
