cba_name;formato_objetivo;supermarkets_found;best_supermarket;best_name;best_brand;best_price_num;best_unit;best_net_content;best_unit_family;best_size_std;best_discount_price_num;best_price_per_unit_web;best_price_per_unit_list_web;best_price_per_std_unit_calc;best_category_std;best_subcategory;best_last_category;best_match_score;best_detail_url;price_jumbo;price_lider;price_unimarc
Aceite vegetal combinado o puro;1 litro;2;lider;Aceite Vegetal Botella, 1 L;Belmont;2390.0;;;volume;1000.0;;;;2.39;;Aceites y Aderezos > Aceites;Aceite;9.5;https://super.lider.cl/ip/aceites-y-aderezos/00780281001202;3150.0;2390.0;
Agua mineral;1 litro a 3 litros;3;lider;Agua Purificada Con Gas Botella, 3 L;Manantial;1000.0;litro;1 un;volume;3000.0;10000.0;;;0.3333333333333333;;Aguas > Mineral o Purificada;Agua sin gas;5.0;https://super.lider.cl/ip/aguas/00780162001045;1190.0;1000.0;1150.0
Arroz;1 kg clasico;1;jumbo;Arroz Grado 2 Cuisine & Co Largo y Delgado 1 kg;Cuisine & Co;1590.0;;;mass;1000.0;;;;1.59;;;Arroz;9.5;https://www.jumbo.cl/arroz-largo-fino-1-kg-cuisine-and-co-1845787/p;1590.0;;
Avena;500 g tradicional o instantanea;3;lider;Avena Instantanea, 500 g;Quaker;1940.0;Kg;1 un;mass;500.0;;;;3.88;;Cereales > Avenas;Harina;8.0;https://super.lider.cl/ip/cereales/00780396000036;3290.0;1940.0;2990.0
Azúcar;1 kg;2;lider;Azúcar Blanca Granulada Bolsa, 1 kg;Cuisine & Co;1000.0;;;mass;1000.0;;;;1.0;;Dulces Mermeladas y Manjar > Azúcar;Azúcar;8.0;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00780150500049;1290.0;1000.0;
Bebida gaseosa tradicional;1.5 L a 3 L;3;lider;Bebida Original Botella, 1500 ml;Sorbete Letelier;1450.0;litro;1 un;volume;1500.0;15900.0;;;0.9666666666666667;;Bebidas > Regulares;Bebidas Regulares;5.0;https://super.lider.cl/ip/bebidas/00780162001451;1790.0;1450.0;1990.0
Cebolla nueva;1 kg;3;unimarc;Cebolla malla 1 Kg;Frutas Y Verduras;1690.0;Kg;1 un;mass;1000.0;;;;1.69;;Verduras;Verduras;8.0;https://www.unimarc.cl/cebolla-malla-1-kilo/p;1790.0;3000.0;1690.0
Choclo congelado;500 g;3;unimarc;Choclo grano Nuestra Cocina 500 g;Nuestra Cocina;1660.0;Kg;1 un;mass;500.0;13900.0;;;3.32;;Frutas y verduras congeladas;Verduras congeladas;8.0;https://www.unimarc.cl/choclo-congelado-nuestra-cocina-500gr/p;1890.0;3100.0;1660.0
Chocolate;barra economica;3;unimarc;Chocolate Capri relleno sabor almendra 30 g;Capri;650.0;Kg;1 un;mass;30.0;;;;21.666666666666668;;Chocolates y confites;Chocolates;5.0;https://www.unimarc.cl/chocolate-almendra-fondant-nestle-30gr/p;1190.0;1350.0;650.0
Espiral;400 g a 1 kg pasta espiral;1;jumbo;Pasta Espiral N°49 Carozzi 400 g;Carozzi;1070.0;;;mass;400.0;;;;2.675;;;Pastas y Fideos;5.0;https://www.jumbo.cl/espirales-carozzi-bolsa-400-g/p;1070.0;;
Harina de trigo;1 kg;3;unimarc;Harina Merkat sin polvos 1 Kg;Merkat;850.0;Kg;1 un;mass;1000.0;10000.0;;;0.85;;Harina y repostería;Harina;8.0;https://www.unimarc.cl/harina-s-polvo-merkat-1-kg/p;1060.0;950.0;850.0
Huevo de gallina;6 a 12 unidades;3;unimarc;Huevo metálico decorativo modelo Easter Dkora;Dkora;2190.0;unidad;1 un;unit;6.0;27700.0;;;375.0;;Librería, celebraciones y juguetes;Juegos y juguetes;5.0;https://www.unimarc.cl/huevo-metalico-easter-26-dkora/p;4990.0;2390.0;2190.0
Jamón de cerdo;100 g a 500 g;3;unimarc;Paté de jamón Fundo Río Alegre 125 g;Fundo Rio Alegre;710.0;Kg;1 un;mass;125.0;8200.0;;;5.68;;Fiambres y embutidos;Paté;5.0;https://www.unimarc.cl/pate-de-jamon-fundo-rio-alegre-125-gr-2/p;1430.0;5680.0;710.0
