cba_name;formato_objetivo;supermarket;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;premium_score;detail_url
Arroz;1 kg premium;jumbo;1621;Arroz Grado 2 Tucapel Blue Grano Largo y Delgado 1 kg;Tucapel;1790.0;1790.0;1790.0;;;;mass;1000.0;;;1.79;;;Arroz;14.5;https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-blue-bonnet-grano-largo-y-delgado/p
Arroz;1 kg premium;jumbo;1621;Arroz Grado 2 Tucapel Blue Grano Largo y Delgado 1 kg;Tucapel;1790.0;1790.0;1790.0;;;;mass;1000.0;;;1.79;;;Arroz, Quinoa y Cuscús (Mostrar todo);14.5;https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-blue-bonnet-grano-largo-y-delgado/p
Arroz;1 kg premium;jumbo;1623;Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg;Tucapel;2090.0;2090.0;1590.0;;;;mass;1000.0;;;2.09;;;Arroz;14.5;https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-gran-seleccion-grano-largo-y-ancho/p
Arroz;1 kg premium;jumbo;1624;Arroz Grado 2 Tucapel Grano Largo y Ancho Graneado 1 kg;Tucapel;2090.0;2090.0;2090.0;;;;mass;1000.0;;;2.09;;;Arroz;14.5;https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-graneado-grano-largo-y-ancho/p
Arroz;1 kg premium;jumbo;1623;Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg;Tucapel;2090.0;2090.0;1590.0;;;;mass;1000.0;;;2.09;;;Arroz, Quinoa y Cuscús (Mostrar todo);14.5;https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-gran-seleccion-grano-largo-y-ancho/p
Arroz;1 kg premium;jumbo;1624;Arroz Grado 2 Tucapel Grano Largo y Ancho Graneado 1 kg;Tucapel;2090.0;2090.0;2090.0;;;;mass;1000.0;;;2.09;;;Arroz, Quinoa y Cuscús (Mostrar todo);14.5;https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-graneado-grano-largo-y-ancho/p
Arroz;1 kg premium;jumbo;44312;Arroz Grado 1 Tucapel Grano Largo Delgado 1 kg;Tucapel;2290.0;2290.0;1690.0;;;;mass;1000.0;;;2.29;;;Arroz;14.5;https://www.jumbo.cl/arroz-tucapel-grado-1-blue-bonnet-1-kg/p
Arroz;1 kg premium;jumbo;15088;Arroz Grado 2 Miraflores Grano Largo y Laminado 1 kg;Miraflores;2290.0;2290.0;2290.0;;;;mass;1000.0;;;2.29;;;Arroz;14.5;https://www.jumbo.cl/arroz-miraflores-1-kg-grado-2-grano-largo-laminado/p
Arroz;1 kg premium;jumbo;44312;Arroz Grado 1 Tucapel Grano Largo Delgado 1 kg;Tucapel;2290.0;2290.0;1690.0;;;;mass;1000.0;;;2.29;;;Arroz, Quinoa y Cuscús (Mostrar todo);14.5;https://www.jumbo.cl/arroz-tucapel-grado-1-blue-bonnet-1-kg/p
Arroz;1 kg premium;jumbo;15088;Arroz Grado 2 Miraflores Grano Largo y Laminado 1 kg;Miraflores;2290.0;2290.0;2290.0;;;;mass;1000.0;;;2.29;;;Arroz, Quinoa y Cuscús (Mostrar todo);14.5;https://www.jumbo.cl/arroz-miraflores-1-kg-grado-2-grano-largo-laminado/p
Arroz;1 kg premium;jumbo;1617;Arroz Grado 1 Tucapel Pregraneado Grano Largo 1 kg;Tucapel;2490.0;2490.0;1790.0;;;;mass;1000.0;;;2.49;;;Arroz;14.5;https://www.jumbo.cl/arroz-grado-1-tucapel-1-kg-pregraneado-grano-largo/p
Arroz;1 kg premium;jumbo;1617;Arroz Grado 1 Tucapel Pregraneado Grano Largo 1 kg;Tucapel;2490.0;2490.0;1790.0;;;;mass;1000.0;;;2.49;;;Arroz, Quinoa y Cuscús (Mostrar todo);14.5;https://www.jumbo.cl/arroz-grado-1-tucapel-1-kg-pregraneado-grano-largo/p
Arroz;1 kg premium;lider;dom_3;Arroz Tucapel Extra Fino Grado 2 Grano largo fino, 1 kg;;1000.0;1000.0;1000.0;;;;mass;1000.0;;;1.0;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142000224
Arroz;1 kg premium;lider;dom_7;Arroz Grado 2 Grano Largo y Delgado Bolsa, 1 kg;;1350.0;1350.0;1350.0;;;;mass;1000.0;;;1.35;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/nuestras-marcas/00780460822421
Arroz;1 kg premium;lider;dom_8;Arroz Grado 2 Grano Largo Bolsa, 1 kg;;1490.0;1490.0;1490.0;;;;mass;1000.0;;;1.49;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142022013
Arroz;1 kg premium;lider;dom_16;Arroz Grado 1 Grano Largo y Delgado Bolsa, 1 kg;;1690.0;1690.0;1690.0;;;;mass;1000.0;;;1.69;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780963720030
Arroz;1 kg premium;lider;dom_10;Arroz Grado 2 Grano Largo Bolsa, 1 kg;;1750.0;1750.0;1750.0;;;;mass;1000.0;;;1.75;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142021013
Arroz;1 kg premium;lider;dom_12;Arroz Grado 2 Grano Largo y Ancho Bolsa, 1 kg;;1750.0;1750.0;1750.0;;;;mass;1000.0;;;1.75;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142000015
Arroz;1 kg premium;lider;dom_14;Arroz Grado 1 Grano Largo Pregraneado Bolsa, 1 kg;;1850.0;1850.0;1850.0;;;;mass;1000.0;;;1.85;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142000195
Arroz;1 kg premium;lider;dom_11;Arroz Grado 1 Grano Largo y Ancho Bolsa, 1 kg;;2000.0;2000.0;2000.0;;;;mass;1000.0;;;2.0;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142000013
Arroz;1 kg premium;lider;dom_20;Arroz Grado 2 Grano Largo Bolsa, 1 kg;;2090.0;2090.0;2090.0;;;;mass;1000.0;;;2.09;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780311010223
Arroz;1 kg premium;lider;dom_1;Arroz Integral Grado 1 Grano Largo y Ancho Bolsa, 1 kg;;2090.0;2090.0;2090.0;;;;mass;1000.0;;;2.09;;Arroz y Legumbres > Arroz Integral;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142000080
Arroz;1 kg premium;lider;dom_21;Arroz Grado 2 Largo Ancho Bolsa, 1 kg;;2150.0;2150.0;360.0;;;;mass;1000.0;;;2.15;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780261500657
Arroz;1 kg premium;lider;dom_15;Arroz Grado 1 Grano Largo Blue Bonnet Bolsa, 1 Kg;;2290.0;2290.0;600.0;;;;mass;1000.0;;;2.29;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142000169
Arroz;1 kg premium;unimarc;475;Arroz Tucapel blue bonnet G2 1 Kg;Tucapel;1850.0;1850.0;1850.0;;Kg;1 un;mass;1000.0;;;1.85;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g2-tucapel-blue-bonnet-largo-1-kg/p
Arroz;1 kg premium;unimarc;34;Arroz Tucapel gran selección G2 laminado 1 Kg;Tucapel;2090.0;2090.0;1090.0;10900.0;Kg;1 un;mass;1000.0;;;2.09;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g2-tucapel-gran-seleccion-laminado-largo-1/p
Arroz;1 kg premium;unimarc;7732;Arroz Tucapel gran selección G2 1 Kg;Tucapel;2150.0;2150.0;2150.0;;Kg;1 un;mass;1000.0;;;2.15;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g2-largo-seleccion-tucapel-1-kg/p
Arroz;1 kg premium;unimarc;12329;Arroz Tucapel blue bonnet G1 1 Kg;Tucapel;2290.0;2290.0;2290.0;;Kg;1 un;mass;1000.0;;;2.29;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-blue-bonnet-tucapel-g1-lam-1-kg/p
Arroz;1 kg premium;unimarc;33;Arroz Tucapel gran selección G1 1 Kg;Tucapel;2450.0;2450.0;1890.0;18900.0;Kg;1 un;mass;1000.0;;;2.45;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g1-tucapel-gran-seleccion-largo-1-kg/p
Arroz;1 kg premium;unimarc;2888;Arroz Tucapel pregraneado 1 Kg;Tucapel;2490.0;2490.0;2000.0;20000.0;Kg;1 un;mass;1000.0;;;2.49;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-pregraneado-g1-largo-tucapel-1-kg/p
Arroz;1 kg premium;unimarc;2924;Arroz Miraflores pregraneado G1 largo 1 Kg;Miraflores;2590.0;2590.0;2290.0;22900.0;Kg;1 un;mass;1000.0;;;2.59;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-pregraneado-miraflores-1-kg/p
Arroz;1 kg premium;unimarc;31;Arroz Miraflores G1 largo ancho bolsa 1 Kg;Miraflores;2690.0;2690.0;2690.0;;Kg;1 un;mass;1000.0;;;2.69;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g1-miraflores-largo-ancho-1-kg/p
