cba_name;supermarket;formato_objetivo;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;premium_score;detail_url
Aceite vegetal combinado o puro;jumbo;1 litro premium;13833;Aceite de Maravilla Chef 1 L;Chef;3750.0;3750.0;2490.0;;;;volume;1000.0;;;3.75;;;Aceite;14.5;https://www.jumbo.cl/aceite-maravilla-chef-1-l/p
Aceite vegetal combinado o puro;lider;1 litro premium;dom_8;Aceite Vegetal Botella, 1 L;;2390.0;2390.0;2390.0;;;;volume;1000.0;;;2.39;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00780281001202
Arroz;jumbo;1 kg premium;1621;Arroz Grado 2 Tucapel Blue Grano Largo y Delgado 1 kg;Tucapel;1790.0;1790.0;1790.0;;;;mass;1000.0;;;1.79;;;Arroz;14.5;https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-blue-bonnet-grano-largo-y-delgado/p
Arroz;lider;1 kg premium;dom_3;Arroz Tucapel Extra Fino Grado 2 Grano largo fino, 1 kg;;1000.0;1000.0;1000.0;;;;mass;1000.0;;;1.0;;Arroz y Legumbres > Arroz;;10.5;https://super.lider.cl/ip/arroz-y-legumbres/00780142000224
Arroz;unimarc;1 kg premium;475;Arroz Tucapel blue bonnet G2 1 Kg;Tucapel;1850.0;1850.0;1850.0;10900.0;Kg;1 un;mass;1000.0;;;1.85;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g2-tucapel-blue-bonnet-largo-1-kg/p
Avena;jumbo;500 g premium;104121;Harina Quaker de Avena Integral 450 g;Quaker;2990.0;2990.0;2990.0;;;;mass;450.0;;;6.644444444444445;;;Harina Integral y Otras;12.7;https://www.jumbo.cl/harina-avena-integral-quaker-450g-1894721/p
Avena;lider;500 g premium;dom_5;Avena Instantanea, 500 g;;1940.0;1940.0;970.0;;;;mass;500.0;;;3.88;;Cereales > Avenas;;9.0;https://super.lider.cl/ip/cereales/00780396000036
Avena;unimarc;500 g premium;74188;Harina de avena Quaker integral 450 g;Quaker;2990.0;2990.0;2990.0;;Kg;1 un;mass;450.0;;;6.644444444444445;;Harina y repostería;Harina;12.7;https://www.unimarc.cl/harina-de-avena-integral-quaker-450-gr/p
Chocolate;jumbo;barra premium;126046;Chocolate de Leche Milka 80 g;Milka;1890.0;1890.0;1890.0;;;;mass;80.0;;;23.625;;;Chocolates en Barra;10.0;https://www.jumbo.cl/chocolate-milka-leche-80-gr-1961629/p
Chocolate;lider;barra premium;4000042206;Barra De Chocolate Con Leche Y Caramelo, 48 g;;1350.0;1350.0;1350.0;;;;mass;48.0;;;28.125;;Chocolates > Chocolates;;6.0;https://super.lider.cl/ip/variedad/00004000042206
Chocolate;unimarc;barra premium;91559;Chocolate Nestlé chocolito 88 g;Nestle;1590.0;1590.0;1590.0;;Kg;1 un;mass;88.0;;;18.068181818181817;;Chocolates y confites;Chocolates;10.0;https://www.unimarc.cl/chocolate-chocolito-nestle-88gr/p
Jamón de cerdo;jumbo;premium;87838;Jamón Pierna Artesanal Winter 200 g;Winter;2350.0;2350.0;2350.0;;;;mass;200.0;;;11.75;;;Jamones;10.0;https://www.jumbo.cl/jamon-pierna-artesanal-200-g-2/p
Jamón de cerdo;lider;premium;dom_9;Paté De Jamón Untable, 125 g;;5680.0;5680.0;70.0;;;;mass;125.0;;;45.44;;Fiambres y Embutidos > Patés;;6.0;https://super.lider.cl/ip/fiambres-y-embutidos/00780190700440
Jamón de cerdo;unimarc;premium;3557;Paté de jamón PF 125 g;Pf;810.0;810.0;810.0;23500.0;Kg;1 un;mass;125.0;;;6.48;;Fiambres y embutidos;Paté;10.0;https://www.unimarc.cl/pate-de-jamon-pf-125-gr/p
Leche líquida entera;jumbo;1 litro premium;6609;Leche Colun Entera 1 L;Colun;1350.0;1350.0;1350.0;;;;volume;1000.0;;;1.35;;;Leches (Mostrar todo);15.5;https://www.jumbo.cl/leche-entera-colun-caja-1-l-natural/p
Leche líquida entera;lider;1 litro premium;dom_1;Leche Natural Entera caja, 1 L;;990.0;990.0;990.0;;;;volume;1000.0;;;0.99;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00040000720074
Leche líquida entera;unimarc;1 litro premium;2974;Leche entera natural con tapa Soprole 1 L Leche entera natural Soprole 1 L;Soprole;1150.0;1150.0;1100.0;11000.0;litro;1 un;volume;1000.0;;;1.15;;Leches y cremas;Leches blancas;17.0;https://www.unimarc.cl/leche-entera-natural-soprole-con-tapa-1-l-2/p
Paté;jumbo;premium;36125;Paté Foie Perello 100 g;Perelló;1450.0;1450.0;1450.0;;;;mass;100.0;;;14.5;;;Pastas Untables;6.0;https://www.jumbo.cl/pate-foie-perello-100-g/p
