cba_name;formato_objetivo;supermarkets_found;best_supermarket;best_name;best_brand;best_price_num;best_unit;best_net_content;best_unit_family;best_size_std;best_discount_price_num;best_price_per_unit_web;best_price_per_unit_list_web;best_price_per_std_unit_calc;best_category_std;best_subcategory;best_last_category;best_premium_score;best_detail_url;price_jumbo;price_lider;price_unimarc
Aceite vegetal combinado o puro;1 litro premium;2;jumbo;Aceite de Maravilla Chef 1 L;Chef;3750.0;;;volume;1000.0;;;;3.75;;Aceites y Aderezos > Aceites;Aceite;14.5;https://www.jumbo.cl/aceite-maravilla-chef-1-l/p;3750.0;2390.0;
Arroz;1 kg premium;3;unimarc;Arroz Tucapel blue bonnet G2 1 Kg;Tucapel;1850.0;Kg;1 un;mass;1000.0;10900.0;;;1.85;;Arroz y legumbres;Arroz;16.0;https://www.unimarc.cl/arroz-g2-tucapel-blue-bonnet-largo-1-kg/p;1790.0;1000.0;1850.0
Avena;500 g premium;3;jumbo;Harina Quaker de Avena Integral 450 g;Quaker;2990.0;Kg;1 un;mass;450.0;;;;6.644444444444445;;Harina y repostería;Harina Integral y Otras;12.7;https://www.jumbo.cl/harina-avena-integral-quaker-450g-1894721/p;2990.0;1940.0;2990.0
Chocolate;barra premium;3;unimarc;Chocolate Nestlé chocolito 88 g;Nestle;1590.0;Kg;1 un;mass;88.0;;;;18.068181818181817;;Chocolates y confites;Chocolates;10.0;https://www.unimarc.cl/chocolate-chocolito-nestle-88gr/p;1890.0;1350.0;1590.0
Jamón de cerdo;premium;3;unimarc;Paté de jamón PF 125 g;Pf;810.0;Kg;1 un;mass;125.0;23500.0;;;6.48;;Fiambres y embutidos;Paté;10.0;https://www.unimarc.cl/pate-de-jamon-pf-125-gr/p;2350.0;5680.0;810.0
Leche líquida entera;1 litro premium;3;unimarc;Leche entera natural con tapa Soprole 1 L Leche entera natural Soprole 1 L;Soprole;1150.0;litro;1 un;volume;1000.0;11000.0;;;1.15;;Leches y cremas;Leches blancas;17.0;https://www.unimarc.cl/leche-entera-natural-soprole-con-tapa-1-l-2/p;1350.0;990.0;1150.0
Paté;premium;3;unimarc;Paté de ternera PF 125 g;Pf;810.0;Kg;1 un;mass;125.0;8900.0;;;6.48;;Fiambres y embutidos;Paté;10.0;https://www.unimarc.cl/pate-de-ternera-pf-125-gr/p;1450.0;5680.0;810.0
Pechuga de pollo;premium;3;unimarc;Pechuga entera de pollo Super Pollo granel 900 g;Super Pollo;4761.0;Kg;900 g;mass;900.0;59900.0;;;5.29;;Pollo;Pechugas y filetitos;18.7;https://www.unimarc.cl/pechuga-entera-super-pollo-granel-1-a-2-kg/p;7690.0;5990.0;4761.0
Queso gouda;premium;1;unimarc;Queso gouda Surlat laminado sin lactosa 200 g;Surlat;3550.0;Kg;1 un;mass;200.0;;;;17.75;;Quesos;Gauda y ranco;7.0;https://www.unimarc.cl/queso-gouda-lam-s-lactosa-surlat-200gr/p;;;3550.0
Trutro de pollo;premium;3;unimarc;Trutro cuarto de pollo Ariztía granel 1 Kg;Ariztia;3190.0;Kg;1 kg;mass;1000.0;36000.0;;;3.19;;Pollo;Trutro;17.0;https://www.unimarc.cl/trutro-cuarto-de-pollo-ariztia-kg/p;4242.0;3990.0;3190.0
Yogurt;premium tradicional;1;jumbo;Yogurt Batido Nestlé Frutilla 115 g;Nestlé;290.0;;;mass;115.0;;;;2.5217391304347827;;;Yoghurt Batido;11.5;https://www.jumbo.cl/yogurth-batido-nestle-115-g-frutilla/p;290.0;;
