Alimento;Unidad;Cantidad_dia;Calorias_dia;Valor_mensual
Arroz;G;22.2;81.1;486.0
Pan corriente sin envasar;G;151.2;436.9;3990.7
Espiral;G;20.2;26.2;589.7
Galleta dulce;G;1.1;5.4;92.9
Galleta no dulce;G;0.5;1.9;43.3
Torta 15 o 20 personas;G;7.2;27.2;354.4
Prepizza familiar;G;0.8;0.1;51.8
Harina de trigo;G;10.2;37.0;167.3
Avena;G;5.1;0.1;196.6
Asiento;G;0.3;0.4;62.9
Carne molida;G;4.9;8.5;440.5
Chuleta de cerdo centro o vetada;G;3.9;11.2;368.9
Costillar de cerdo;G;1.8;5.2;204.4
Pulpa de cerdo;G;4.0;5.2;343.4
Carne de pavo molida;G;1.2;1.4;121.4
Pechuga de pollo;G;4.7;9.2;356.1
Pollo entero;G;20.4;36.0;958.1
Trutro de pollo;G;15.3;37.9;882.3
Pulpa de cordero fresco o refrigerado;G;0.2;0.2;19.4
Salchicha y vienesa de ave;G;2.3;5.0;138.4
Salchicha y vienesa tradicional;G;0.2;1.1;14.5
Longaniza;G;4.2;13.5;361.1
Jamón de cerdo;G;9.4;25.6;787.2
Paté;G;2.9;12.4;243.2
Merluza fresca o refrigerada;G;8.1;6.2;305.2
Choritos frescos o refrigerados en su concha;G;2.7;2.0;91.7
Jurel en conserva;G;18.8;52.6;1246.3
Surtido en conserva;G;0.3;0.3;29.0
Leche líquida entera;CC;73.7;44.2;1412.3
Leche en polvo entera instantánea;G;3.2;15.8;377.5
Yogurt;G;20.8;17.8;692.5
Queso gouda;G;4.3;15.1;621.4
Quesillo y queso fresco con sal;G;0.9;1.0;103.4
Queso crema;G;0.3;1.1;42.2
Huevo de gallina;G;13.1;21.0;797.7
Mantequilla con sal;G;1.2;8.8;155.1
Margarina;G;3.6;25.5;239.0
Aceite vegetal combinado o puro;CC;15.7;140.7;592.3
Plátano;G;110.2;100.5;1368.7
Manzana;G;51.1;30.2;776.3
Maní salado;G;0.4;2.4;40.1
Poroto;G;13.1;42.8;551.3
Lenteja;G;1.7;5.7;75.9
Lechuga;G;25.2;3.3;554.2
Zapallo;G;14.2;4.5;274.6
Limón;G;15.7;4.6;218.0
Palta;G;12.5;20.1;497.3
Tomate;G;44.6;9.4;812.7
Zanahoria;G;6.3;2.7;204.1
Cebolla nueva;G;17.5;6.6;265.4
Choclo congelado;G;5.7;4.6;297.3
Papa de guarda;G;121.5;218.5;1110.8
Azúcar;G;28.8;114.6;516.4
Chocolate;G;0.9;5.0;180.0
Caramelo;G;1.9;7.5;148.7
Helado familiar un sabor;CC;9.3;13.1;328.5
Salsa de tomate;G;20.1;16.9;900.5
Sucedáneo de café;G;1.0;0.0;198.0
Té para preparar;G;1.8;0.0;254.3
Agua mineral;CC;9.4;0.0;84.0
Bebida gaseosa tradicional;CC;46.9;17.7;881.9
Bebida energizante;CC;0.1;0.0;18.1
Refresco isotónico;CC;0.3;0.0;10.3
Jugo líquido;CC;4.5;2.5;167.2
Néctar líquido;CC;0.1;0.1;2.2
Refresco en polvo;G;1.3;4.9;146.5
Completo;G;6.4;18.0;687.8
Papas fritas;G;0.8;1.3;91.0
Té corriente (según establecimiento) - para desayuno;G;1.3;0.3;50.0
Biscochos dulces y medialunas - para desayuno;G;0.1;0.5;11.4
Entrada (ensalada o sopa) - para almuerzo;G;0.0;0.0;6.3
Postre - para almuerzo;G;0.0;0.0;0.5
Promoción de comida rápida;G;0.7;1.5;113.3
Tostadas (palta o mantequilla o mermelada o mezcla de;G;0.0;0.1;5.6
estas) - para desayuno Aliado (jamón queso) o barros jarpa - para once;G;0.0;0.1;6.4
Pollo asado entero;G;2.0;3.7;164.8
Empanada de horno;G;1.5;2.9;124.2
Colación o menú del día o almuerzo ejecutivo;G;4.5;5.1;488.7
Plato de fondo - para almuerzo;G;0.8;1.5;415.3
