group_id;producto_referencia;marca_referencia;category_std;unit_family;size_std;supermercado_mas_barato;precio_mas_barato;cantidad_opciones_comparadas;supermercados_presentes
1641;Shampoo Pantene pro-v bambú nutre y crece 400 ml;Pantene;;;;unimarc;4450.0;2;jumbo, unimarc
1683;Acondicionador Elvive Dream Liso 370 ml;Elvive;;;;jumbo;4520.0;2;jumbo, unimarc
1685;Acondicionador Elvive Hidra Hialurónico 680 ml;Elvive;;;;jumbo;5990.0;2;jumbo, unimarc
1696;Acondicionador Pantene pro-v bambú nutre y crece 400 ml Acondicionador Pantene bambú 400 ml;Pantene;;;;unimarc;4450.0;2;jumbo, unimarc
1701;Acondicionador Herbal Essences Agua de Coco & Jazmín 600 ml;Herbal Essences;;;;jumbo;7990.0;2;jumbo, unimarc
1705;Acondicionador Elvive Reparación Total 5 370 ml;Elvive;;;;jumbo;4320.0;2;jumbo, unimarc
1752;Crema para peinar Elvive hidra hialurónico 300 ml;Elvive;;;;unimarc;4990.0;2;jumbo, unimarc
1872;Pasta dental Colgate total carbón activado con flúor 75 ml;Colgate;;;;unimarc;2000.0;2;jumbo, unimarc
1973;Enjuague bucal Colgate ice infinity 500 ml + 180 ml;Colgate;;;;unimarc;7790.0;2;jumbo, unimarc
1975;Enjuague Bucal Colgate Plax Minions 250 ml;Colgate;;;;jumbo;4490.0;3;jumbo, unimarc
1978;Enjuague Bucal Listerine Anticaries Zero Alcohol 500 ml;Listerine;;;;jumbo;10490.0;2;jumbo, unimarc
1979;Enjuague bucal Colgate plax fresh mint 250 ml;Colgate;;;;unimarc;6290.0;4;jumbo, unimarc
2001;Enjuague Bucal Colgate Total Clean Mint 250 ml;Colgate;;;;jumbo;3773.0;5;jumbo, unimarc
2017;Pasta dental Colgate total encías saludables con flúor 75 ml;Colgate;;;;unimarc;2000.0;3;jumbo, unimarc
2018;Hilo dental Oral B essentialfloss sabor menta 2 un;Oral B;;;;unimarc;3990.0;2;jumbo, unimarc
2099;Jabón Líquido Le Sancy Aceite de Almendras 750 ml;Le Sancy;;;;jumbo;2990.0;2;jumbo, unimarc
2164;Jabón Líquido Dove Karité 700 ml;Dove;;;;jumbo;2583.0;3;jumbo, unimarc
2239;Compota Orgánica Manzana Pera, 90 g;;;;;lider;870.0;3;jumbo, lider
2280;Fórmula Láctea Nidal Junior, 800 g;;;;;lider;8990.0;2;jumbo, lider
2354;Compota Orgánica Manzana Plátano Mango, 90 g;;;;;lider;870.0;4;jumbo, lider
