script_name,status,return_code,duration_sec,stdout_log,stderr_log,error
jumbo_carnes_pescados.py,OK,0,168,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_carnes_pescados.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_carnes_pescados.py.err.log,
jumbo_chocolates_galleras_snack.py,OK,0,279,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_chocolates_galleras_snack.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_chocolates_galleras_snack.py.err.log,
jumbo_cuidado_personal_bebe.py,OK,0,607,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_cuidado_personal_bebe.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_cuidado_personal_bebe.py.err.log,
jumbo_despensa.py,OK,0,479,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_despensa.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_despensa.py.err.log,
jumbo_frutas_verduras.py,OK,0,125,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_frutas_verduras.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_frutas_verduras.py.err.log,
jumbo_hogar_jugueteria_libreria.py,OK,0,1095,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_hogar_jugueteria_libreria.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_hogar_jugueteria_libreria.py.err.log,
jumbo_lacteos_huevos_congelados.py,OK,0,665,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_lacteos_huevos_congelados.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_lacteos_huevos_congelados.py.err.log,
jumbo_licores_bebidas_agua.py,OK,0,549,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_licores_bebidas_agua.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_licores_bebidas_agua.py.err.log,
jumbo_limpieza.py,OK,0,248,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_limpieza.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_limpieza.py.err.log,
jumbo_mascotas.py,OK,0,115,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_mascotas.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_mascotas.py.err.log,
jumbo_panaderia_pasteleria.py,OK,0,132,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_panaderia_pasteleria.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_panaderia_pasteleria.py.err.log,
jumbo_quesos_fiambres.py,OK,0,294,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_quesos_fiambres.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Jumbo\logs_runs\20260226_180617\jumbo_quesos_fiambres.py.err.log,
