sku,name,brand,price,list_price,in_offer,detail_url,image_url,subcat_name,subcat_url,source_json_url,page_num,extracted_at
933,Lomo Vetado Premium A Punto Al Vacío kg,A Punto,29689,29689,False,https://www.jumbo.cl/lomo-vetado-angus-a-punto-11-kg-aprox/p,https://jumbocl.vteximg.com.br/arquivos/ids/298282-250-250/Lomo-Vetado-Premium-A-Punto-Al-Vacio-kg.jpg?v=638775750479930000,Carnes Premium,https://www.jumbo.cl/carnes-y-pescados/vacuno/carnes-premium,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T17:35:49
113100,Asado de Tira kg,Cuisine & Co,14590,14590,False,https://www.jumbo.cl/asado-de-tira-v-1kg-cuisine-and-co-nbe-mp-1930362/p,https://jumbocl.vteximg.com.br/arquivos/ids/380347-250-250/Asado-de-tira-1-kg.jpg?v=638776822876570000,Carnes Premium,https://www.jumbo.cl/carnes-y-pescados/vacuno/carnes-premium,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T17:35:49
932,Lomo Liso Premium A Punto Al Vacío kg,A Punto,31187,31187,False,https://www.jumbo.cl/lomo-liso-angusa-punto-15-kg-aprox/p,https://jumbocl.vteximg.com.br/arquivos/ids/298279-250-250/Lomo-Liso-Premium-A-Punto-Al-Vacio-kg.jpg?v=638775750439800000,Carnes Premium,https://www.jumbo.cl/carnes-y-pescados/vacuno/carnes-premium,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T17:35:49
138175,Posta Negra Desgrasada Bandeja 750 g,Carnicería Propia,14243,14243,False,https://www.jumbo.cl/posta-negra-desgrasada-kg/p,https://jumbocl.vteximg.com.br/arquivos/ids/329861-250-250/Posta-Negra-Desgrasada-kg.jpg?v=638776432026800000,Carnes Premium,https://www.jumbo.cl/carnes-y-pescados/vacuno/carnes-premium,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T17:35:49
88043,Lomo Vetado Premium Camposorno Al Vacío kg,Camposorno,29689,29689,False,https://www.jumbo.cl/lomo-vetado-premium-kg/p,https://jumbocl.vteximg.com.br/arquivos/ids/311962-250-250/Lomo-Vetado-Premium-Camposorno-Al-Vacio-kg.jpg?v=638776395122770000,Carnes Premium,https://www.jumbo.cl/carnes-y-pescados/vacuno/carnes-premium,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T17:35:49
938,Punta de Ganso Premium A Punto Al Vacío kg,A Punto,33586,33586,False,https://www.jumbo.cl/punta-de-ganso-angusa-punto-25-kg-aprox/p,https://jumbocl.vteximg.com.br/arquivos/ids/298290-250-250/Punta-de-Ganso-Premium-A-Punto-Al-Vacio-kg.jpg?v=638775750582970000,Carnes Premium,https://www.jumbo.cl/carnes-y-pescados/vacuno/carnes-premium,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T17:35:49
79924,Entraña Premium A Punto Al Vacío kg,A Punto,31990,31990,False,https://www.jumbo.cl/entrana-v-apunto-premium/p,https://jumbocl.vteximg.com.br/arquivos/ids/310918-250-250/Entra%C3%B1a-Premium-A-Punto-Al-Vacio-kg.jpg?v=638776392512900000,Carnes Premium,https://www.jumbo.cl/carnes-y-pescados/vacuno/carnes-premium,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T17:35:49
88042,Lomo Liso Premium Camposorno Al Vacío kg,Camposorno,31187,31187,False,https://www.jumbo.cl/lomo-liso-premium-kg/p,https://jumbocl.vteximg.com.br/arquivos/ids/311952-250-250/Lomo-Liso-Premium-Camposorno-Al-Vacio-kg.jpg?v=638985597657230000,Carnes Premium,https://www.jumbo.cl/carnes-y-pescados/vacuno/carnes-premium,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T17:35:49
939,Punta Picana Premium A Punto Al Vacío kg,A Punto,21989,21989,False,https://www.jumbo.cl/punta-picana-angusa-punto-900-g-aprox/p,https://jumbocl.vteximg.com.br/arquivos/ids/298293-250-250/Punta-Picana-Premium-A-Punto-Al-Vacio-kg.jpg?v=638775750619400000,Carnes Premium,https://www.jumbo.cl/carnes-y-pescados/vacuno/carnes-premium,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T17:35:49
88051,Asado de Tira Premium Camposorno Al Vacío kg,Camposorno,50577,50577,False,https://www.jumbo.cl/asado-de-tira-premium-kg/p,https://jumbocl.vteximg.com.br/arquivos/ids/311867-250-250/Asado-de-Tira-Premium-Camposorno-Al-Vacio-kg.jpg?v=638776394851530000,Carnes Premium,https://www.jumbo.cl/carnes-y-pescados/vacuno/carnes-premium,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T17:35:49
