sku,name,brand,price,list_price,in_offer,detail_url,image_url,subcat_name,subcat_url,source_json_url,page_num,extracted_at
2441,Pasta Spaghetti N°5 Trattoria 400 g,Trattoria,1250,1250,False,https://www.jumbo.cl/spaghetti-n-5-trattoria-bolsa-400-g-con-huevos-frescos/p,https://jumbocl.vteximg.com.br/arquivos/ids/299572-250-250/Spaghetti-N-5-Trattoria-Bolsa-400-g-Con-huevos-frescos.jpg?v=638775766076230000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
15045,Pasta Fusilli Trattoria 400 g,Trattoria,1250,1250,False,https://www.jumbo.cl/fusilli-trattoria-400-g/p,https://jumbocl.vteximg.com.br/arquivos/ids/352355-250-250/Fusilli-Trattoria-400-g.jpg?v=638776692605630000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
2416,Espirales Talliani Al Huevo 400 g,Talliani,1350,1350,False,https://www.jumbo.cl/espirales-talliani-bolsa-400-g/p,https://jumbocl.vteximg.com.br/arquivos/ids/299529-250-250/Espirales-al-huevo-400-g.jpg?v=638775765607770000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
2425,Rigati Talliani Al Huevo 400 g,Talliani,1350,1350,False,https://www.jumbo.cl/rigati-talliani-bolsa-400-g-con-huevos-frescos/p,https://jumbocl.vteximg.com.br/arquivos/ids/299545-250-250/Rigati-al-huevo-400-g.jpg?v=638775765787530000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
2427,Tallarín N°77 Talliani 400 g,Talliani,1350,1350,False,https://www.jumbo.cl/tallarines-n-77-talliani-bolsa-400-g-con-huevos-frescos/p,https://jumbocl.vteximg.com.br/arquivos/ids/299555-250-250/Tallarin-N%C2%B077-400-g.jpg?v=638775765891600000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
2426,Spaghetti N°5 Talliani Al Huevo 400 g,Talliani,1290,1290,False,https://www.jumbo.cl/spaghetti-n-5-talliani-bolsa-400-g-con-huevos-frescos/p,https://jumbocl.vteximg.com.br/arquivos/ids/299550-250-250/Spaghetti-N%C2%B05-al-huevo-400-g.jpg?v=638775765834600000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
2414,Caracoles Talliani 400 g,Talliani,1350,1350,False,https://www.jumbo.cl/caracoles-talliani-bolsa-400-g/p,https://jumbocl.vteximg.com.br/arquivos/ids/299524-250-250/Caracoles-400-g.jpg?v=638775765555530000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
2428,Tallarín N°78 Talliani 400 g,Talliani,1350,1350,False,https://www.jumbo.cl/tallarines-n-78-talliani-bolsa-400-g/p,https://jumbocl.vteximg.com.br/arquivos/ids/299560-250-250/Tallarin-N%C2%B078-400-g.jpg?v=638775765940370000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
2442,Pasta Tallarín N°87 Trattoria 400 g,Trattoria,1250,1250,False,https://www.jumbo.cl/tallarines-n-87-trattoria-bolsa-400-g-con-huevos-frescos/p,https://jumbocl.vteximg.com.br/arquivos/ids/299573-250-250/Tallarines-N-87-Trattoria-Bolsa-400-g-Con-huevos-frescos.jpg?v=638775766091170000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
15038,Pack Spaghetti N°5 Carozzi 3 un. 400 g + Salsa de Tomate 1 un. 200 g,Carozzi,3410,3410,False,https://www.jumbo.cl/spaghetti-n-5-carozzi-pack-3-unid-400-g-c-u-salsa-italiana-200-g/p,https://jumbocl.vteximg.com.br/arquivos/ids/352353-250-250/Pack-3-un-spaghetti-n5-400-g---salsa-italiana-200-g.jpg?v=638776692589730000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
2440,Pasta Rigati Trattoria 400 g,Trattoria,1250,1250,False,https://www.jumbo.cl/rigati-trattoria-bolsa-400-g/p,https://jumbocl.vteximg.com.br/arquivos/ids/299571-250-250/Rigati-Trattoria-Bolsa-400-g.jpg?v=638775766065370000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
2435,Pasta Fettuccini N°88 Trattoria 400 g,Trattoria,1250,1250,False,https://www.jumbo.cl/fettuccini-trattoria-bolsa-400-g/p,https://jumbocl.vteximg.com.br/arquivos/ids/299568-250-250/Fetuccini-bolsa-400-g.jpg?v=638775766026270000,Pastas y Fideos,https://www.jumbo.cl/despensa/fideos-pastas-y-salsas/pastas-y-fideos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:24:03
