sku,name,brand,price,list_price,in_offer,detail_url,image_url,subcat_name,subcat_url,source_json_url,page_num,extracted_at
61083,Vino Carmen Frida Kahlo Gran Reserva Carmenere 750 cc,Carmen,8990,8990,False,https://www.jumbo.cl/carmenere-carmen-frida-kalho-14-botella-750-cc/p,https://jumbocl.vteximg.com.br/arquivos/ids/309503-250-250/Vino-Carmenere-Carmen-Frida-Kalho-14%C2%B0-750-cc.jpg?v=638776389188100000,Vinos Tintos,https://www.jumbo.cl/licores-bebidas-y-aguas/vinos/vinos-tintos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T19:03:40
119894,Vino Carmen Frida Kahlo Reserva Carmenere 750 cc,Carmen,4890,5890,True,https://www.jumbo.cl/vino-carmen-f-kahlo-r-carm-750cc-12-7-1937217/p,https://jumbocl.vteximg.com.br/arquivos/ids/317293-250-250/Vino-Carmen-Frida-Kahlo-Reserva-Carmenere-750-cc.jpg?v=638776411271070000,Vinos Tintos,https://www.jumbo.cl/licores-bebidas-y-aguas/vinos/vinos-tintos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T19:03:40
11710,Vino Casillero del Diablo Reserva Carmenere 750 cc,Casillero Del Diablo,4990,5990,True,https://www.jumbo.cl/carmenere-casillero-del-diablo-vina-concha-y-toro-750-cc/p,https://jumbocl.vteximg.com.br/arquivos/ids/302319-250-250/Vino-Casillero-Del-Diablo-Carmenere-750-cc.jpg?v=638776375981430000,Vinos Tintos,https://www.jumbo.cl/licores-bebidas-y-aguas/vinos/vinos-tintos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T19:03:40
11730,Vino Marques de Casa Concha Carmenere 750 cc,Marques de Casa Concha,11193,15990,True,https://www.jumbo.cl/carmenere-vina-concha-y-toro-750-cc-series-riberas-marques-de-casa-concha/p,https://jumbocl.vteximg.com.br/arquivos/ids/303080-250-250/Vino-Marques-de-Casa-Concha-Carmenere-750-cc.jpg?v=638776376594630000,Vinos Tintos,https://www.jumbo.cl/licores-bebidas-y-aguas/vinos/vinos-tintos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T19:03:40
11720,Vino Orgánico Migue Torres Las Mulas Reserva Carmenere 750 cc,Las Mulas,5990,7890,True,https://www.jumbo.cl/carmenere-las-mulas-reserva-vina-miguel-torres-organico-750-cc/p,https://jumbocl.vteximg.com.br/arquivos/ids/302655-250-250/Vino-Organico-Las-Mulas-Reserva-Carmenere-135%C2%B0-botella-750-cc.jpg?v=638776376231170000,Vinos Tintos,https://www.jumbo.cl/licores-bebidas-y-aguas/vinos/vinos-tintos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T19:03:40
11654,Vino Casillero del Diablo Reserva Cabernet Sauvignon 750 cc,Casillero Del Diablo,4990,5990,True,https://www.jumbo.cl/cabernet-sauvignon-vina-concha-y-toro-reserva-casillero-del-diablo-750-cc/p,https://jumbocl.vteximg.com.br/arquivos/ids/302861-250-250/Vino-Casillero-Del-Diablo-Cabernet-Sauvignon-750-cc.jpg?v=638776376401970000,Vinos Tintos,https://www.jumbo.cl/licores-bebidas-y-aguas/vinos/vinos-tintos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T19:03:40
11728,Vino Castillo de Molina Gran Reserva Carmenere 750 cc,Castillo de Molina,7290,9290,True,https://www.jumbo.cl/carmenere-vina-san-pedro-castillo-de-molina-reserva-750-cc/p,https://jumbocl.vteximg.com.br/arquivos/ids/495238-250-250/Vino-Castillo-de-Molina-Gran-Reserva-Carmenere-750-cc.jpg?v=638911559301900000,Vinos Tintos,https://www.jumbo.cl/licores-bebidas-y-aguas/vinos/vinos-tintos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T19:03:40
122629,Vino Orgánico Toro de Piedra Reserva Carmenere 750 cc,Toro De Piedra,6990,6990,False,https://www.jumbo.cl/vino-toro-piedra-res-car-750cc-14-1955811/p,https://jumbocl.vteximg.com.br/arquivos/ids/318262-250-250/Vino-Toro-de-Piedra-Reserva-Carmenere-14%C2%B0-750-cc.jpg?v=638776413917370000,Vinos Tintos,https://www.jumbo.cl/licores-bebidas-y-aguas/vinos/vinos-tintos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T19:03:40
24649,Vino Carmen Gran Reserva Ensamblaje Cabernet Sauvignon Grande Vidure 750 cc,Carmen,8990,8990,False,https://www.jumbo.cl/cabernet-sauvignon-grande-vidure-vina-carmen-750-ml-reserva/p,https://jumbocl.vteximg.com.br/arquivos/ids/306102-250-250/Vino-Carmen-Gran-Reserva-Cabernet-Sauvignon-Grande-Vidure-750-cc.jpg?v=638776382038000000,Vinos Tintos,https://www.jumbo.cl/licores-bebidas-y-aguas/vinos/vinos-tintos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T19:03:40
55529,Vino Diablo Red Reserva Ensamblaje 750 cc,Diablo,6990,8190,True,https://www.jumbo.cl/vino-casillero-del-diablo-13-botella-750-cc/p,https://jumbocl.vteximg.com.br/arquivos/ids/308987-250-250/Vino-Diablo-Red-Ensamblaje-750-cc.jpg?v=638776387912230000,Vinos Tintos,https://www.jumbo.cl/licores-bebidas-y-aguas/vinos/vinos-tintos,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T19:03:40
