sku;name;brand;price;list_price;in_offer;detail_url;image_url;subcat_name;subcat_url;source_json_url;page_num;extracted_at
7997;Papel Higiénico Elite Doble Hoja Ultra Suave 50 m 18 un.;Elite;16990;24490;True;https://www.jumbo.cl/papel-higienico-elite-ultra-doble-hoja-18-rollos-50-m-c-u/p;https://jumbocl.vteximg.com.br/arquivos/ids/458593-250-250/Papel-Higienico-Elite-Doble-Hoja-Ultra-50-m-18-un.jpg?v=638858941258330000;Papel Higiénico;https://www.jumbo.cl/limpieza/papeles-hogar/papel-higienico;https://bff.jumbo.cl/catalog/plp;1;2026-03-03T15:33:47
105320;Papel Higiénico Elite Ultra Doble Hoja 40 m 18 un.;Elite;14990;19290;True;https://www.jumbo.cl/papel-higienico-ultra-doble-hoja-40-m-18-un-1894042/p;https://jumbocl.vteximg.com.br/arquivos/ids/374967-250-250/Papel-Higienico-Elite-Ultra-Doble-Hoja-40-m-18-un.jpg?v=638776801646330000;Papel Higiénico;https://www.jumbo.cl/limpieza/papeles-hogar/papel-higienico;https://bff.jumbo.cl/catalog/plp;1;2026-03-03T15:33:47
98163;Papel Higiénico Confort Doble Hoja 25 m 24 un.;Confort;9960;13290;True;https://www.jumbo.cl/papel-higienico-confort-dh-25mt-24un-1859327/p;https://jumbocl.vteximg.com.br/arquivos/ids/313190-250-250/Papel-Higienico-Confort-Doble-Hoja-25-m-24-un.jpg?v=638776398933970000;Papel Higiénico;https://www.jumbo.cl/limpieza/papeles-hogar/papel-higienico;https://bff.jumbo.cl/catalog/plp;1;2026-03-03T15:33:47
7999;Papel Higiénico Elite Doble Hoja Ultra 50 m 8 un.;Elite;7390;11690;True;https://www.jumbo.cl/papel-higienico-elite-doble-hoja-8-unid-50-m-c-u/p;https://jumbocl.vteximg.com.br/arquivos/ids/300618-250-250/Papel-Higienico-Elite-Doble-Hoja-Ultra-50-m-8-un.jpg?v=638776373720400000;Papel Higiénico;https://www.jumbo.cl/limpieza/papeles-hogar/papel-higienico;https://bff.jumbo.cl/catalog/plp;1;2026-03-03T15:33:47
124189;Papel Higiénico Elite Soft & Strong Triple Hoja 40 m 12 un.;Elite;12890;17190;True;https://www.jumbo.cl/ph-elite-soft-and-strong-th-40x12-1951027/p;https://jumbocl.vteximg.com.br/arquivos/ids/318642-250-250/Papel-Higienico-Elite-Soft---Strong-Triple-Hoja-40-m-12-un.jpg?v=638776415268400000;Papel Higiénico;https://www.jumbo.cl/limpieza/papeles-hogar/papel-higienico;https://bff.jumbo.cl/catalog/plp;1;2026-03-03T15:33:47
147637;Papel Higiénico Family Care Doble Hoja 22 m 4 un.;Family Care;1290;1290;False;https://www.jumbo.cl/ph-dh-f-y-c-22mt-4un/p;https://jumbocl.vteximg.com.br/arquivos/ids/521223-250-250/Papel-Higienico-Family-Care-Doble-Hoja-22-m-4-un.jpg?v=638954448400570000;Papel Higiénico;https://www.jumbo.cl/limpieza/papeles-hogar/papel-higienico;https://bff.jumbo.cl/catalog/plp;1;2026-03-03T15:33:47
13334;Papel Higiénico Confort Doble Hoja 50 m 4 un.;Confort;3590;5250;True;https://www.jumbo.cl/papel-higienico-confort-doble-hoja-4-rollos-50-m-c-u/p;https://jumbocl.vteximg.com.br/arquivos/ids/303449-250-250/Papel-Higienico-Confort-Doble-Hoja-50-m-4-un.jpg?v=638776377364100000;Papel Higiénico;https://www.jumbo.cl/limpieza/papeles-hogar/papel-higienico;https://bff.jumbo.cl/catalog/plp;1;2026-03-03T15:33:47
7998;Papel Higiénico Elite Doble Hoja Ultra 50 m 4 un.;Elite;4750;5890;True;https://www.jumbo.cl/papel-higienico-elite-doble-hoja-4-rollos-50-m-c-u/p;https://jumbocl.vteximg.com.br/arquivos/ids/300929-250-250/Papel-Higienico-Elite-Doble-Hoja-Ultra-50-m-4-un.jpg?v=638776374221370000;Papel Higiénico;https://www.jumbo.cl/limpieza/papeles-hogar/papel-higienico;https://bff.jumbo.cl/catalog/plp;1;2026-03-03T15:33:47
94506;Papel Higiénico Elite Doble Hoja Ultra 25 m 24 un.;Elite;13890;16890;True;https://www.jumbo.cl/papel-hig-elite-ultra-dh-25mt-24un/p;https://jumbocl.vteximg.com.br/arquivos/ids/312495-250-250/Papel-Higienico-Elite-Doble-Hoja-Ultra-25-m-24-un.jpg?v=638776396784900000;Papel Higiénico;https://www.jumbo.cl/limpieza/papeles-hogar/papel-higienico;https://bff.jumbo.cl/catalog/plp;1;2026-03-03T15:33:47
124174;Papel Higiénico Elite Ultra Doble Hoja 25 m 4 un.;Elite;2750;3290;True;https://www.jumbo.cl/ph-elite-ulta-dh-4-roll-25-m-1960058/p;https://jumbocl.vteximg.com.br/arquivos/ids/318557-250-250/Papel-Higienico-Elite-Ultra-Doble-Hoja-25-m-4-un.jpg?v=638776414932300000;Papel Higiénico;https://www.jumbo.cl/limpieza/papeles-hogar/papel-higienico;https://bff.jumbo.cl/catalog/plp;1;2026-03-03T15:33:47
