sku;name;brand;price;list_price;in_offer;detail_url;image_url;subcat_name;subcat_url;source_json_url;page_num;extracted_at
dom_1;Carne de Vacuno Bistec Posta, 400 g;;7290;18225;True;https://super.lider.cl/ip/vacuno/00360076386840;https://i5.walmartimages.cl/asr/1a74422d-54cb-49be-9c79-93b4b394f3cd.6a9858af3bd2d1fe1832274716ccefee.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Vacuno > Carnes para Parrilla;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;1;2026-03-17T20:49:24
dom_2;Carne de Vacuno Posta Paleta;;2400;10390;True;https://super.lider.cl/ip/vacuno/00212572000000;https://i5.walmartimages.cl/asr/0592a627-0bdf-421d-84bb-0dd6a1b0e0f7.2cff1da988a18e0764dd9879d2cc4a3f.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Vacuno > Carnes para Parrilla;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;1;2026-03-17T20:49:24
dom_3;Cazuela de Vacuno Congelada, 1,0 kg;;3890;3890;False;https://super.lider.cl/ip/vacuno/00780190900148;https://i5.walmartimages.cl/asr/bed1496b-3222-45fc-8385-ff272d401925.853e0f9fdbbfe8cbf830148f04847acb.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Vacuno > Carnes para Parrilla;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;1;2026-03-17T20:49:24
dom_4;Carne de Vacuno Huachalomo;;1400;9390;True;https://super.lider.cl/ip/todas-las-carnes/00210647000000;https://i5.walmartimages.cl/asr/52cbc145-0245-4670-8e7a-0e627c0f3a75.bbf3a23b60c0acf33ad51745c6eef709.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Vacuno > Carnes para Parrilla;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;1;2026-03-17T20:49:24
dom_5;Carne de Vacuno para Carbonada, 370 gr;;4190;11324;True;https://super.lider.cl/ip/todas-las-carnes/00780263600281;https://i5.walmartimages.cl/asr/8d537a51-5066-447f-8fe1-85e5cf091308.4caccc901cb9a81ef7666aa8cbf728b6.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Vacuno > Carnes para Parrilla;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;1;2026-03-17T20:49:24
dom_6;Carne de Vacuno Sobrecostilla;;1400;9390;True;https://super.lider.cl/ip/vacuno/00213583000000;https://i5.walmartimages.cl/asr/26bd5751-cef6-49b0-8381-2bc099df9398.225cab72d3c76b52b06b37b0c11eee85.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Vacuno > Carnes para Parrilla;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;1;2026-03-17T20:49:24
dom_7;Carne de Vacuno Ganso;;9490;9490;False;https://super.lider.cl/ip/vacuno/00210326000000;https://i5.walmartimages.cl/asr/b6eca46d-f7f5-4b79-9099-45fc59a313c8.f123725e585fd35947c0244e7f5b5f0b.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Vacuno > Carnes para Parrilla;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;1;2026-03-17T20:49:24
dom_8;Carne de Vacuno Posta de Paleta en Tiras, 370 g;;4190;11324;True;https://super.lider.cl/ip/vacuno/00780263600295;https://i5.walmartimages.cl/asr/95c1e6e5-57d3-40cc-8553-7d9089589647.1837f20767673d085c3a24999689b5eb.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Vacuno > Carnes para Parrilla;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;1;2026-03-17T20:49:24
dom_9;Carne de Vacuno Punta de Ganso Premium;;15890;15890;False;https://super.lider.cl/ip/vacuno/00218397000000;https://i5.walmartimages.cl/asr/e062dd06-5529-41c8-a831-e5148aa10270.00370fd19905eafa5bac27490d097385.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Vacuno > Carnes para Parrilla;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;1;2026-03-17T20:49:24
dom_10;Carne de Vacuno Lomo Vetado;;17290;17290;False;https://super.lider.cl/ip/vacuno/00211201000000;https://i5.walmartimages.cl/asr/164b75c8-3c8b-4f76-ad53-48fa620d9cc1.bafe1d75e91be4b1affae05fe2254fe4.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Vacuno > Carnes para Parrilla;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;https://super.lider.cl/browse/carnes-y-pescados/vacuno/carnes-para-parrilla/21856785_29265944_50526969;1;2026-03-17T20:49:24
