sku;name;brand;price;list_price;in_offer;detail_url;image_url;subcat_name;subcat_url;source_json_url;page_num;extracted_at
00762220225043;Huevitos de Chocolate de Oreo, 81 g;;3000;37037;True;https://super.lider.cl/wapcrs/track?bt=1&eventST=click&plmt=sp-browse-bottom~desktop~&pos=1&tax=29989562&rdf=1&rd=https%3A%2F%2Fsuper.lider.cl%2Fip%2Fvariedad%2F00762220225043&adUid=d0b38bc0-4f80-4d8f-9d27-0f82e3bf108e&mloc=sp-browse-bottom&pltfm=desktop&pgId=29989562&pt=browse&spQs=psVgTI1_kA9IKVXxBxmW4h-v3CxnBaU058lu4nDrAKMGjtvZ-04TLxN8OJgYddC-raa4af4aK5-onzj0Pb7ZRtjv8hWWlviMwrrWJTmg5Eubt_vw4V45lL71nGQ_U40IKxGIxzw-Vc8JnFv03pkGtsT6n2USAnrhN4phbdVmUnoABWiPjMMwsFHoUdrxxeiOFnZukXPTzlGNZaEk3U7aLQ75GLbYj_J3ml5PpCBmsKT-BOJ1L7CCspQmkBQpWYHl&storeId=0000000057&tn=WCL_GR&wtn=kltzop&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/variedad/00762220225043;https://i5.walmartimages.cl/asr/8828480b-38ee-4ff8-9ec8-d803a1c28919.7a0661e6720dbd27f33f643c89e365df.jpeg?odnHeight=576&odnWidth=576&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00762220204431;Huevitos de Chocolate relleno de chocolate de Leche, 90 g;;3000;33333;True;https://super.lider.cl/wapcrs/track?bt=1&eventST=click&plmt=sp-browse-bottom~desktop~&pos=5&tax=29989562&rdf=1&rd=https%3A%2F%2Fsuper.lider.cl%2Fip%2Fvariedad%2F00762220204431&adUid=d0b38bc0-4f80-4d8f-9d27-0f82e3bf108e&mloc=sp-browse-bottom&pltfm=desktop&pgId=29989562&pt=browse&spQs=psVgTI1_kA9IKVXxBxmW4m5bc-wpEvKPLUIXWW9c_scjjkZRIDFWUSwsSTNjfmmOraa4af4aK5-onzj0Pb7ZRtjv8hWWlviMwrrWJTmg5Eubt_vw4V45lL71nGQ_U40IKxGIxzw-Vc8JnFv03pkGtsT6n2USAnrhN4phbdVmUnoABWiPjMMwsFHoUdrxxeiOFnZukXPTzlGNZaEk3U7aLQ75GLbYj_J3ml5PpCBmsKT-BOJ1L7CCspQmkBQpWYHl&storeId=0000000057&tn=WCL_GR&wtn=kltzop&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/variedad/00762220204431;https://i5.walmartimages.cl/asr/cc75fcea-5135-484d-b30d-8e0bdd8962d8.6aa96ebe28d2b7ebcaca2030d6b0267f.jpeg?null=&odnHeight=576&odnWidth=576&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00762221082472;Chocolate de Leche Con Galleta Oreo, 92 g;;2000;21739;True;https://super.lider.cl/wapcrs/track?bt=1&eventST=click&plmt=sp-browse-bottom~desktop~&pos=2&tax=29989562&rdf=1&rd=https%3A%2F%2Fsuper.lider.cl%2Fip%2Fvariedad%2F00762221082472&adUid=d0b38bc0-4f80-4d8f-9d27-0f82e3bf108e&mloc=sp-browse-bottom&pltfm=desktop&pgId=29989562&pt=browse&spQs=3PXs4I9UoICHerKlZNvAQnQO0mxTyjMT3_XYkROqQX0NMJLYNLwg3Wy983Q3TiZeraa4af4aK5-onzj0Pb7ZRtjv8hWWlviMwrrWJTmg5Eubt_vw4V45lL71nGQ_U40IKxGIxzw-Vc8JnFv03pkGtsT6n2USAnrhN4phbdVmUnoABWiPjMMwsFHoUdrxxeiOFnZukXPTzlGNZaEk3U7aLQ75GLbYj_J3ml5PpCBmsKT-BOJ1L7CCspQmkBQpWYHl&storeId=0000000057&tn=WCL_GR&wtn=kltzop&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/variedad/00762221082472;https://i5.walmartimages.cl/asr/cf9ef812-ac97-4059-86f8-a842eeec3406.e6cd5e24bf80324452e9998b2533eebf.jpeg?odnHeight=576&odnWidth=576&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00304514011850;Chocolate de Leche Con Avellanas, 95 g;;2890;30421;True;https://super.lider.cl/wapcrs/track?bt=1&eventST=click&plmt=sp-browse-bottom~desktop~&pos=3&tax=29989562&rdf=1&rd=https%3A%2F%2Fsuper.lider.cl%2Fip%2Fvariedad%2F00304514011850&adUid=d0b38bc0-4f80-4d8f-9d27-0f82e3bf108e&mloc=sp-browse-bottom&pltfm=desktop&pgId=29989562&pt=browse&spQs=8wODWCnSLhWVURULW-nIojCovOgV3eLBWV81UvrzIph-VSiXYa1y6c05t1M1OtfGraa4af4aK5-onzj0Pb7ZRtjv8hWWlviMwrrWJTmg5Eubt_vw4V45lL71nGQ_U40IKxGIxzw-Vc8JnFv03pkGtsT6n2USAnrhN4phbdVmUnoABWiPjMMwsFHoUdrxxeiOFnZukXPTzlGNZaEk3U7aLTegZhjh5VghUXsIkenCdhy03li3JYnX9d_-A0PG3zmqlU9k8uTobp7ugtICFmhImQ&storeId=0000000057&tn=WCL_GR&wtn=kltzop&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/variedad/00304514011850;https://i5.walmartimages.cl/asr/0dc7fbaa-e5b3-4457-82de-203dee785834.338af972147e145a206a736fe850fdd2.jpeg?null=&odnHeight=576&odnWidth=576&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00762220168837;Chocolate Relleno Con Oreo, 100 g;;2950;29500;True;https://super.lider.cl/wapcrs/track?bt=1&eventST=click&plmt=sp-browse-bottom~desktop~&pos=4&tax=29989562&rdf=1&rd=https%3A%2F%2Fsuper.lider.cl%2Fip%2Fvariedad%2F00762220168837&adUid=d0b38bc0-4f80-4d8f-9d27-0f82e3bf108e&mloc=sp-browse-bottom&pltfm=desktop&pgId=29989562&pt=browse&spQs=JM40nfrbBiEZ2ou5v4bxH5Z0Hx3XGxLNogTNMsSl7u4VtFGoNsiz5zXAdjmvcvphraa4af4aK5-onzj0Pb7ZRtjv8hWWlviMwrrWJTmg5Eubt_vw4V45lL71nGQ_U40IKxGIxzw-Vc8JnFv03pkGtsT6n2USAnrhN4phbdVmUnoABWiPjMMwsFHoUdrxxeiOFnZukXPTzlGNZaEk3U7aLTegZhjh5VghUXsIkenCdhy03li3JYnX9d_-A0PG3zmqlU9k8uTobp7ugtICFmhImQ&storeId=0000000057&tn=WCL_GR&wtn=kltzop&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/variedad/00762220168837;https://i5.walmartimages.cl/asr/5f187525-2861-4d29-b87d-126f840fbeb0.62a5ee516a0f082104a11ede8f5d2bfa.jpeg?odnHeight=576&odnWidth=576&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00844529055042;Huevitos De Pascua Chocolate De Leche Trencito Bandeja, 255 g;;6990;27412;True;https://super.lider.cl/ip/variedad/00844529055042;https://i5.walmartimages.cl/asr/8a9e72a7-99a1-4be1-b67c-6b9f1726f8ec.060cc44ae579eb2fa26356538874cb2c.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780221511078;Bolsa Huevitos Macizo Costa, 76 g;;2000;26316;True;https://super.lider.cl/ip/variedad/00780221511078;https://i5.walmartimages.cl/asr/e7b234c5-73b3-4254-b92a-bfe7c585e015.76871010d21def3401058d5a50e0f8c3.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220085235;Bandeja Huevitos de Chocolate, 210 g;;7490;35667;True;https://super.lider.cl/ip/variedad/00780220085235;https://i5.walmartimages.cl/asr/f8f14d49-4702-426d-9953-195da0c4818d.5fbf8d21d2ecac037044add3215f17f7.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220085206;Huevitos Chocolate Rellenos Bolsa, 84 g;;1000;11905;True;https://super.lider.cl/ip/variedad/00780220085206;https://i5.walmartimages.cl/asr/b48c392b-edc2-44ec-83cc-dcaab9dbf822.ec71bbef680e83be4fb68e4a113367a2.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00800483803341;Huevo de Chocolate de Leche 31% Cacao, 230 g;;6990;30391;True;https://super.lider.cl/ip/variedad/00800483803341;https://i5.walmartimages.cl/asr/b21bf7a0-4d3c-4f52-97f3-e2bbbbacaed1.b81ee3c4ea31f628cc5b486aab637b83.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00844529055045;Bolsa Huevitos, 75 g;;2000;26667;True;https://super.lider.cl/ip/variedad/00844529055045;https://i5.walmartimages.cl/asr/c3f47532-140c-464b-877d-aed2460f1f37.d615d34e3ca5c8f783104cfc2d9de93c.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780221511082;Huevitos de Chocolate Rellenos Pascua, 126 g;;2000;2000;False;https://super.lider.cl/ip/variedad/00780221511082;https://i5.walmartimages.cl/asr/c4d383fa-029e-4a41-95df-70b4faf14662.5f1af71f682ce48e0e13d16e8c22d09b.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780221511086;Bandeja Huevitos Macizos Pascua, 192 g;;8190;42656;True;https://super.lider.cl/ip/variedad/00780221511086;https://i5.walmartimages.cl/asr/2455f46e-f791-4686-b7aa-c8257f6da22a.08a18c0e8c394c139242bc7dd74a18b0.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220085042;Conejitos de Chololate de Leche Bolsa, 175 g;;5290;30229;True;https://super.lider.cl/ip/variedad/00780220085042;https://i5.walmartimages.cl/asr/d2c5f1d8-d282-40d1-9f96-be993a0904e0.cf598b4262be9396e8ace14a6a4feda8.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00762221083554;Huevitos Chocolate Relleno con trozos de Galleta Oreo, 86 g;;3000;34884;True;https://super.lider.cl/ip/variedad/00762221083554;https://i5.walmartimages.cl/asr/634a5d28-de18-43fb-be01-9ad55dd243ea.9a024872ff49b7dad3be48675e4ffa7b.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220085238;Conejo + Huevitos de Chocolate, 100 g;;3690;36900;True;https://super.lider.cl/ip/variedad/00780220085238;https://i5.walmartimages.cl/asr/2030236a-ab5f-46f4-88a1-71afacb57789.a469e788719d3c6ee7fad7f5f5cead8f.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220084447;Huevitos de Chocolate de Leche, 70 g;;3690;3690;False;https://super.lider.cl/ip/variedad/00780220084447;https://i5.walmartimages.cl/asr/823f8a04-0000-4bab-914c-634da9559a1c.4ae42c0c4a57767aa3e935304da4c499.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00844529246842;Huevitos de Chocolate, 200 g;;5990;29950;True;https://super.lider.cl/ip/variedad/00844529246842;https://i5.walmartimages.cl/asr/22416604-e38c-4bdb-a1c0-cc290ee5a36f.2c857a5fbcb31d934f98112736d542a5.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220085057;Conejitos de Chocolate, 120 g;;3690;30750;True;https://super.lider.cl/ip/variedad/00780220085057;https://i5.walmartimages.cl/asr/7ea28b7e-832e-45d5-bcea-039d62fb88cc.d1d40f00461d0e77a7b4b461c4a2d48a.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00779058011898;Huevitos Pañuelo Rocklets, 60 g;;3690;61500;True;https://super.lider.cl/ip/variedad/00779058011898;https://i5.walmartimages.cl/asr/07dd4fe6-e8ee-4116-942a-68636d4e4a93.6b1546159893b5810f8d4b5e0377f742.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780221511072;Bandeja De Huevitos Carezza Con Almendras, 150 g;;3490;23113;True;https://super.lider.cl/ip/variedad/00780221511072;https://i5.walmartimages.cl/asr/fd876436-05ef-49a6-8b28-fdfc10db44a2.be4037a4867e21414ceafeec3e48125b.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780221511073;Bandeja De Mecanotuerca Manjar, 168 g;;4490;26726;True;https://super.lider.cl/ip/variedad/00780221511073;https://i5.walmartimages.cl/asr/8595ee6f-3049-4e89-a952-c0987a01ba98.40d1160f2a05edd084d3fbc203bcd7b8.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780221511037;Conejitos Macizos Bolsas, 175 g;;5490;31371;True;https://super.lider.cl/ip/variedad/00780221511037;https://i5.walmartimages.cl/asr/1580320b-fb16-47fb-a9d8-82d581d32bc0.3c719655408e5ea3ec4f22a12f61818c.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220012714;Gomitas Medio Huevo Colores, 77 g;;1000;12987;True;https://super.lider.cl/ip/variedad/00780220012714;https://i5.walmartimages.cl/asr/72466893-9f2f-434d-b5b7-bac12fece6c7.ed334f44d9efc54ec0a462ef4101ea30.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780222557339;Huevos de Chocolate, 106 g;;1490;14057;True;https://super.lider.cl/ip/variedad/00780222557339;https://i5.walmartimages.cl/asr/72f32bc1-bba9-4ab7-ae80-f2375d84a37c.6abbeabfd8076ffabbd00716e7ed6a7a.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220012797;Huevitos de Frugelé Pascua Bolsa, 270 g;;3490;12926;True;https://super.lider.cl/ip/variedad/00780220012797;https://i5.walmartimages.cl/asr/f0ce5c04-9cff-4804-b9f9-00f81babefc1.9f5f03922bd09a154878b4cf032229a6.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220085234;Huevo De Chocolate Con Frugele, 80 g;;5290;5290;False;https://super.lider.cl/ip/variedad/00780220085234;https://i5.walmartimages.cl/asr/a9d47a1b-b442-405f-b902-42d147f2c0bd.76643f5480bcab71a78967c28b7f96dd.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780222557351;Huevo de Chocolate butter toffee, 108 g;;3490;32315;True;https://super.lider.cl/ip/variedad/00780222557351;https://i5.walmartimages.cl/asr/69ec0e81-df21-4ae6-89fd-33abe18024bc.5f237c2ede0004044212c3bc59312f23.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220085211;Huevo De Chocolate Con Amberries, 80 g;;4990;62375;True;https://super.lider.cl/ip/variedad/00780220085211;https://i5.walmartimages.cl/asr/5b68f1ca-2d50-44a9-afb7-e01605e45f7b.cf7a7f9fc51e09eedcc78323f6d2ad3a.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780221511064;Huevo Pañuelo Costa Blanc, 85 g;;4990;58706;True;https://super.lider.cl/ip/variedad/00780221511064;https://i5.walmartimages.cl/asr/d7ce51c9-f3a3-4031-a15a-a8f2a161842e.99c33947800a86cf3fe84195afca3693.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780222557326;Huevitos De Chocolate Sapito 15 Un, 95 g;;2690;28021;True;https://super.lider.cl/ip/variedad/00780222557326;https://i5.walmartimages.cl/asr/519278f2-4958-4ace-b924-369c40740ac1.ea155b52955c747d7c50a0e540e7e052.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780222557309;Huevitos De Chocolate Macizos 30 Un, 153 g;;3000;19608;True;https://super.lider.cl/ip/variedad/00780222557309;https://i5.walmartimages.cl/asr/09282215-0205-4c5f-bf79-6854bba17682.154c43cf9d55f160e6f77fea8e5026be.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220085265;Huevitos Panuelo Crispy, 85 g;;5990;70471;True;https://super.lider.cl/ip/variedad/00780220085265;https://i5.walmartimages.cl/asr/f30d7415-b42e-4b57-a78b-2a246628681c.e1e7288d58e23654a649347438f5eec8.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780220010725;Marshmallows Conejitos, 180 g;;3690;20500;True;https://super.lider.cl/ip/variedad/00780220010725;https://i5.walmartimages.cl/asr/3fbb6492-1fd8-4fae-97cb-9e57ce46b6cd.7b78ca3dab60bf89a42094e1511816a4.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780221511074;Bandeja De Huevitos De Chocolate Blanco Mecano, 168 g;;4490;26726;True;https://super.lider.cl/ip/variedad/00780221511074;https://i5.walmartimages.cl/asr/3138ac8a-0132-452d-b185-075bc3b636ec.6d6a1d721c7ae437a5c1d96604cf6358.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780221511081;Conejo + Huevitos Chocolate Carezza, 100 g;;3690;36900;True;https://super.lider.cl/ip/variedad/00780221511081;https://i5.walmartimages.cl/asr/cfcd5cc5-e5ac-450a-a8fc-9a96ba02001d.6f0211008e2159826b1926cad6415006.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00800483803343;Huevo de Chocolate de Leche 31% Cacao, 400 g;;8990;22475;True;https://super.lider.cl/ip/variedad/00800483803343;https://i5.walmartimages.cl/asr/3684cdb4-8129-4d4a-a6c9-8658816df381.510678f03749959bd5a5dd7e625f6dda.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00779058058790;Huevitos de Bon o Bon leche, 55 g;;3690;67091;True;https://super.lider.cl/ip/variedad/00779058058790;https://i5.walmartimages.cl/asr/eccd1a2d-0284-49e9-814a-96086c8c4da9.39d6884b4b15b2d23dbf9b63cd3dfb4f.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00762220225654;Huevitos de chocolate relleno con trocitos de oreo, 264 g;;8990;34053;True;https://super.lider.cl/ip/variedad/00762220225654;https://i5.walmartimages.cl/asr/e31d5635-07bc-461b-82b2-41954b688266.2b7b198c3e4357b0b4b14beed267ef1b.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780221511054;Huevitos de Chocolate Pañuelo Vizzio, 196 g;;8990;45867;True;https://super.lider.cl/ip/variedad/00780221511054;https://i5.walmartimages.cl/asr/e919d8b7-f16e-40f9-abed-45ef29be1b91.e4bebd8018ca4643304e1e381f04b488.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780222557299;Huevitos De Chocolate Macizos 16 Un, 82 g;;1690;20610;True;https://super.lider.cl/ip/variedad/00780222557299;https://i5.walmartimages.cl/asr/f3df8082-59a1-4264-a342-95c3d7cc412d.15598854273d155d0c0044cb3a0144a5.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00780222557448;Huevo bob mix, 378 g;;8990;23783;True;https://super.lider.cl/ip/variedad/00780222557448;https://i5.walmartimages.cl/asr/0b5e685a-147a-4e56-903e-c49ca78aa78d.d4bdcf9052fedcf7c21af2e67b1d9a48.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
00800334009540;Huevitos Chocolate Bolsa Leche, 180 g;;8990;8990;False;https://super.lider.cl/ip/variedad/00800334009540;https://i5.walmartimages.cl/asr/8b5bb230-dad0-4847-90fc-54cef58e1588.2b4ce25965d0f15c60834b2aea459969.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Chocolates > Chocolates;https://super.lider.cl/browse/chocolates/29989562;;1;2026-03-17T21:04:16
