sku;name;brand;price;list_price;in_offer;detail_url;image_url;subcat_name;subcat_url;source_json_url;page_num;extracted_at
00780500032366;Detergente Líquido Ultra Power Doypack, 450 ml;;1000;2222;True;https://super.lider.cl/ip/detergentes/00780500032366;https://i5.walmartimages.cl/asr/ee201be0-19f7-48f4-a4ca-11d290df493c.df444c6147204ba69576d397433b6a42.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780460973050;Detergente Líquido Bosque Nativo Pack 2 Botella, 1 Un;;1792;12690;True;https://super.lider.cl/ip/mas-sustentables/00780460973050;https://i5.walmartimages.cl/asr/20ca37bd-d162-4a13-b374-746ed149f05c.ced92d3d4cc1383836a0fb0f88c8a366.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780500032408;Detergente Líquido Ultra Concentrado Ultra Power Para Preparar Botella Pack, 1000 ml;;1300;11190;True;https://super.lider.cl/ip/detergentes/00780500032408;https://i5.walmartimages.cl/asr/4edf1856-77f5-4eae-8fa2-7f59b349f28a.2b1ac07235268598e6591f3afe5dcf8f.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780500032448;Detergente Líquido Piel Sensible Doypack, 400 ml;;1000;2500;True;https://super.lider.cl/ip/detergentes/00780500032448;https://i5.walmartimages.cl/asr/458b3634-2db4-4692-b868-f32a0d619a25.f78a50d89f3361cf7b9fc8d58873ed06.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00690208898117;Detergente Concentrado Líquido Expert Botella, 1 L;;3000;3000;False;https://super.lider.cl/ip/detergentes/00690208898117;https://i5.walmartimages.cl/asr/2b83ae9f-21c9-4230-8202-6bb171c77bbc.dd88376e7d3116e2f0ee91c049513dd6.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00750043524407;Detergente Líquido Doble Poder Botella, 700 ml;;2000;2857;True;https://super.lider.cl/ip/detergentes/00750043524407;https://i5.walmartimages.cl/asr/57c5d03e-32a0-453e-8634-73c35e6e2980.492a83a599842ea04fb86eff32dae122.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780492001530;Detergente Líquido Forte Doypack, 3 l;;1750;8990;True;https://super.lider.cl/ip/detergentes/00780492001530;https://i5.walmartimages.cl/asr/5d04ae38-1324-4cad-9bae-117847696904.ee23d82650a93920c69f3ad48e4118e2.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00779113000243;Abrillantador para lavavajillas, 400 ml;;4690;11725;True;https://super.lider.cl/ip/detergentes/00779113000243;https://i5.walmartimages.cl/asr/3ba0f70f-36ab-4772-a059-4a0007779c92.e65556c203d57e2aeb7ed56b78c9ee01.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780504000555;Detergente Líquido Higienizante Pack 2 Botella, 6 L;;1640;10590;True;https://super.lider.cl/ip/detergentes/00780504000555;https://i5.walmartimages.cl/asr/5d74a1db-648e-4682-b85d-b5a4a78f45ad.42ac3bb7c0afb1a04687b1f19c4d05a8.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780504500012;Detergente Líquido Hipoalergénico Bebé Doypack, 3 l;;4830;14490;True;https://super.lider.cl/ip/detergentes/00780504500012;https://i5.walmartimages.cl/asr/3a4bddc3-04ca-4d61-81c3-a7f7525c0273.b4356a13983af4da09d34a7c402759db.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00779129000724;Detergente Líquido Hortensias y Flores Blancas Doypack, 3 L;;1850;7790;True;https://super.lider.cl/ip/detergentes/00779129000724;https://i5.walmartimages.cl/asr/d7601775-b584-4d96-a62f-52429630c728.8b93988223717fd2f229b8e623ef7b6f.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780500032435;Detergente líquido para preparar 2 botellas 500ml+ suavizante comfort 500 ml rinden 2 lt + quix ultra pack, 6 L;;2200;15990;True;https://super.lider.cl/ip/detergentes/00780500032435;https://i5.walmartimages.cl/asr/244bc1f6-6d93-4428-a72e-c6d440fba712.60037a5036e8ce989893300589aa7a24.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780493001546;Detergente Líquido Floral Matic Botella, 5 L;;1558;7790;True;https://super.lider.cl/ip/detergentes/00780493001546;https://i5.walmartimages.cl/asr/fc62703f-f2ac-4295-9656-87d1a3c203e8.e5b1c60ec0264870a460eb5f700a1238.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780460973076;Detergente Líquido Bio Frescura Bosque Nativo Botella, 1,2 L;;890;2890;True;https://super.lider.cl/ip/detergentes/00780460973076;https://i5.walmartimages.cl/asr/0514151a-19c7-4828-b0d0-00bdb5fedc66.58966fde415cdb2102053c2c81b639d9.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00750043501190;Detergente Líquido Doble Poder Concentrado Para Ropa Blanca Y de Color Botella, 3 L;;4330;12990;True;https://super.lider.cl/ip/detergentes/00750043501190;https://i5.walmartimages.cl/asr/d2f3c98b-3efa-45f6-b390-d53d10508c10.226bd1430aa8169fcd9aef1ec003d836.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780501000225;Sal para lavavajillas Doypack, 1 kg;;2850;2850;False;https://super.lider.cl/ip/detergentes/00780501000225;https://i5.walmartimages.cl/asr/c0fad531-c02f-4e9c-8636-90e9d61952b5.122068680640247eedf5b6964c45f2f2.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
00780504500222;Detergente Líquido Hipoalergénico Bebé Doypack, 1l;;900;5890;True;https://super.lider.cl/ip/detergentes/00780504500222;https://i5.walmartimages.cl/asr/4e4a9596-bf7d-428b-9b22-198af1f9479a.cdfa8b249d18e94eee18b529b3a90086.jpeg?null=&odnHeight=580&odnWidth=580&odnBg=FFFFFF;Detergentes > Detergente Líquido;https://super.lider.cl/browse/limpieza-y-aseo/detergentes/detergente-liquido/43390617_23557375_37826208;;1;2026-03-17T23:15:47
