sku,name,brand,net_content,unit,price,list_price,discount_price,in_offer,saving_text,ppum,ppum_list_price,detail_url,image_url,group_name,category_name,category_url,source_next_data_url,extracted_at
4133,Picado Nestlé Naturnes cazuela de vacuno 250 g,Nestle,1 un,Kg,2550,2550,,False,,$10.200 x Kg,$10.200 x Kg,https://www.unimarc.cl/picado-recetas-cazuela-vac-nestle-250-gr/p,https://unimarc.vtexassets.com/arquivos/ids/192249/000000000000174295-UN-01.jpg?v=637183500026900000,Alimentacion,Colados y picados,https://www.unimarc.cl/category/bebes-y-ninos/alimentacion/colados-y-picados,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebes-y-ninos/alimentacion/colados-y-picados.json?categories=bebes-y-ninos&categories=alimentacion&categories=colados-y-picados,2026-02-23T12:17:06
4095,Picado Nestlé Naturnes charquicán 250 g,Nestle,1 un,Kg,2450,2450,,False,,$9.800 x Kg,$9.800 x Kg,https://www.unimarc.cl/picado-junior-charquican-nestle-250-gr/p,https://unimarc.vtexassets.com/arquivos/ids/192248/000000000000171141-UN-01.jpg?v=637183499171400000,Alimentacion,Colados y picados,https://www.unimarc.cl/category/bebes-y-ninos/alimentacion/colados-y-picados,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebes-y-ninos/alimentacion/colados-y-picados.json?categories=bebes-y-ninos&categories=alimentacion&categories=colados-y-picados,2026-02-23T12:17:06
4134,Picado Nestlé Naturnes cazuela de ave 250 g,Nestle,1 un,Kg,2550,2550,,False,,$10.200 x Kg,$10.200 x Kg,https://www.unimarc.cl/picado-recetas-cazuela-ave-nestle-250-gr/p,https://unimarc.vtexassets.com/arquivos/ids/192247/000000000000174299-UN-01.jpg?v=637183498346500000,Alimentacion,Colados y picados,https://www.unimarc.cl/category/bebes-y-ninos/alimentacion/colados-y-picados,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebes-y-ninos/alimentacion/colados-y-picados.json?categories=bebes-y-ninos&categories=alimentacion&categories=colados-y-picados,2026-02-23T12:17:06
4232,Picado Nestlé Naturnes carbonada 250 g,Nestle,1 un,Kg,2450,2450,,False,,$9.800 x Kg,$9.800 x Kg,https://www.unimarc.cl/picado-junior-carbonada-nestle-250-gr/p,https://unimarc.vtexassets.com/arquivos/ids/192246/000000000000178369-UN-01.jpg?v=637183497456470000,Alimentacion,Colados y picados,https://www.unimarc.cl/category/bebes-y-ninos/alimentacion/colados-y-picados,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebes-y-ninos/alimentacion/colados-y-picados.json?categories=bebes-y-ninos&categories=alimentacion&categories=colados-y-picados,2026-02-23T12:17:06
80452,Picado Nestlé Naturnes tomaticán 250 g,Nestle,1 un,Kg,2590,2590,,False,,$10.360 x Kg,$10.360 x Kg,https://www.unimarc.cl/alim-infan-picado-tomatican-nestle-250gr/p,https://unimarc.vtexassets.com/arquivos/ids/223130/000000000000653692-UN-01.jpg?v=637780169207430000,Alimentacion,Colados y picados,https://www.unimarc.cl/category/bebes-y-ninos/alimentacion/colados-y-picados,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebes-y-ninos/alimentacion/colados-y-picados.json?categories=bebes-y-ninos&categories=alimentacion&categories=colados-y-picados,2026-02-23T12:17:06
84496,Picado Nestlé Naturnes porotos granados 250 g,Nestle,1 un,Kg,2590,2590,,False,,$10.360 x Kg,$10.360 x Kg,https://www.unimarc.cl/alim-inf-picado-p-granados-nestle-250-gr/p,https://unimarc.vtexassets.com/arquivos/ids/234758/000000000000665176-UN-01.jpg?v=638253813176030000,Alimentacion,Colados y picados,https://www.unimarc.cl/category/bebes-y-ninos/alimentacion/colados-y-picados,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebes-y-ninos/alimentacion/colados-y-picados.json?categories=bebes-y-ninos&categories=alimentacion&categories=colados-y-picados,2026-02-23T12:17:06
651,Colado Nestlé Naturnes carne y verduras 215 g,Nestle,1 un,Kg,2350,2350,,False,,$10.930 x Kg,$10.930 x Kg,https://www.unimarc.cl/colado-nestle-naturnes-carne-y-verduras-215-g/p,https://unimarc.vtexassets.com/arquivos/ids/192244/000000000000174334-UN-01.jpg?v=637183495641000000,Alimentacion,Colados y picados,https://www.unimarc.cl/category/bebes-y-ninos/alimentacion/colados-y-picados,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebes-y-ninos/alimentacion/colados-y-picados.json?categories=bebes-y-ninos&categories=alimentacion&categories=colados-y-picados,2026-02-23T12:17:06
650,Colado Nestlé Naturnes pollo y verduras 215 g,Nestle,1 un,Kg,2350,2350,,False,,$10.930 x Kg,$10.930 x Kg,https://www.unimarc.cl/colado-nestle-naturnes-pollo-y-verduras-215-g/p,https://unimarc.vtexassets.com/arquivos/ids/192245/000000000000174330-UN-01.jpg?v=637183496591100000,Alimentacion,Colados y picados,https://www.unimarc.cl/category/bebes-y-ninos/alimentacion/colados-y-picados,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebes-y-ninos/alimentacion/colados-y-picados.json?categories=bebes-y-ninos&categories=alimentacion&categories=colados-y-picados,2026-02-23T12:17:06
4862,Colado Nestlé Naturnes pavo y verduras 215 g,Nestle,1 un,Kg,2350,2350,,False,,$10.930 x Kg,$10.930 x Kg,https://www.unimarc.cl/colado-nestle-pavo-c-verduras-215-gr/p,https://unimarc.vtexassets.com/arquivos/ids/192243/000000000000225728-UN-01.jpg?v=637183494734200000,Alimentacion,Colados y picados,https://www.unimarc.cl/category/bebes-y-ninos/alimentacion/colados-y-picados,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebes-y-ninos/alimentacion/colados-y-picados.json?categories=bebes-y-ninos&categories=alimentacion&categories=colados-y-picados,2026-02-23T12:17:06
7234,Picado Nestlé Naturnes carne fideos y verduras 215 g,Nestle,1 un,Kg,2490,2490,,False,,$11.581 x Kg,$11.581 x Kg,https://www.unimarc.cl/picado-nestle-215-gr-carne-verduras/p,https://unimarc.vtexassets.com/arquivos/ids/192256/000000000400254003-UN-01.jpg?v=637183506926170000,Alimentacion,Colados y picados,https://www.unimarc.cl/category/bebes-y-ninos/alimentacion/colados-y-picados,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebes-y-ninos/alimentacion/colados-y-picados.json?categories=bebes-y-ninos&categories=alimentacion&categories=colados-y-picados,2026-02-23T12:17:06
