sku;name;brand;net_content;unit;price;list_price;discount_price;in_offer;saving_text;ppum;ppum_list_price;detail_url;image_url;group_name;category_name;category_url;source_next_data_url;extracted_at
1741;Helado Savory cassata brick 1 L;Savory;1 un;litro;2890;3690;2890;True;Ahorras $800;$2.890 x litro;$3.690 x litro;https://www.unimarc.cl/helado-savory-casata-brick-trisabor-1-l/p;https://unimarc.vtexassets.com/arquivos/ids/210354/000000000400273002-UN-01.jpg?v=637503946414300000;Hielo, helados y postres;Helados cremosos;https://www.unimarc.cl/category/congelados/hielo-helados-y-postres/helados-cremosos;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/congelados/hielo-helados-y-postres/helados-cremosos.json?categories=congelados&categories=hielo-helados-y-postres&categories=helados-cremosos;2026-03-09T19:16:43
7242;Helado Savory chocolate suizo cassata 1 L;Savory;1 un;litro;2890;3690;2890;True;Ahorras $800;$2.890 x litro;$3.690 x litro;https://www.unimarc.cl/helado-savory-especial-chocolate-suizo/p;https://unimarc.vtexassets.com/arquivos/ids/210397/000000000400275013-UN-01.jpg?v=637504040978930000;Hielo, helados y postres;Helados cremosos;https://www.unimarc.cl/category/congelados/hielo-helados-y-postres/helados-cremosos;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/congelados/hielo-helados-y-postres/helados-cremosos.json?categories=congelados&categories=hielo-helados-y-postres&categories=helados-cremosos;2026-03-09T19:16:43
74824;Helado Savory chocolate suizo y frutos del bosque 1 L;Savory;1 un;litro;2890;3690;2890;True;Ahorras $800;$2.890 x litro;$3.690 x litro;https://www.unimarc.cl/helado-savory-1-lt-frutos-choco-suizo/p;https://unimarc.vtexassets.com/arquivos/ids/210345/000000000400273011-UN-01.jpg?v=637503937193800000;Hielo, helados y postres;Helados cremosos;https://www.unimarc.cl/category/congelados/hielo-helados-y-postres/helados-cremosos;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/congelados/hielo-helados-y-postres/helados-cremosos.json?categories=congelados&categories=hielo-helados-y-postres&categories=helados-cremosos;2026-03-09T19:16:43
7241;Helado Savory pasas al ron cassata 1 L;Savory;1 un;litro;2890;3690;2890;True;Ahorras $800;$2.890 x litro;$3.690 x litro;https://www.unimarc.cl/helado-savory-especial-1-lt-pasas-ron/p;https://unimarc.vtexassets.com/arquivos/ids/210366/000000000400275012-UN-01.jpg?v=637503960677530000;Hielo, helados y postres;Helados cremosos;https://www.unimarc.cl/category/congelados/hielo-helados-y-postres/helados-cremosos;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/congelados/hielo-helados-y-postres/helados-cremosos.json?categories=congelados&categories=hielo-helados-y-postres&categories=helados-cremosos;2026-03-09T19:16:43
7240;Helado Savory chirimoya alegre cassata 1 L;Savory;1 un;litro;2890;3690;2890;True;Ahorras $800;$2.890 x litro;$3.690 x litro;https://www.unimarc.cl/helado-savory-especial-chirimoya-alegre/p;https://unimarc.vtexassets.com/arquivos/ids/210357/000000000400275011-UN-01.jpg?v=637503949433630000;Hielo, helados y postres;Helados cremosos;https://www.unimarc.cl/category/congelados/hielo-helados-y-postres/helados-cremosos;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/congelados/hielo-helados-y-postres/helados-cremosos.json?categories=congelados&categories=hielo-helados-y-postres&categories=helados-cremosos;2026-03-09T19:16:43
1742;Helado Savory vainilla 1 L;Savory;1 un;litro;2890;3690;2890;True;Ahorras $800;$2.890 x litro;$3.690 x litro;https://www.unimarc.cl/helado-savory-vainilla-1-l/p;https://unimarc.vtexassets.com/arquivos/ids/210375/000000000400273003-UN-01.jpg?v=637503968438130000;Hielo, helados y postres;Helados cremosos;https://www.unimarc.cl/category/congelados/hielo-helados-y-postres/helados-cremosos;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/congelados/hielo-helados-y-postres/helados-cremosos.json?categories=congelados&categories=hielo-helados-y-postres&categories=helados-cremosos;2026-03-09T19:16:43
86417;Helado Chamonix chocolate, manjar y flan vainilla 2.5 L;Chamonix;1 un;litro;4690;5790;4690;True;Ahorras $1.100;$1.876 x litro;$2.316 x litro;https://www.unimarc.cl/hel-chamonix-2-5l-choco-manj-flan-vaini/p;https://unimarc.vtexassets.com/arquivos/ids/236932/000000000661883006-UN-01.jpg?v=638392224062900000;Hielo, helados y postres;Helados cremosos;https://www.unimarc.cl/category/congelados/hielo-helados-y-postres/helados-cremosos;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/congelados/hielo-helados-y-postres/helados-cremosos.json?categories=congelados&categories=hielo-helados-y-postres&categories=helados-cremosos;2026-03-09T19:16:43
1744;Helado Savory tres leches cassata 1 L;Savory;1 un;litro;2890;3690;2890;True;Ahorras $800;$2.890 x litro;$3.690 x litro;https://www.unimarc.cl/helado-savory-tres-leches-1-l/p;https://unimarc.vtexassets.com/arquivos/ids/210379/000000000400275001-UN-01.jpg?v=637503972225300000;Hielo, helados y postres;Helados cremosos;https://www.unimarc.cl/category/congelados/hielo-helados-y-postres/helados-cremosos;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/congelados/hielo-helados-y-postres/helados-cremosos.json?categories=congelados&categories=hielo-helados-y-postres&categories=helados-cremosos;2026-03-09T19:16:43
82052;Helado Chamonix edición limitada piña 2.5 L;Chamonix;1 un;litro;4690;5790;4690;True;Ahorras $1.100;$1.876 x litro;$2.316 x litro;https://www.unimarc.cl/helado-edic-ltda-chamonix-2-5l-pina/p;https://unimarc.vtexassets.com/arquivos/ids/231570/000000000655896002-UN-01.jpg?v=638072776232670000;Hielo, helados y postres;Helados cremosos;https://www.unimarc.cl/category/congelados/hielo-helados-y-postres/helados-cremosos;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/congelados/hielo-helados-y-postres/helados-cremosos.json?categories=congelados&categories=hielo-helados-y-postres&categories=helados-cremosos;2026-03-09T19:16:43
81332;Helado Chamonix trisabor 2.5 L;Chamonix;1 un;litro;4690;5790;4690;True;Ahorras $1.100;$1.876 x litro;$2.316 x litro;https://www.unimarc.cl/helado-edic-ltda-chamonix-2-5l-trisabor/p;https://unimarc.vtexassets.com/arquivos/ids/230646/000000000655896001-UN-01.jpg?v=638042079475370000;Hielo, helados y postres;Helados cremosos;https://www.unimarc.cl/category/congelados/hielo-helados-y-postres/helados-cremosos;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/congelados/hielo-helados-y-postres/helados-cremosos.json?categories=congelados&categories=hielo-helados-y-postres&categories=helados-cremosos;2026-03-09T19:16:43
