sku,name,brand,net_content,unit,price,list_price,discount_price,in_offer,saving_text,ppum,ppum_list_price,detail_url,image_url,group_name,category_name,category_url,source_next_data_url,extracted_at
376,Jamón pierna PF acaramelado granel 100 g,Pf,100 g,Kg,996,1276,996,True,Ahorras $280,$9.960 x Kg,$12.760 x Kg,https://www.unimarc.cl/jamon-pierna-acaramelado-al-meson-300-g/p,https://unimarc.vtexassets.com/arquivos/ids/233923/000000000000051936-KGV-01.jpg?v=638218409161170000,Quesos,Fiambres y embutidos,https://www.unimarc.cl/category/quesos-y-fiambres/fiambres-y-embutidos,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/quesos-y-fiambres/fiambres-y-embutidos.json?categories=quesos-y-fiambres&categories=fiambres-y-embutidos,2026-02-23T13:38:42
3397,Salchicha tradicional San Jorge 20 un 1 Kg,San Jorge,1 un,Kg,3590,4200,3590,True,Ahorras $610,$3.590 x Kg,$4.200 x Kg,https://www.unimarc.cl/vienesa-tradicional-san-jorge-1kg/p,https://unimarc.vtexassets.com/arquivos/ids/220182/000000000000035129-UN-01.jpg?v=638479196690470000,Quesos,Fiambres y embutidos,https://www.unimarc.cl/category/quesos-y-fiambres/fiambres-y-embutidos,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/quesos-y-fiambres/fiambres-y-embutidos.json?categories=quesos-y-fiambres&categories=fiambres-y-embutidos,2026-02-23T13:38:42
4248,Salchicha sureña PF 5 un 250 g,Pf,1 un,Kg,1000,1320,1000,True,Ahorras $320,$4.000 x Kg,$5.280 x Kg,https://www.unimarc.cl/salchicha-surena-pf-250grs/p,https://unimarc.vtexassets.com/arquivos/ids/239340/000000000000179567-UN-01.jpg?v=638508851978070000,Quesos,Fiambres y embutidos,https://www.unimarc.cl/category/quesos-y-fiambres/fiambres-y-embutidos,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/quesos-y-fiambres/fiambres-y-embutidos.json?categories=quesos-y-fiambres&categories=fiambres-y-embutidos,2026-02-23T13:38:42
382,Pechuga de pavo Sopraval cocida granel 100 gr,Sopraval,100 g,Kg,1396,1436,1396,True,Ahorras $40,$13.960 x Kg,$14.360 x Kg,https://www.unimarc.cl/pechuga-de-pavo-cocida-al-meson-300-g/p,https://unimarc.vtexassets.com/arquivos/ids/252768/000000000000052087-KGV-01.jpg?v=638978742563170000,Quesos,Fiambres y embutidos,https://www.unimarc.cl/category/quesos-y-fiambres/fiambres-y-embutidos,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/quesos-y-fiambres/fiambres-y-embutidos.json?categories=quesos-y-fiambres&categories=fiambres-y-embutidos,2026-02-23T13:38:42
9998,Jamón colonial PF granel 100 g,Pf,100 g,Kg,996,1036,996,True,Ahorras $40,$9.960 x Kg,$10.360 x Kg,https://www.unimarc.cl/jamon-colonial-pf-kg/p,https://unimarc.vtexassets.com/arquivos/ids/233991/000000000000876828-KG-01.jpg?v=638218523315430000,Quesos,Fiambres y embutidos,https://www.unimarc.cl/category/quesos-y-fiambres/fiambres-y-embutidos,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/quesos-y-fiambres/fiambres-y-embutidos.json?categories=quesos-y-fiambres&categories=fiambres-y-embutidos,2026-02-23T13:38:42
13981,Jamón pierna artesanal Receta del Abuelo corte pluma 125 g,Receta Del Abuelo,1 un,Kg,2000,2340,2000,True,Ahorras $340,$16.000 x Kg,$18.720 x Kg,https://www.unimarc.cl/jamon-pierna-artesanal-r-d-abuelo-125gr/p,https://unimarc.vtexassets.com/arquivos/ids/239345/000000000000615900-UN-01.jpg?v=638508854291400000,Quesos,Fiambres y embutidos,https://www.unimarc.cl/category/quesos-y-fiambres/fiambres-y-embutidos,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/quesos-y-fiambres/fiambres-y-embutidos.json?categories=quesos-y-fiambres&categories=fiambres-y-embutidos,2026-02-23T13:38:42
38830,Jamón pierna artesanal Super Cerdo granel 100 g,Super Cerdo,100 g,Kg,800,1020,800,True,Ahorras $220,$8.000 x Kg,$10.200 x Kg,https://www.unimarc.cl/jamon-pierna-super-cerdo-g2-kg/p,https://unimarc.vtexassets.com/arquivos/ids/242829/000000000000799737-KG-01.jpg?v=638562249439430000,Quesos,Fiambres y embutidos,https://www.unimarc.cl/category/quesos-y-fiambres/fiambres-y-embutidos,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/quesos-y-fiambres/fiambres-y-embutidos.json?categories=quesos-y-fiambres&categories=fiambres-y-embutidos,2026-02-23T13:38:42
383,Pechuga de pavo Sopraval asada granel 100 gr,Sopraval,100 g,Kg,1396,1436,1396,True,Ahorras $40,$13.960 x Kg,$14.360 x Kg,https://www.unimarc.cl/pechuga-de-pavo-asada-al-meson-300-g/p,https://unimarc.vtexassets.com/arquivos/ids/252766/000000000000052089-KGV-01.jpg?v=638978740079630000,Quesos,Fiambres y embutidos,https://www.unimarc.cl/category/quesos-y-fiambres/fiambres-y-embutidos,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/quesos-y-fiambres/fiambres-y-embutidos.json?categories=quesos-y-fiambres&categories=fiambres-y-embutidos,2026-02-23T13:38:42
537,Tocino cortado La Preferida 180 g,La Preferida,1 un,Kg,4000,4390,4000,True,Ahorras $390,$22.222 x Kg,$24.389 x Kg,https://www.unimarc.cl/panceta-cortada-vacio-180-g-la-preferida/p,https://unimarc.vtexassets.com/arquivos/ids/219891/000000000000144019-UN-01.jpg?v=638479196800430000,Quesos,Fiambres y embutidos,https://www.unimarc.cl/category/quesos-y-fiambres/fiambres-y-embutidos,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/quesos-y-fiambres/fiambres-y-embutidos.json?categories=quesos-y-fiambres&categories=fiambres-y-embutidos,2026-02-23T13:38:42
13376,Salchicha tradicional Montina 20 un 1 Kg,Montina,1 un,Kg,4500,4850,4500,True,Ahorras $350,$4.500 x Kg,$4.850 x Kg,https://www.unimarc.cl/salchicha-tradicional-montina-1kg/p,https://unimarc.vtexassets.com/arquivos/ids/255864/000000000000606932-UN-01.jpg?v=639051441612530000,Quesos,Fiambres y embutidos,https://www.unimarc.cl/category/quesos-y-fiambres/fiambres-y-embutidos,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/quesos-y-fiambres/fiambres-y-embutidos.json?categories=quesos-y-fiambres&categories=fiambres-y-embutidos,2026-02-23T13:38:42
