sku;name;brand;net_content;unit;price;list_price;discount_price;in_offer;saving_text;ppum;ppum_list_price;detail_url;image_url;group_name;category_name;category_url;source_next_data_url;extracted_at
88705;Pack Detergente Omo ultra concentrado líquido 2 u de 500 ml;Omo;1 un;litro;10290;11450;10290;True;Ahorras $1.160;$10.290 x litro;$11.450 x litro;https://www.unimarc.cl/pack-det-liq-p-dil-ultra-conc-omo2x500ml/p;https://unimarc.vtexassets.com/arquivos/ids/243744/000000000000670992-UN-01.jpg?v=638603654744700000;Detergente;Detergente líquido;https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente/detergente-liquido.json?categories=limpieza&categories=detergente&categories=detergente-liquido;2026-03-09T20:01:10
87622;Detergente líquido Omo ultra power doypack 400 ml;Omo;1 un;litro;1000;1290;1000;True;Ahorras $290;$2.500 x litro;$3.225 x litro;https://www.unimarc.cl/det-liq-ultra-power-dp-omo-400-ml/p;https://unimarc.vtexassets.com/arquivos/ids/242740/000000000000669388-UN-01.jpg?v=638556337541430000;Detergente;Detergente líquido;https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente/detergente-liquido.json?categories=limpieza&categories=detergente&categories=detergente-liquido;2026-03-09T20:01:10
1479;Detergente Omo matic multiacción líquido recarga 3 L;Omo;1 un;litro;9790;14890;9790;True;Ahorras $5.100;$3.263 x litro;$4.963 x litro;https://www.unimarc.cl/det-omo-matic-multiaccion-liquido-recarga-3-l/p;https://unimarc.vtexassets.com/arquivos/ids/237809/000000000000721107-UN-01.jpg?v=638439480864470000;Detergente;Detergente líquido;https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente/detergente-liquido.json?categories=limpieza&categories=detergente&categories=detergente-liquido;2026-03-09T20:01:10
90539;Detergente líquido Omo piel sensible doypack 800 ml;Omo;1 un;litro;2000;4350;2000;True;Ahorras $2.350;$2.500 x litro;$5.438 x litro;https://www.unimarc.cl/det-liq-piel-sensible-dp-omo-800-ml/p;https://unimarc.vtexassets.com/arquivos/ids/246983/000000000000674131-UN-01.jpg.jpg?v=638755881231400000;Detergente;Detergente líquido;https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente/detergente-liquido.json?categories=limpieza&categories=detergente&categories=detergente-liquido;2026-03-09T20:01:10
54612;Pack detergente líquido Bio Frescura 2 un de 3 L;Bio Frescura;1 un;litro;11790;13190;11790;True;Ahorras $1.400;$1.965 x litro;$2.198 x litro;https://www.unimarc.cl/pack-det-liq-matic-bio-frescura-2x3-lt/p;https://unimarc.vtexassets.com/arquivos/ids/244744/000000000000635704-DIS-01.jpg?v=638648520897830000;Detergente;Detergente líquido;https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente/detergente-liquido.json?categories=limpieza&categories=detergente&categories=detergente-liquido;2026-03-09T20:01:10
93433;Detergente líquido para limpieza multiuso PRO Fresh Smart Clean 2l;Smart Clean;1 un;litro;5000;7990;5000;True;Ahorras $2.990;$2.500 x litro;$3.995 x litro;https://www.unimarc.cl/det-liq-mat-ul-pro-fresh-smart-clean-2lt/p;https://unimarc.vtexassets.com/arquivos/ids/253173/000000000000682093-UN-01.jpg?v=638991552982430000;Detergente;Detergente líquido;https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente/detergente-liquido.json?categories=limpieza&categories=detergente&categories=detergente-liquido;2026-03-09T20:01:10
86503;Detergente líquido Merkat matic floral 5 L DET LIQ MATIC FLORAL MERKAT 5 LT;Merkat;1 un;litro;3390;3390;;False;;$678 x litro;$678 x litro;https://www.unimarc.cl/det-liq-matic-floral-merkat-5-lt/p;https://unimarc.vtexassets.com/arquivos/ids/237610/MER_NF_Dertergente-Liquido-5L_ECOLIFE_7804672430065.png?v=638430931766630000;Detergente;Detergente líquido;https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente/detergente-liquido.json?categories=limpieza&categories=detergente&categories=detergente-liquido;2026-03-09T20:01:10
88947;Detergente lÍquido Smart Clean matic floral 5 L;Smart Clean;1 un;litro;8750;8750;;False;;$1.750 x litro;$1.750 x litro;https://www.unimarc.cl/det-liq-matic-floral-smart-clean-5-lt/p;https://unimarc.vtexassets.com/arquivos/ids/244051/000000000000670962-UN-01.jpg?v=638617517964830000;Detergente;Detergente líquido;https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente/detergente-liquido.json?categories=limpieza&categories=detergente&categories=detergente-liquido;2026-03-09T20:01:10
1669;Detergente Omo matic multiacción soft líquido doypack 3 L;Omo;1 un;litro;9790;14890;9790;True;Ahorras $5.100;$3.263 x litro;$4.963 x litro;https://www.unimarc.cl/det-omo-matic-multiaccion-soft-liq-d-pack-3-l/p;https://unimarc.vtexassets.com/arquivos/ids/237811/000000000000916911-UN-01.jpg?v=638439481522500000;Detergente;Detergente líquido;https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente/detergente-liquido.json?categories=limpieza&categories=detergente&categories=detergente-liquido;2026-03-09T20:01:10
81801;Pack detergente líquido Omo para diluir 2 un 500 ml + Suavizante Comfort puro cuidado 500 ml + lavaloza Quix 500 ml;Omo;1 un;litro;16290;19290;16290;True;Ahorras $3.000;$8.145 x litro;$9.645 x litro;https://www.unimarc.cl/det-p-d-omo-2x500ml-lav-quix-suav-comfor/p;https://unimarc.vtexassets.com/arquivos/ids/226628/000000000000656610-UN-01.jpg?v=637885884051200000;Detergente;Detergente líquido;https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido;https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente/detergente-liquido.json?categories=limpieza&categories=detergente&categories=detergente-liquido;2026-03-09T20:01:10
