sku,name,brand,net_content,unit,price,list_price,discount_price,in_offer,saving_text,ppum,ppum_list_price,detail_url,image_url,group_name,category_name,category_url,source_next_data_url,extracted_at
765,Agua purificada Benedictino con gas botella 1.5 L,Benedictino,1 un,litro,950,950,,False,,$633 x litro,$633 x litro,https://www.unimarc.cl/agua-min-benedictino-c-gas-1-5-l/p,https://unimarc.vtexassets.com/arquivos/ids/205098/000000000000186400-UN-01.jpg?v=637412624942900000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
766,Agua purificada Benedictino sin gas botella 1.5 L,Benedictino,1 un,litro,950,950,,False,,$633 x litro,$633 x litro,https://www.unimarc.cl/agua-min-benedictino-s-gas-1-5-l/p,https://unimarc.vtexassets.com/arquivos/ids/205097/000000000000186401-UN-01.jpg?v=637412623806270000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
93221,Agua mineral con gas Manantial 3L,Manantial,1 un,litro,1000,1150,1000,True,Ahorras $150,$333 x litro,$383 x litro,https://www.unimarc.cl/agua-mineral-con-gas-manantial-pet-3lt/p,https://unimarc.vtexassets.com/arquivos/ids/254801/000000000000670308-UN-01.jpg?v=639033167880800000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
5993,Agua saborizada Más citrus 1.6 L,Mas,1 un,litro,1320,1320,,False,,$825 x litro,$825 x litro,https://www.unimarc.cl/mas-cachantun-citrus-pet-1-6-lt/p,https://unimarc.vtexassets.com/arquivos/ids/244148/000000000000615249-UN-01.jpg?v=638618364890830000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
1666,Agua mineral Nestlé Pure Life sin gas bidón 6 L,Pure Life,1 un,litro,1990,1990,,False,,$332 x litro,$332 x litro,https://www.unimarc.cl/agua-min-nestle-pure-life-s-gas-bidon-6-l/p,https://unimarc.vtexassets.com/arquivos/ids/233432/000000000000913825-UN-01.jpg?v=638484515120530000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
1352,Agua saborizada Más granada 1.6 L,Mas,1 un,litro,1320,1320,,False,,$825 x litro,$825 x litro,https://www.unimarc.cl/agua-cachantun-mas-granada-1-6-l/p,https://unimarc.vtexassets.com/arquivos/ids/244149/000000000000615253-UN-01.jpg?v=638618365670670000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
152,Agua mineral Cachantun con gas 1.6 L,Cachantun,1 un,litro,1150,1150,,False,,$719 x litro,$719 x litro,https://www.unimarc.cl/agua-min-cachantun-c-gas-1-6-l-no-retorn/p,https://unimarc.vtexassets.com/arquivos/ids/237613/000000000000022864-UN-01.jpg?v=638434287079430000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
231,Agua mineral Vital con gas botella 1.6 L,Vital,1 un,litro,1030,1030,,False,,$644 x litro,$644 x litro,https://www.unimarc.cl/agua-min-vital-c-gas-1-6-l-no-retor/p,https://unimarc.vtexassets.com/arquivos/ids/252895/000000000000031264-UN-01.jpg?v=638983753205770000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
5289,Agua saborizada Aquarius manzana sin azúcar botella 1.6 L,Aquarius,1 un,litro,1090,1220,1090,True,Ahorras $130,$681 x litro,$763 x litro,https://www.unimarc.cl/agua-aquarius-manzana-pet-1-5-lt/p,https://unimarc.vtexassets.com/arquivos/ids/204663/000000000000526124-UN-01.jpg?v=637405766084330000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
1351,Agua saborizada Más manzana 1.6 L,Mas,1 un,litro,1320,1320,,False,,$825 x litro,$825 x litro,https://www.unimarc.cl/agua-cachantun-mas-manzana-1-6-l/p,https://unimarc.vtexassets.com/arquivos/ids/244150/000000000000615251-UN-01.jpg?v=638618366299630000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
1172,Agua purificada Benedictino sin gas bidón 6.5 L,Benedictino,1 un,litro,2190,2190,,False,,$337 x litro,$337 x litro,https://www.unimarc.cl/agua-min-benedictino-s-gas-bidon-6-l/p,https://unimarc.vtexassets.com/arquivos/ids/205112/000000000000570568-UN-01.jpg?v=637412638610970000,Destilados y licores,Aguas,https://www.unimarc.cl/category/bebidas-y-licores/aguas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/bebidas-y-licores/aguas.json?categories=bebidas-y-licores&categories=aguas,2026-02-22T01:35:17
