sku,name,brand,net_content,unit,price,list_price,discount_price,in_offer,saving_text,ppum,ppum_list_price,detail_url,image_url,group_name,category_name,category_url,source_next_data_url,extracted_at
82603,Entrañita picoteo Usa Swift al vacío 500 g,Swift,500 g,Kg,10495,13295,10495,True,Ahorras $2.800,$20.990 x Kg,$26.590 x Kg,https://www.unimarc.cl/entranita-picoteo-usa-ref-vac-kg/p,https://unimarc.vtexassets.com/arquivos/ids/244384/000000000000662043-KG-01.jpg?v=638632576946770000,Vacuno,Vacuno,https://www.unimarc.cl/category/carnes/vacuno,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/carnes/vacuno.json?categories=carnes&categories=vacuno,2026-02-21T18:07:47
1512,Filete vacuno al vacío 2.1 Kg,Argentina Uruguay,2.1 kg,Kg,44919,44919,,False,,$21.390 x Kg,$21.390 x Kg,https://www.unimarc.cl/filete-vacio-arg-kg/p,https://unimarc.vtexassets.com/arquivos/ids/234894/000000000000752514-KG-01.jpg?v=638260648729570000,Vacuno,Vacuno,https://www.unimarc.cl/category/carnes/vacuno,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/carnes/vacuno.json?categories=carnes&categories=vacuno,2026-02-21T18:07:47
1506,Sobrecostilla vacuno al vacío 1.4 Kg,Argentina Uruguay,1.4 kg,Kg,10766,15106,10766,True,Ahorras $4.340,$7.690 x Kg,$10.790 x Kg,https://www.unimarc.cl/sobrecostilla-vco-arg-kg/p,https://unimarc.vtexassets.com/arquivos/ids/222502/000000000000752497-KG-01.jpg?v=637756328975530000,Vacuno,Vacuno,https://www.unimarc.cl/category/carnes/vacuno,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/carnes/vacuno.json?categories=carnes&categories=vacuno,2026-02-21T18:07:47
78344,Carne molida 10% grasa vacuno Fundo Río Alegre corriente 250 g,Fundo Rio Alegre,1 un,Kg,2990,2990,,False,,$11.960 x Kg,$11.960 x Kg,https://www.unimarc.cl/carne-molida-cte-10-fundo-rio-aleg-250g/p,https://unimarc.vtexassets.com/arquivos/ids/220176/000000000000652050-UN-01.jpg?v=637678336663800000,Vacuno,Vacuno,https://www.unimarc.cl/category/carnes/vacuno,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/carnes/vacuno.json?categories=carnes&categories=vacuno,2026-02-21T18:07:47
1518,Lomo vetado vacuno Argentino al vacío 1.5 Kg,Argentina Uruguay,1.5 kg,Kg,27435,27435,,False,,$18.290 x Kg,$18.290 x Kg,https://www.unimarc.cl/lomo-vetado-vacuno-cat-v-argentina-vacio-1-3k/p,https://unimarc.vtexassets.com/arquivos/ids/231541/000000000000752526-KG-01.jpg?v=638070825981300000,Vacuno,Vacuno,https://www.unimarc.cl/category/carnes/vacuno,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/carnes/vacuno.json?categories=carnes&categories=vacuno,2026-02-21T18:07:47
85599,Carne molida fundo rio alegre corriente 10% grasa 500g,Fundo Rio Alegre,1 un,Kg,5790,5790,,False,,$11.580 x Kg,$11.580 x Kg,https://www.unimarc.cl/carne-molida-tartaro-4-grasa-fra-500g/p,https://unimarc.vtexassets.com/arquivos/ids/236060/000000000000666202-UN-01.jpg?v=638333235409970000,Vacuno,Vacuno,https://www.unimarc.cl/category/carnes/vacuno,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/carnes/vacuno.json?categories=carnes&categories=vacuno,2026-02-21T18:07:47
38632,Punta de ganso vacuno Argentino categoría V al vacío 1.6 Kg,Argentina Uruguay,1.6 kg,Kg,27504,27504,,False,,$17.190 x Kg,$17.190 x Kg,https://www.unimarc.cl/punta-de-ganso-vco-arg-kg/p,https://unimarc.vtexassets.com/arquivos/ids/185800/PUNTA-DE-GANSO-VCO-ARG-KG-1-21722.jpg?v=636984675423200000,Vacuno,Vacuno,https://www.unimarc.cl/category/carnes/vacuno,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/carnes/vacuno.json?categories=carnes&categories=vacuno,2026-02-21T18:07:47
78590,Filete vacuno Friboi Black Angus al vacío 2.8 Kg,Friboi Black,2.8 kg,Kg,55972,83132,55972,True,Ahorras $27.160,$19.990 x Kg,$29.690 x Kg,https://www.unimarc.cl/filete-friboi-black-vacio-kg/p,https://unimarc.vtexassets.com/arquivos/ids/220095/000000000000652643-KG-01.jpg?v=637677714585570000,Vacuno,Vacuno,https://www.unimarc.cl/category/carnes/vacuno,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/carnes/vacuno.json?categories=carnes&categories=vacuno,2026-02-21T18:07:47
13688,Posta paleta vacuno al vacío 1.7 Kg,Brasil Paraguay,1.7 kg,Kg,16473,16473,,False,,$9.690 x Kg,$9.690 x Kg,https://www.unimarc.cl/posta-de-paleta-vac-porc-kg/p,https://unimarc.vtexassets.com/arquivos/ids/223437/000000000000029400-KG-01.jpg?v=637787148363330000,Vacuno,Vacuno,https://www.unimarc.cl/category/carnes/vacuno,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/carnes/vacuno.json?categories=carnes&categories=vacuno,2026-02-21T18:07:47
1514,Huachalomo vacuno al vacío 1.5 Kg,Argentina Uruguay,1.5 kg,Kg,16185,16185,,False,,$10.790 x Kg,$10.790 x Kg,https://www.unimarc.cl/huachalomo-vacio-arg-kg/p,https://unimarc.vtexassets.com/arquivos/ids/222514/000000000000752520-KG-01.jpg?v=637756370686400000,Vacuno,Vacuno,https://www.unimarc.cl/category/carnes/vacuno,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/carnes/vacuno.json?categories=carnes&categories=vacuno,2026-02-21T18:07:47
