sku,name,brand,net_content,unit,price,list_price,discount_price,in_offer,saving_text,ppum,ppum_list_price,detail_url,image_url,group_name,category_name,category_url,source_next_data_url,extracted_at
90,Café Nescafé tradición lata 170 g,Nescafe,1 un,Kg,6290,7850,6290,True,Ahorras $1.560,$37.000 x Kg,$46.176 x Kg,https://www.unimarc.cl/cafe-nescafe-tradicion-lata-170-g/p,https://unimarc.vtexassets.com/arquivos/ids/249525/000000000000010521-UN-PROMO.jpg?v=638852574895670000,Miel y salsas,"Café, té y hierbas",https://www.unimarc.cl/category/desayuno-y-dulces/cafe-te-y-hierbas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/desayuno-y-dulces/cafe-te-y-hierbas.json?categories=desayuno-y-dulces&categories=cafe-te-y-hierbas,2026-02-18T12:48:39
61692,Café Nescafé fina selección frasco 200 g,Nescafe,1 un,Kg,12650,12650,,False,,$63.250 x Kg,$63.250 x Kg,https://www.unimarc.cl/nescafe-fina-seleccion-200-gr/p,https://unimarc.vtexassets.com/arquivos/ids/250542/000000000000639789-UN-01.jpg?v=638901128980270000,Miel y salsas,"Café, té y hierbas",https://www.unimarc.cl/category/desayuno-y-dulces/cafe-te-y-hierbas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/desayuno-y-dulces/cafe-te-y-hierbas.json?categories=desayuno-y-dulces&categories=cafe-te-y-hierbas,2026-02-18T12:48:39
3701,Té Supremo Premium ceylán 100 bolsitas,Supremo,1 un,unidad,5550,5550,,False,,$56 x unidad,$56 x unidad,https://www.unimarc.cl/te-premiun-ceylan-supremo-100-un/p,https://unimarc.vtexassets.com/arquivos/ids/214306/000000000000133224-UN-01.jpg?v=637563403703300000,Miel y salsas,"Café, té y hierbas",https://www.unimarc.cl/category/desayuno-y-dulces/cafe-te-y-hierbas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/desayuno-y-dulces/cafe-te-y-hierbas.json?categories=desayuno-y-dulces&categories=cafe-te-y-hierbas,2026-02-18T12:48:39
92,Café Gold tradicional lata 170 g,Gold,1 un,Kg,6100,8150,6100,True,Ahorras $2.050,$35.882 x Kg,$47.941 x Kg,https://www.unimarc.cl/cafe-gold-tradicional-lata-170-g/p,https://unimarc.vtexassets.com/arquivos/ids/234396/000000000000010525-UN-01.jpg?v=638247656663800000,Miel y salsas,"Café, té y hierbas",https://www.unimarc.cl/category/desayuno-y-dulces/cafe-te-y-hierbas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/desayuno-y-dulces/cafe-te-y-hierbas.json?categories=desayuno-y-dulces&categories=cafe-te-y-hierbas,2026-02-18T12:48:39
3101,Té Supremo canela 20 bolsitas,Supremo,1 un,unidad,1000,1890,1000,True,Ahorras $890,$50 x unidad,$95 x unidad,https://www.unimarc.cl/te-canela-supremo-20-un/p,https://unimarc.vtexassets.com/arquivos/ids/222428/000000000000010597-UN-01.jpg?v=637753547735800000,Miel y salsas,"Café, té y hierbas",https://www.unimarc.cl/category/desayuno-y-dulces/cafe-te-y-hierbas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/desayuno-y-dulces/cafe-te-y-hierbas.json?categories=desayuno-y-dulces&categories=cafe-te-y-hierbas,2026-02-18T12:48:39
61695,Café instantáneo liofilizado Nescafé fina selección origins alta rica frasco 100 g,Nescafe,1 un,Kg,7790,10550,7790,True,Ahorras $2.760,$77.900 x Kg,$105.500 x Kg,https://www.unimarc.cl/nescafe-fina-selec-orig-100-g-alta-rica/p,https://unimarc.vtexassets.com/arquivos/ids/246755/000000000639790001-UN-01.jpg.jpg?v=638750488366700000,Miel y salsas,"Café, té y hierbas",https://www.unimarc.cl/category/desayuno-y-dulces/cafe-te-y-hierbas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/desayuno-y-dulces/cafe-te-y-hierbas.json?categories=desayuno-y-dulces&categories=cafe-te-y-hierbas,2026-02-18T12:48:39
93,Café instantáneo Monterrey clásico lata 170 g,Monterrey,1 un,Kg,5490,5490,,False,,$32.294 x Kg,$32.294 x Kg,https://www.unimarc.cl/cafe-monterrey-clasico-lata-170-g/p,https://unimarc.vtexassets.com/arquivos/ids/220358/000000000000010528-UN-01.jpg?v=637680949991870000,Miel y salsas,"Café, té y hierbas",https://www.unimarc.cl/category/desayuno-y-dulces/cafe-te-y-hierbas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/desayuno-y-dulces/cafe-te-y-hierbas.json?categories=desayuno-y-dulces&categories=cafe-te-y-hierbas,2026-02-18T12:48:39
61696,Café instantáneo liofilizado Nescafé fina selección origins colombia frasco 100 g,Nescafe,1 un,Kg,7790,10550,7790,True,Ahorras $2.760,$77.900 x Kg,$105.500 x Kg,https://www.unimarc.cl/nescafe-fina-selec-orig-100-gr-colombia/p,https://unimarc.vtexassets.com/arquivos/ids/246760/000000000639790002-UN-01.jpg.jpg?v=638750492469670000,Miel y salsas,"Café, té y hierbas",https://www.unimarc.cl/category/desayuno-y-dulces/cafe-te-y-hierbas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/desayuno-y-dulces/cafe-te-y-hierbas.json?categories=desayuno-y-dulces&categories=cafe-te-y-hierbas,2026-02-18T12:48:39
90567,Café instantáneo Nuestra Cocina liofilizado frasco 170 g,Nuestra Cocina,1 un,Kg,7390,8190,7390,True,Ahorras $800,$43.471 x Kg,$48.176 x Kg,https://www.unimarc.cl/cafe-liofilizado-nuestra-cocina-170g/p,https://unimarc.vtexassets.com/arquivos/ids/250187/000000000000671538-UN-01.jpg?v=638887984338400000,Miel y salsas,"Café, té y hierbas",https://www.unimarc.cl/category/desayuno-y-dulces/cafe-te-y-hierbas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/desayuno-y-dulces/cafe-te-y-hierbas.json?categories=desayuno-y-dulces&categories=cafe-te-y-hierbas,2026-02-18T12:48:39
87099,Café liofilizado Marley wake up & live frasco 100 g,Marley,1 un,Kg,7850,9250,7850,True,Ahorras $1.400,$78.500 x Kg,$92.500 x Kg,https://www.unimarc.cl/cafe-liofil-wake-up-live-marley-100-gr/p,https://unimarc.vtexassets.com/arquivos/ids/239080/000000000000666146-UN-01.jpg?v=638500844343930000,Miel y salsas,"Café, té y hierbas",https://www.unimarc.cl/category/desayuno-y-dulces/cafe-te-y-hierbas,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/desayuno-y-dulces/cafe-te-y-hierbas.json?categories=desayuno-y-dulces&categories=cafe-te-y-hierbas,2026-02-18T12:48:39
