sku,name,brand,net_content,unit,price,list_price,discount_price,in_offer,saving_text,ppum,ppum_list_price,detail_url,image_url,group_name,category_name,category_url,source_next_data_url,extracted_at
77633,Arroz Nuestra Cocina G2 largo delgado 1 Kg,Nuestra Cocina,1 un,Kg,1000,1460,1000,True,Ahorras $460,$1.000 x Kg,$1.460 x Kg,https://www.unimarc.cl/arroz-g2-largo-delgad-nuestra-cocina-1kg/p,https://unimarc.vtexassets.com/arquivos/ids/231256/000000000000650923-UN-01.jpg?v=638059307465600000,Productos naturales,Arroz y legumbres,https://www.unimarc.cl/category/despensa/arroz-y-legumbres,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/despensa/arroz-y-legumbres.json?categories=despensa&categories=arroz-y-legumbres,2026-02-20T11:08:20
9411,Arroz Merkat largo delgado grado 2 1 Kg,Merkat,1 un,Kg,950,1190,950,True,Ahorras $240,$950 x Kg,$1.190 x Kg,https://www.unimarc.cl/arroz-g2-largo-delgado-merkat-1-kg/p,https://unimarc.vtexassets.com/arquivos/ids/251417/000000000000355630-UN-01.jpg?v=638931323563170000,Productos naturales,Arroz y legumbres,https://www.unimarc.cl/category/despensa/arroz-y-legumbres,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/despensa/arroz-y-legumbres.json?categories=despensa&categories=arroz-y-legumbres,2026-02-20T11:08:20
31,Arroz Miraflores G1 largo ancho bolsa 1 Kg,Miraflores,1 un,Kg,2690,2690,,False,,$2.690 x Kg,$2.690 x Kg,https://www.unimarc.cl/arroz-g1-miraflores-largo-ancho-1-kg/p,https://unimarc.vtexassets.com/arquivos/ids/193552/000000000000006105-UN-01.jpg?v=637220709271470000,Productos naturales,Arroz y legumbres,https://www.unimarc.cl/category/despensa/arroz-y-legumbres,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/despensa/arroz-y-legumbres.json?categories=despensa&categories=arroz-y-legumbres,2026-02-20T11:08:20
7732,Arroz Tucapel gran selección G2 1 Kg,Tucapel,1 un,Kg,2150,2150,,False,,$2.150 x Kg,$2.150 x Kg,https://www.unimarc.cl/arroz-g2-largo-seleccion-tucapel-1-kg/p,https://unimarc.vtexassets.com/arquivos/ids/217080/000000000000006126-UN-01.jpg?v=637608388729730000,Productos naturales,Arroz y legumbres,https://www.unimarc.cl/category/despensa/arroz-y-legumbres,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/despensa/arroz-y-legumbres.json?categories=despensa&categories=arroz-y-legumbres,2026-02-20T11:08:20
76773,Lentejas Nuestra Cocina 6 mm 1 Kg,Nuestra Cocina,1 un,Kg,3100,3650,3100,True,Ahorras $550,$3.100 x Kg,$3.650 x Kg,https://www.unimarc.cl/lentejas-6-mm-nuestra-cocina-1-kg/p,https://unimarc.vtexassets.com/arquivos/ids/216650/000000000000651343-UN-01.jpg?v=637601427068670000,Productos naturales,Arroz y legumbres,https://www.unimarc.cl/category/despensa/arroz-y-legumbres,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/despensa/arroz-y-legumbres.json?categories=despensa&categories=arroz-y-legumbres,2026-02-20T11:08:20
33,Arroz Tucapel gran selección G1 1 Kg,Tucapel,1 un,Kg,1890,2450,1890,True,Ahorras $560,$1.890 x Kg,$2.450 x Kg,https://www.unimarc.cl/arroz-g1-tucapel-gran-seleccion-largo-1-kg/p,https://unimarc.vtexassets.com/arquivos/ids/217087/000000000000006107-UN-01.jpg?v=637608391394670000,Productos naturales,Arroz y legumbres,https://www.unimarc.cl/category/despensa/arroz-y-legumbres,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/despensa/arroz-y-legumbres.json?categories=despensa&categories=arroz-y-legumbres,2026-02-20T11:08:20
77778,Arroz Nuestra Cocina grano largo G1 bolsa 1 Kg,Nuestra Cocina,1 un,Kg,1500,1890,1500,True,Ahorras $390,$1.500 x Kg,$1.890 x Kg,https://www.unimarc.cl/arroz-g1-grano-largo-nuestra-cocina-1-kg/p,https://unimarc.vtexassets.com/arquivos/ids/217406/000000000000650922-UN-01.jpg?v=637614479224870000,Productos naturales,Arroz y legumbres,https://www.unimarc.cl/category/despensa/arroz-y-legumbres,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/despensa/arroz-y-legumbres.json?categories=despensa&categories=arroz-y-legumbres,2026-02-20T11:08:20
76233,Arroz Nuestra Cocina G1 grano largo ancho bolsa 1 Kg,Nuestra Cocina,1 un,Kg,2150,2150,,False,,$2.150 x Kg,$2.150 x Kg,https://www.unimarc.cl/arroz-g1-nacional-nuestra-cocina-1-kg/p,https://unimarc.vtexassets.com/arquivos/ids/213856/000000000000650797-UN-01.jpg?v=637554017119830000,Productos naturales,Arroz y legumbres,https://www.unimarc.cl/category/despensa/arroz-y-legumbres,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/despensa/arroz-y-legumbres.json?categories=despensa&categories=arroz-y-legumbres,2026-02-20T11:08:20
2888,Arroz Tucapel pregraneado 1 Kg,Tucapel,1 un,Kg,2000,2490,2000,True,Ahorras $490,$2.000 x Kg,$2.490 x Kg,https://www.unimarc.cl/arroz-pregraneado-g1-largo-tucapel-1-kg/p,https://unimarc.vtexassets.com/arquivos/ids/217074/000000000000006143-UN-01.jpg?v=637608380475900000,Productos naturales,Arroz y legumbres,https://www.unimarc.cl/category/despensa/arroz-y-legumbres,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/despensa/arroz-y-legumbres.json?categories=despensa&categories=arroz-y-legumbres,2026-02-20T11:08:20
76234,Arroz Nuestra Cocina G2 grano largo ancho bolsa 1 Kg,Nuestra Cocina,1 un,Kg,1790,1790,,False,,$1.790 x Kg,$1.790 x Kg,https://www.unimarc.cl/arroz-g2-nacional-nuestra-cocina-1-kg/p,https://unimarc.vtexassets.com/arquivos/ids/213857/000000000000650798-UN-01.jpg?v=637554018363630000,Productos naturales,Arroz y legumbres,https://www.unimarc.cl/category/despensa/arroz-y-legumbres,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/despensa/arroz-y-legumbres.json?categories=despensa&categories=arroz-y-legumbres,2026-02-20T11:08:20
