sku,name,brand,net_content,unit,price,list_price,discount_price,in_offer,saving_text,ppum,ppum_list_price,detail_url,image_url,group_name,category_name,category_url,source_next_data_url,extracted_at
64622,Leche entera Loncoleche sin tapa 1 L,Loncoleche,1 un,litro,1000,1120,1000,True,Ahorras $120,$1.000 x litro,$1.120 x litro,https://www.unimarc.cl/leche-entera-s-t-loncoleche-1-lt/p,https://unimarc.vtexassets.com/arquivos/ids/252240/000000000000640959-UN-01.jpg?v=638966678965770000,Bebidas vegetales,"Leches, cremas y bebidas vegetales",https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales.json?categories=lacteos-huevos-y-refrigerados&categories=leches-cremas-y-bebidas-vegetales,2026-02-20T18:38:54
64623,Leche semidescremada Loncoleche sin tapa 1 L,Loncoleche,1 un,litro,1000,1120,1000,True,Ahorras $120,$1.000 x litro,$1.120 x litro,https://www.unimarc.cl/leche-semi-desc-s-t-loncoleche-1-lt/p,https://unimarc.vtexassets.com/arquivos/ids/250850/000000000000640960-UN-01.jpg?v=638966667641470000,Bebidas vegetales,"Leches, cremas y bebidas vegetales",https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales.json?categories=lacteos-huevos-y-refrigerados&categories=leches-cremas-y-bebidas-vegetales,2026-02-20T18:38:54
2896,Leche entera natural Colun sin tapa 1 L,Colun,1 un,litro,1250,1350,1250,True,Ahorras $100,$1.250 x litro,$1.350 x litro,https://www.unimarc.cl/leche-entera-natural-colun-sin-tapa-1-l-2/p,https://unimarc.vtexassets.com/arquivos/ids/200220/000000000000007390-UN-01.jpg?v=638338607201470000,Bebidas vegetales,"Leches, cremas y bebidas vegetales",https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales.json?categories=lacteos-huevos-y-refrigerados&categories=leches-cremas-y-bebidas-vegetales,2026-02-20T18:38:54
2974,Leche entera natural con tapa Soprole 1 L Leche entera natural Soprole 1 L,Soprole,1 un,litro,1150,1150,,False,,$1.150 x litro,$1.150 x litro,https://www.unimarc.cl/leche-entera-natural-soprole-con-tapa-1-l-2/p,https://unimarc.vtexassets.com/arquivos/ids/252404/000000000000516748-UN-01.jpg?v=638972809538400000,Bebidas vegetales,"Leches, cremas y bebidas vegetales",https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales.json?categories=lacteos-huevos-y-refrigerados&categories=leches-cremas-y-bebidas-vegetales,2026-02-20T18:38:54
7827,Leche semidescremada sin lactosa Loncoleche con tapa 1 L,Loncoleche,1 un,litro,1190,1360,1190,True,Ahorras $170,$1.190 x litro,$1.360 x litro,https://www.unimarc.cl/leche-semidescremada-sin-lactosa-loncoleche-1-l/p,https://unimarc.vtexassets.com/arquivos/ids/250846/000000000000007413-UN-01.jpg?v=638912177552630000,Bebidas vegetales,"Leches, cremas y bebidas vegetales",https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales.json?categories=lacteos-huevos-y-refrigerados&categories=leches-cremas-y-bebidas-vegetales,2026-02-20T18:38:54
5610,Crema de leche lista Loncoleche sin Lactosa tetra 200 ml,Loncoleche,1 un,litro,1000,1320,1000,True,Ahorras $320,$5.000 x litro,$6.600 x litro,https://www.unimarc.cl/crema-sin-lactosa-loncoleche-tetra-200-cc-2/p,https://unimarc.vtexassets.com/arquivos/ids/237768/000000000000578191-UN-01.jpg?v=638439577120930000,Bebidas vegetales,"Leches, cremas y bebidas vegetales",https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales.json?categories=lacteos-huevos-y-refrigerados&categories=leches-cremas-y-bebidas-vegetales,2026-02-20T18:38:54
75001,Leche en polvo Colun entera instantáneo doypack 900 g,Colun,1 un,Kg,7990,8290,7990,True,Ahorras $300,$8.878 x Kg,$9.211 x Kg,https://www.unimarc.cl/leche-polvo-inst-entera-colun-900-gr/p,https://unimarc.vtexassets.com/arquivos/ids/206536/000000000000646834-UN-01.jpg?v=637465786818800000,Bebidas vegetales,"Leches, cremas y bebidas vegetales",https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales.json?categories=lacteos-huevos-y-refrigerados&categories=leches-cremas-y-bebidas-vegetales,2026-02-20T18:38:54
970,Crema de leche Nestlé lata abre fácil 157 g,Nestle,1 un,Kg,1340,1340,,False,,$8.535 x Kg,$8.535 x Kg,https://www.unimarc.cl/crema-de-leche-nestle-lata-abre-facil-157-g/p,https://unimarc.vtexassets.com/arquivos/ids/247266/000000000000344299-UN-01.jpg.jpg?v=638767999533100000,Bebidas vegetales,"Leches, cremas y bebidas vegetales",https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales.json?categories=lacteos-huevos-y-refrigerados&categories=leches-cremas-y-bebidas-vegetales,2026-02-20T18:38:54
64624,Leche descremada Loncoleche sin tapa 1 L,Loncoleche,1 un,litro,1000,1120,1000,True,Ahorras $120,$1.000 x litro,$1.120 x litro,https://www.unimarc.cl/leche-descremada-s-t-loncoleche-1-lt/p,https://unimarc.vtexassets.com/arquivos/ids/250851/000000000000640961-UN-01.jpg?v=638966667652700000,Bebidas vegetales,"Leches, cremas y bebidas vegetales",https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales.json?categories=lacteos-huevos-y-refrigerados&categories=leches-cremas-y-bebidas-vegetales,2026-02-20T18:38:54
82955,Leche en polvo Nido entera tarro 1.350 g,Nido,1 un,Kg,15490,15490,,False,,$11.474 x Kg,$11.474 x Kg,https://www.unimarc.cl/leche-inst-en-polvo-26-mg-nido-1-350kg/p,https://unimarc.vtexassets.com/arquivos/ids/233877/000000000000662285-UN-01.jpg?v=638345260295200000,Bebidas vegetales,"Leches, cremas y bebidas vegetales",https://www.unimarc.cl/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/lacteos-huevos-y-refrigerados/leches-cremas-y-bebidas-vegetales.json?categories=lacteos-huevos-y-refrigerados&categories=leches-cremas-y-bebidas-vegetales,2026-02-20T18:38:54
