sku,name,brand,net_content,unit,price,list_price,discount_price,in_offer,saving_text,ppum,ppum_list_price,detail_url,image_url,group_name,category_name,category_url,source_next_data_url,extracted_at
88705,Pack Detergente Omo ultra concentrado líquido 2 u de 500 ml,Omo,1 un,litro,10290,11450,10290,True,Ahorras $1.160,$10.290 x litro,$11.450 x litro,https://www.unimarc.cl/pack-det-liq-p-dil-ultra-conc-omo2x500ml/p,https://unimarc.vtexassets.com/arquivos/ids/243744/000000000000670992-UN-01.jpg?v=638603654744700000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
87622,Detergente líquido Omo ultra power doypack 400 ml,Omo,1 un,litro,1000,1290,1000,True,Ahorras $290,$2.500 x litro,$3.225 x litro,https://www.unimarc.cl/det-liq-ultra-power-dp-omo-400-ml/p,https://unimarc.vtexassets.com/arquivos/ids/242740/000000000000669388-UN-01.jpg?v=638556337541430000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
1479,Detergente Omo matic multiacción líquido recarga 3 L,Omo,1 un,litro,9790,14890,9790,True,Ahorras $5.100,$3.263 x litro,$4.963 x litro,https://www.unimarc.cl/det-omo-matic-multiaccion-liquido-recarga-3-l/p,https://unimarc.vtexassets.com/arquivos/ids/237809/000000000000721107-UN-01.jpg?v=638439480864470000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
54561,Detergente Omo Matic polvo 8 Kg,Omo,1 un,Kg,21690,23690,21690,True,Ahorras $2.000,$2.711 x Kg,$2.961 x Kg,https://www.unimarc.cl/det-matic-polvo-omo-8-kg/p,https://unimarc.vtexassets.com/arquivos/ids/237801/000000000000617750-UN-01.jpg?v=638439477897730000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
82009,Detergente en polvo Smart Clean aroma primavera 7 Kg,Smart Clean,1 un,Kg,9000,13490,9000,True,Ahorras $4.490,$1.286 x Kg,$1.927 x Kg,https://www.unimarc.cl/detergente-polvo-primav-smart-clean-7k/p,https://unimarc.vtexassets.com/arquivos/ids/227987/000000000000652969-UN-01.jpg?v=638416324716670000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
54612,Pack detergente líquido Bio Frescura 2 un de 3 L,Bio Frescura,1 un,litro,11790,13190,11790,True,Ahorras $1.400,$1.965 x litro,$2.198 x litro,https://www.unimarc.cl/pack-det-liq-matic-bio-frescura-2x3-lt/p,https://unimarc.vtexassets.com/arquivos/ids/244744/000000000000635704-DIS-01.jpg?v=638648520897830000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
88947,Detergente lÍquido Smart Clean matic floral 5 L,Smart Clean,1 un,litro,8750,8750,,False,,$1.750 x litro,$1.750 x litro,https://www.unimarc.cl/det-liq-matic-floral-smart-clean-5-lt/p,https://unimarc.vtexassets.com/arquivos/ids/244051/000000000000670962-UN-01.jpg?v=638617517964830000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
90539,Detergente líquido Omo piel sensible doypack 800 ml,Omo,1 un,litro,2000,4350,2000,True,Ahorras $2.350,$2.500 x litro,$5.438 x litro,https://www.unimarc.cl/det-liq-piel-sensible-dp-omo-800-ml/p,https://unimarc.vtexassets.com/arquivos/ids/246983/000000000000674131-UN-01.jpg.jpg?v=638755881231400000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
1358,Detergente Ariel matic polvo 4 Kg,Ariel,1 un,Kg,10990,19990,10990,True,Ahorras $9.000,$2.748 x Kg,$4.998 x Kg,https://www.unimarc.cl/det-ariel-matic-polvo-4-kg/p,https://unimarc.vtexassets.com/arquivos/ids/232765/000000000000615949-UN-01.jpg?v=638175132720070000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
1669,Detergente Omo matic multiacción soft líquido doypack 3 L,Omo,1 un,litro,9790,14890,9790,True,Ahorras $5.100,$3.263 x litro,$4.963 x litro,https://www.unimarc.cl/det-omo-matic-multiaccion-soft-liq-d-pack-3-l/p,https://unimarc.vtexassets.com/arquivos/ids/237811/000000000000916911-UN-01.jpg?v=638439481522500000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
93433,Detergente líquido para limpieza multiuso PRO Fresh Smart Clean 2l,Smart Clean,1 un,litro,5000,7990,5000,True,Ahorras $2.990,$2.500 x litro,$3.995 x litro,https://www.unimarc.cl/det-liq-mat-ul-pro-fresh-smart-clean-2lt/p,https://unimarc.vtexassets.com/arquivos/ids/253173/000000000000682093-UN-01.jpg?v=638991552982430000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
86503,Detergente líquido Merkat matic floral 5 L DET LIQ MATIC FLORAL MERKAT 5 LT,Merkat,1 un,litro,3550,3550,,False,,$710 x litro,$710 x litro,https://www.unimarc.cl/det-liq-matic-floral-merkat-5-lt/p,https://unimarc.vtexassets.com/arquivos/ids/237610/MER_NF_Dertergente-Liquido-5L_ECOLIFE_7804672430065.png?v=638430931766630000,Detergente,Detergente,https://www.unimarc.cl/category/limpieza/detergente,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/limpieza/detergente.json?categories=limpieza&categories=detergente,2026-02-19T18:42:24
