sku,name,brand,net_content,unit,price,list_price,discount_price,in_offer,saving_text,ppum,ppum_list_price,detail_url,image_url,group_name,category_name,category_url,source_next_data_url,extracted_at
614,Alimento perro adulto Master Dog carne 15 Kg,Masterdog,1 un,Kg,25890,32290,25890,True,Ahorras $6.400,$1.726 x Kg,$2.153 x Kg,https://www.unimarc.cl/alim-master-dog-adulto-carne-arroz-y-veg-15kg/p,https://unimarc.vtexassets.com/arquivos/ids/246947/000000000000168870-UN-01.jpg.jpg?v=638755113566130000,Accesorios mascota,Alimento perro,https://www.unimarc.cl/category/mascotas/alimento-perro,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/mascotas/alimento-perro.json?categories=mascotas&categories=alimento-perro,2026-02-20T12:44:02
4873,Alimento perro adulto Champion Dog carne y pollo 15 Kg,Champion Dog,1 un,Kg,24100,31290,24100,True,Ahorras $7.190,$1.607 x Kg,$2.086 x Kg,https://www.unimarc.cl/alim-perro-carne-cereal-champion-15-kg/p,https://unimarc.vtexassets.com/arquivos/ids/244816/000000000000231126-UN-01.jpg?v=638652959508770000,Accesorios mascota,Alimento perro,https://www.unimarc.cl/category/mascotas/alimento-perro,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/mascotas/alimento-perro.json?categories=mascotas&categories=alimento-perro,2026-02-20T12:44:02
15255,Alimento perro cachorro Master Dog carne y leche 15 Kg,Masterdog,1 un,Kg,25890,32290,25890,True,Ahorras $6.400,$1.726 x Kg,$2.153 x Kg,https://www.unimarc.cl/alimento-master-dog-cachorro-15-kg/p,https://unimarc.vtexassets.com/arquivos/ids/246948/000000000000219185-UN-01.jpg.jpg?v=638755114380730000,Accesorios mascota,Alimento perro,https://www.unimarc.cl/category/mascotas/alimento-perro,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/mascotas/alimento-perro.json?categories=mascotas&categories=alimento-perro,2026-02-20T12:44:02
1035,"Alimento perro adulto Pedigree carne, pollo y cereales 15 Kg",Pedigree,1 un,Kg,28000,33990,28000,True,Ahorras $5.990,$1.867 x Kg,$2.266 x Kg,https://www.unimarc.cl/alim-pedigree-adulto-pollo-cereal-15-kg/p,https://unimarc.vtexassets.com/arquivos/ids/217480/000000000000508438-UN-01.jpg?v=638587291932800000,Accesorios mascota,Alimento perro,https://www.unimarc.cl/category/mascotas/alimento-perro,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/mascotas/alimento-perro.json?categories=mascotas&categories=alimento-perro,2026-02-20T12:44:02
6452,Alimento húmedo perro Master Dog trocitos de carne 100 g,Masterdog,1 un,Kg,690,690,,False,,$6.900 x Kg,$6.900 x Kg,https://www.unimarc.cl/alim-perro-carne-masterdog-sobre-100gr/p,https://unimarc.vtexassets.com/arquivos/ids/246958/000000000000754767-UN-01.jpg.jpg?v=638755121817600000,Accesorios mascota,Alimento perro,https://www.unimarc.cl/category/mascotas/alimento-perro,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/mascotas/alimento-perro.json?categories=mascotas&categories=alimento-perro,2026-02-20T12:44:02
36241,Alimento húmedo perro Pedigree adulto carne sobre 100 g,Pedigree,1 un,Kg,860,860,,False,,$8.600 x Kg,$8.600 x Kg,https://www.unimarc.cl/alim-perro-carne-m-g-pedigree-sobre-100g/p,https://unimarc.vtexassets.com/arquivos/ids/243537/000000000000609824-UN-01.jpg?v=638587325710030000,Accesorios mascota,Alimento perro,https://www.unimarc.cl/category/mascotas/alimento-perro,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/mascotas/alimento-perro.json?categories=mascotas&categories=alimento-perro,2026-02-20T12:44:02
5147,Alimento húmedo perro Pedigree razas pequeñas carne sobre 100 g,Pedigree,1 un,Kg,860,860,,False,,$8.600 x Kg,$8.600 x Kg,https://www.unimarc.cl/alim-perro-carne-pedigree-sobre-100-gr/p,https://unimarc.vtexassets.com/arquivos/ids/243535/000000000000357189-UN-01.jpg?v=638587323327970000,Accesorios mascota,Alimento perro,https://www.unimarc.cl/category/mascotas/alimento-perro,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/mascotas/alimento-perro.json?categories=mascotas&categories=alimento-perro,2026-02-20T12:44:02
14207,Alimento perro adulto Cachupín carne con arroz 9 Kg,Cachupin,1 un,Kg,13290,15390,13290,True,Ahorras $2.100,$1.477 x Kg,$1.710 x Kg,https://www.unimarc.cl/alim-perro-carne-arroz-cachupin-9-kg/p,https://unimarc.vtexassets.com/arquivos/ids/248322/000000000000863842-UN-01.jpg.jpg?v=638810301069400000,Accesorios mascota,Alimento perro,https://www.unimarc.cl/category/mascotas/alimento-perro,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/mascotas/alimento-perro.json?categories=mascotas&categories=alimento-perro,2026-02-20T12:44:02
6449,Alimento húmedo perro Master Dog trocitos jugosos de pollo 100 g,Masterdog,1 un,Kg,690,690,,False,,$6.900 x Kg,$6.900 x Kg,https://www.unimarc.cl/alim-perro-pollo-masterdog-sobre-100gr/p,https://unimarc.vtexassets.com/arquivos/ids/246955/000000000000754764-UN-01.jpg.jpg?v=638755119888400000,Accesorios mascota,Alimento perro,https://www.unimarc.cl/category/mascotas/alimento-perro,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/mascotas/alimento-perro.json?categories=mascotas&categories=alimento-perro,2026-02-20T12:44:02
11109,Alimento húmedo perro Pedigree adulto pollo sobre 100 g,Pedigree,1 un,Kg,860,860,,False,,$8.600 x Kg,$8.600 x Kg,https://www.unimarc.cl/alim-perro-pollo-m-g-pedigree-sobre-100g/p,https://unimarc.vtexassets.com/arquivos/ids/243538/000000000000609825-UN-01.jpg?v=638587328200170000,Accesorios mascota,Alimento perro,https://www.unimarc.cl/category/mascotas/alimento-perro,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/mascotas/alimento-perro.json?categories=mascotas&categories=alimento-perro,2026-02-20T12:44:02
