sku,name,brand,net_content,unit,price,list_price,discount_price,in_offer,saving_text,ppum,ppum_list_price,detail_url,image_url,group_name,category_name,category_url,source_next_data_url,extracted_at
91453,Shampoo Elvive dream liso 370 ml,Elvive,1 un,litro,5850,5850,,False,,$15.811 x litro,$15.811 x litro,https://www.unimarc.cl/sh-elvive-370-ml-dream-liso/p,https://unimarc.vtexassets.com/arquivos/ids/248744/000000000653215003-UN-01.jpg?v=638828284891400000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
91452,Acondicionador Elvive dream liso 370 ml,Elvive,1 un,litro,5850,5850,,False,,$15.811 x litro,$15.811 x litro,https://www.unimarc.cl/aco-elvive-370-ml-dream-liso/p,https://unimarc.vtexassets.com/arquivos/ids/248743/000000000653214004-UN-01.jpg?v=638828284888030000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
91012,Shampoo Sedal luminous UV 340 ml,Sedal,1 un,litro,3250,3250,,False,,$9.559 x litro,$9.559 x litro,https://www.unimarc.cl/sh-luminous-uv-sedal-340-ml/p,https://unimarc.vtexassets.com/arquivos/ids/247447/000000000000674718-UN-01.jpg.jpg?v=638774979799670000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
86624,Shampoo Ballerina detox purificante carbón sin sal 750 ml,Ballerina,1 un,litro,2250,2250,,False,,$3.000 x litro,$3.000 x litro,https://www.unimarc.cl/sh-ballerina-750-ml-detox-purificante/p,https://unimarc.vtexassets.com/arquivos/ids/237423/000000000667282002-UN-01.jpg?v=638409418834900000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
86622,Shampoo Herbal Essences rose hips 865 ml,Herbal Essences,1 un,litro,8190,10790,8190,True,Ahorras $2.600,$9.468 x litro,$12.474 x litro,https://www.unimarc.cl/sh-herbal-essences-865-ml-rose-hips/p,https://unimarc.vtexassets.com/arquivos/ids/237412/000000000656567002-UN-01.jpg?v=638409418806100000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
5578,Shampoo Ballerina brillo luminoso manzanilla 750 ml,Ballerina,1 un,litro,2250,2250,,False,,$3.000 x litro,$3.000 x litro,https://www.unimarc.cl/sh-manzanilla-ballerina-750-ml/p,https://unimarc.vtexassets.com/arquivos/ids/199989/000000000000573622-UN-01.jpg?v=637322857439800000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
92111,Shampoo Dove hidratación 370 ml,Dove,1 un,litro,4990,4990,,False,,$13.486 x litro,$13.486 x litro,https://www.unimarc.cl/sh-dove-370-ml-hidratacion/p,https://unimarc.vtexassets.com/arquivos/ids/252719/000000000682191001-UN-01.jpg?v=638978625596530000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
88747,Shampoo Elvive brillo 370 ml,Elvive,1 un,litro,5850,5850,,False,,$15.811 x litro,$15.811 x litro,https://www.unimarc.cl/sh-elvive-370-ml-brillo/p,https://unimarc.vtexassets.com/arquivos/ids/243599/000000000653215002-UN-01.jpg?v=638599388811130000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
15757,Crema para peinar Sedal rizos definidos 300 ml,Sedal,1 un,litro,2990,2990,,False,,$9.967 x litro,$9.967 x litro,https://www.unimarc.cl/cr-peinar-rizos-definidos-sedal-300-ml/p,https://unimarc.vtexassets.com/arquivos/ids/180890/000000000000612895-UN.jpg?v=636777291058700000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
91013,Acondicionador Sedal luminous UV 340 ml,Sedal,1 un,litro,3250,3250,,False,,$9.559 x litro,$9.559 x litro,https://www.unimarc.cl/aco-luminous-uv-sedal-340-ml/p,https://unimarc.vtexassets.com/arquivos/ids/247449/000000000000674719-UN-01.jpg.jpg?v=638774985367200000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
92190,Shampoo Dove bond repair + péptido 350 ml,Dove,1 un,litro,4990,4990,,False,,$14.257 x litro,$14.257 x litro,https://www.unimarc.cl/sh-bond-repair-peptido-dove-350-ml/p,https://unimarc.vtexassets.com/arquivos/ids/252678/000000000000681541-UN-01.jpg?v=638977828121700000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
92196,Shampoo Dove nutrición + tri óleos 370 ml,Dove,1 un,litro,4990,4990,,False,,$13.486 x litro,$13.486 x litro,https://www.unimarc.cl/sh-dove-370-ml-nutricion/p,https://unimarc.vtexassets.com/arquivos/ids/252754/000000000682191003-UN-01.jpg?v=638978657915930000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
92110,Acondicionador Dove hidratación 370 ml,Dove,1 un,litro,4990,4990,,False,,$13.486 x litro,$13.486 x litro,https://www.unimarc.cl/aco-dove-370ml-hidratacion/p,https://unimarc.vtexassets.com/arquivos/ids/252715/000000000681482001-UN-01.jpg?v=638978622570530000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
13038,Shampoo Ballerina color ideal sin sal granada botella 750 ml,Ballerina,1 un,litro,2250,2250,,False,,$3.000 x litro,$3.000 x litro,https://www.unimarc.cl/sh-s-sal-granada-fco-ballerina-750-ml/p,https://unimarc.vtexassets.com/arquivos/ids/199988/000000000000614355-UN-01.jpg?v=637322854391900000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
88746,Acondicionador Elive brillo 370 ml,Elvive,1 un,litro,5850,5850,,False,,$15.811 x litro,$15.811 x litro,https://www.unimarc.cl/aco-elvive-370-ml-brillo/p,https://unimarc.vtexassets.com/arquivos/ids/243598/000000000653214003-UN-01.jpg?v=638599388804270000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
92193,Shampoo Dove reconstrucción aminoácido 370 ml,Dove,1 un,litro,4990,4990,,False,,$13.486 x litro,$13.486 x litro,https://www.unimarc.cl/sh-dove-370-ml-reconstruccion/p,https://unimarc.vtexassets.com/arquivos/ids/252730/000000000682191002-UN-01.jpg?v=638978632880530000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
35926,Shampoo Head & Shoulders anticaspa limpieza renovadora 1 L,Head And Shoulders,1 un,litro,9000,11590,9000,True,Ahorras $2.590,$9.000 x litro,$11.590 x litro,https://www.unimarc.cl/sh-h-s-fco-1000-limpieza-renoovadora/p,https://unimarc.vtexassets.com/arquivos/ids/250752/000000000000596806-UN-01.jpg?v=638911220827870000,Cuidado capilar,Cuidado capilar,https://www.unimarc.cl/category/perfumeria/cuidado-capilar,https://www.unimarc.cl/_next/data/0ucQ92dO_m9T9joH0FjVV/category/perfumeria/cuidado-capilar.json?categories=perfumeria&categories=cuidado-capilar,2026-02-19T19:15:34
